pxd,cohort,manuscript_fields,manuscript_values,pride_fields,pride_values,combined_fields,combined_values
PXD058655,abstract_only,0,0,16,20,15,18
PXD058717,abstract_only,13,13,24,27,27,30
PXD058814,abstract_only,7,7,17,22,16,19
PXD058914,abstract_only,3,3,13,22,13,18
PXD059046,abstract_only,4,4,14,15,14,15
PXD059339,abstract_only,14,14,11,15,17,21
PXD059471,abstract_only,1,1,10,11,12,13
PXD059566,abstract_only,3,3,18,22,19,26
PXD059683,abstract_only,4,9,21,33,22,39
PXD059885,with_methods,24,42,18,37,24,51
PXD059976,with_methods,24,29,22,37,25,34
PXD060046,with_methods,31,52,19,33,31,50
PXD060153,with_methods,29,45,21,26,29,45
PXD060326,with_methods,14,26,19,21,22,26
PXD060483,abstract_only,14,16,15,18,20,22
PXD060708,abstract_only,2,2,25,32,22,31
PXD060798,abstract_only,8,8,18,24,18,19
PXD060854,with_methods,31,44,21,32,29,43
PXD060917,abstract_only,10,12,16,22,19,31
PXD060982,abstract_only,6,6,13,18,19,26
PXD061092,abstract_only,9,12,19,26,23,33
PXD061178,abstract_only,7,9,22,45,20,36
PXD061290,with_methods,22,22,14,15,24,26
PXD061427,abstract_only,3,3,20,39,18,30
PXD061576,abstract_only,5,5,16,24,19,25
PXD061637,abstract_only,4,4,12,14,12,13
PXD061698,abstract_only,12,13,12,13,15,17
PXD061846,abstract_only,0,0,22,26,22,29
PXD061877,abstract_only,0,0,21,23,19,21
PXD062079,with_methods,29,32,18,23,27,38
PXD062315,abstract_only,10,10,22,26,20,24
PXD062354,with_methods,34,56,22,37,31,51
PXD062474,with_methods,23,35,20,22,26,38
PXD062695,abstract_only,7,8,17,18,18,20
PXD062808,abstract_only,11,12,21,32,22,34
PXD062944,abstract_only,11,13,16,20,17,22
PXD063060,with_methods,23,28,21,30,22,31
PXD063349,abstract_only,12,12,12,19,18,26
PXD063516,abstract_only,3,3,19,22,18,18
PXD063595,abstract_only,3,3,22,31,23,32
PXD063825,abstract_only,1,1,20,30,20,30
PXD063965,abstract_only,2,2,17,33,18,28
PXD064062,with_methods,22,32,16,22,22,31
PXD064197,abstract_only,8,12,14,17,17,18
PXD064434,abstract_only,8,8,22,27,24,28
PXD064564,with_methods,18,33,14,18,19,36
PXD064751,abstract_only,9,13,19,31,19,27
PXD064858,abstract_only,11,11,13,13,14,14
PXD065168,with_methods,22,26,25,29,23,27
PXD065461,abstract_only,8,16,12,13,14,19
PXD065794,abstract_only,7,7,17,24,24,27
PXD066017,abstract_only,10,12,15,18,15,19
PXD066224,with_methods,29,32,21,28,28,42
PXD066622,abstract_only,6,6,20,38,19,27
PXD066998,with_methods,21,26,16,16,28,38
PXD067201,abstract_only,13,14,28,35,28,38
PXD067474,abstract_only,12,16,17,21,19,30
PXD067739,abstract_only,9,9,16,24,22,30
PXD068126,abstract_only,6,6,16,21,17,21
PXD068424,with_methods,16,20,13,13,16,24
PXD068665,abstract_only,5,5,20,38,21,39
PXD069084,with_methods,25,25,20,24,24,27
PXD069587,abstract_only,4,4,16,26,16,25
PXD070477,abstract_only,11,11,22,28,26,32
PXD000218,abstract_only,9,11,13,18,14,21
PXD000561,with_methods,22,40,19,55,26,70
PXD001118,with_methods,16,24,20,20,16,24
PXD001359,with_methods,17,27,19,29,20,38
PXD001422,abstract_only,8,9,25,32,24,31
PXD001674,abstract_only,7,10,22,27,24,33
PXD002088,with_methods,14,20,18,27,20,27
PXD002565,abstract_only,6,6,24,32,19,26
PXD002883,with_methods,29,43,24,34,30,55
PXD003132,abstract_only,2,2,10,12,19,25
PXD003323,with_methods,29,37,14,14,28,37
PXD003411,abstract_only,13,14,26,30,27,37
PXD003531,with_methods,19,26,10,10,17,24
PXD003668,with_methods,28,50,17,24,26,46
PXD004059,abstract_only,7,7,19,27,17,24
PXD004415,abstract_only,18,20,21,30,22,27
PXD004713,with_methods,22,28,13,15,17,22
PXD005187,with_methods,17,26,19,24,18,25
PXD005389,abstract_only,6,9,21,27,16,19
PXD005650,abstract_only,10,10,22,23,23,24
PXD005944,abstract_only,1,1,18,22,18,19
PXD006201,abstract_only,9,9,20,36,21,39
PXD006386,with_methods,17,21,14,16,23,30
PXD006497,with_methods,23,25,13,19,22,29
PXD006578,abstract_only,8,12,24,31,28,37
PXD006697,with_methods,21,22,15,18,16,21
PXD006805,abstract_only,13,17,12,15,18,22
PXD007080,with_methods,18,23,14,14,22,29
PXD007165,abstract_only,2,2,19,22,19,28
PXD007543,with_methods,29,32,28,34,29,32
PXD007675,with_methods,26,36,12,13,26,34
PXD007745,abstract_only,8,9,23,29,23,28
PXD007890,with_methods,11,11,23,27,22,24
PXD008003,with_methods,31,54,26,57,31,53
PXD008127,abstract_only,7,9,24,39,27,39
PXD008217,abstract_only,8,8,15,19,12,16
PXD008440,with_methods,27,34,23,31,20,24
PXD008518,abstract_only,2,2,10,13,10,12
PXD008682,abstract_only,8,9,19,25,15,17
PXD008832,with_methods,25,33,14,16,22,32
PXD008934,with_methods,24,32,19,22,23,33
PXD009021,with_methods,27,37,21,24,28,45
PXD009118,with_methods,19,25,15,19,23,27
PXD009196,with_methods,13,13,28,35,30,35
PXD009266,with_methods,21,22,18,23,19,24
PXD009317,with_methods,19,22,17,31,22,36
PXD009367,with_methods,25,44,18,22,28,45
PXD009453,abstract_only,12,13,20,31,20,32
PXD009557,abstract_only,8,10,11,16,16,27
PXD009600,with_methods,26,33,30,41,23,27
PXD009724,with_methods,9,18,20,23,18,23
PXD009797,abstract_only,3,5,21,29,21,31
PXD009870,abstract_only,14,15,14,18,22,31
PXD009924,with_methods,28,36,17,18,28,39
PXD010027,abstract_only,3,3,19,27,19,22
PXD010124,with_methods,23,40,13,13,22,30
PXD010210,abstract_only,3,3,19,20,18,21
PXD010372,with_methods,29,43,21,23,23,37
PXD010527,with_methods,9,16,17,19,17,24
PXD010698,abstract_only,11,14,23,27,25,28
PXD010942,with_methods,26,30,22,34,26,40
PXD011152,abstract_only,9,9,11,13,18,19
PXD011309,with_methods,31,36,18,23,26,35
PXD011960,abstract_only,9,9,14,25,19,29
PXD016273,abstract_only,12,12,22,29,21,26
PXD020352,abstract_only,11,13,20,25,26,32
PXD030804,abstract_only,6,6,12,12,12,15
PXD037654,with_methods,22,24,17,24,23,29
PXD046414,abstract_only,4,4,18,21,16,23
PXD046500,with_methods,25,30,20,25,27,36
PXD046587,abstract_only,7,7,19,20,17,18
PXD046731,abstract_only,11,12,22,22,20,26
PXD046787,abstract_only,5,6,18,26,18,23
PXD046856,abstract_only,2,2,24,29,23,27
PXD047005,abstract_only,8,8,13,18,15,22
PXD047062,with_methods,30,32,18,19,23,26
PXD047157,with_methods,23,36,14,19,22,39
PXD047271,abstract_only,1,1,21,22,19,20
PXD047413,with_methods,7,7,20,25,20,24
PXD047566,abstract_only,2,2,18,21,19,22
PXD047725,abstract_only,5,5,17,18,18,19
PXD047864,abstract_only,16,29,22,30,27,43
PXD047958,abstract_only,10,11,24,27,21,25
PXD048054,abstract_only,7,8,18,23,17,23
PXD048186,with_methods,25,28,17,22,26,28
PXD048450,with_methods,11,13,19,33,18,28
PXD048534,abstract_only,10,11,31,37,29,33
PXD048623,abstract_only,3,3,17,23,18,22
PXD048718,abstract_only,1,1,22,28,26,33
PXD048866,abstract_only,10,11,22,25,27,30
PXD048968,with_methods,24,35,19,22,23,32
PXD049091,abstract_only,7,7,15,17,13,15
PXD049295,abstract_only,6,6,18,19,19,22
PXD049427,abstract_only,6,6,18,28,18,22
PXD049998,with_methods,20,23,21,25,23,26
PXD050135,with_methods,23,29,14,17,21,27
PXD050300,abstract_only,6,10,24,28,21,24
PXD050445,abstract_only,9,9,26,41,26,39
PXD050565,abstract_only,12,16,21,26,24,30
PXD050727,abstract_only,2,2,22,27,21,27
PXD050892,abstract_only,8,8,24,31,21,24
PXD050986,abstract_only,15,15,19,29,20,32
PXD051072,abstract_only,10,10,16,28,17,25
PXD051197,abstract_only,9,10,15,15,18,23
PXD051415,abstract_only,2,2,16,21,15,21
PXD051677,with_methods,26,29,16,25,28,42
PXD051723,with_methods,25,63,22,64,27,59
PXD051859,abstract_only,9,11,19,27,23,28
PXD051985,abstract_only,8,13,17,22,19,23
PXD052184,abstract_only,5,5,16,22,20,25
PXD052324,abstract_only,8,8,22,24,22,23
PXD052726,with_methods,25,31,17,25,23,28
PXD052868,abstract_only,7,8,20,23,18,21
PXD053105,abstract_only,10,10,24,31,23,31
PXD053290,abstract_only,5,5,16,17,16,17
PXD053474,abstract_only,10,12,14,26,18,31
PXD053677,abstract_only,14,14,21,29,26,34
PXD053882,abstract_only,4,7,19,25,16,20
PXD054033,abstract_only,1,1,16,20,13,14
PXD054183,abstract_only,2,2,16,26,16,26
PXD054304,abstract_only,8,10,21,33,28,40
PXD054428,abstract_only,11,11,22,34,24,34
PXD054678,abstract_only,9,9,15,25,13,19
PXD054861,abstract_only,11,11,20,24,20,25
PXD055227,abstract_only,1,1,21,24,22,26
PXD055535,abstract_only,10,10,24,30,21,25
PXD055766,abstract_only,8,9,22,32,26,31
PXD055950,with_methods,23,32,15,21,24,46
PXD056059,abstract_only,2,2,14,18,14,19
PXD056095,abstract_only,2,2,16,27,16,25
PXD056164,abstract_only,2,2,19,31,20,32
PXD056192,abstract_only,5,5,20,34,16,27
PXD056251,with_methods,11,11,20,24,21,28
PXD056345,with_methods,16,18,12,13,22,24
PXD056469,abstract_only,10,12,15,17,19,20
PXD056541,abstract_only,2,2,21,31,21,29
PXD056703,abstract_only,10,13,16,18,18,18
PXD056894,with_methods,21,27,16,22,20,34
PXD057003,with_methods,13,13,17,26,23,30
PXD057096,with_methods,25,28,21,25,18,21
PXD057205,with_methods,25,35,22,33,24,41
PXD057360,abstract_only,5,5,20,28,18,27
PXD057456,abstract_only,3,4,13,14,13,14
PXD057599,abstract_only,3,3,18,18,14,14
PXD057692,abstract_only,10,13,14,18,14,18
PXD057800,with_methods,29,36,14,21,27,31
PXD057905,with_methods,24,30,18,28,19,28
PXD058040,with_methods,33,62,21,28,28,61
PXD058191,abstract_only,6,6,11,12,12,18
PXD058318,abstract_only,11,11,25,30,25,32
PXD058412,abstract_only,1,1,22,35,21,33
PXD058514,abstract_only,0,0,20,21,19,22
PXD058574,abstract_only,0,0,15,23,13,23
PXD058659,abstract_only,6,6,12,26,17,25
PXD058727,abstract_only,1,1,27,30,23,26
PXD058816,abstract_only,5,5,16,19,18,21
PXD058918,abstract_only,16,19,14,22,26,49
PXD059054,with_methods,12,12,10,14,16,22
PXD059345,with_methods,21,29,15,17,22,25
PXD059474,abstract_only,10,12,11,17,16,25
PXD059593,with_methods,24,29,21,31,25,29
PXD059716,with_methods,20,32,21,34,28,45
PXD059892,with_methods,21,36,15,18,22,41
PXD059977,abstract_only,9,10,22,26,24,30
PXD060047,abstract_only,1,1,19,25,18,22
PXD060261,abstract_only,0,0,20,24,21,30
PXD060340,with_methods,15,18,17,33,21,38
PXD060519,abstract_only,0,0,22,26,23,26
PXD060714,abstract_only,12,13,21,26,23,36
PXD060808,with_methods,14,16,13,14,16,18
PXD060875,with_methods,20,21,14,20,23,30
PXD060935,abstract_only,8,9,23,30,24,28
PXD061015,with_methods,29,44,22,35,29,47
PXD061097,abstract_only,15,16,20,28,27,31
PXD061183,abstract_only,9,12,22,28,24,35
PXD061302,with_methods,25,43,21,35,24,40
PXD061454,with_methods,19,20,19,21,24,31
PXD061586,abstract_only,6,7,20,31,21,34
PXD061638,abstract_only,13,13,18,21,19,24
PXD061756,abstract_only,8,8,25,34,27,40
PXD061848,abstract_only,6,7,23,29,20,30
PXD061879,abstract_only,2,2,14,20,14,20
PXD062108,with_methods,27,36,21,28,27,37
PXD062318,with_methods,15,19,21,27,31,44
PXD062419,abstract_only,10,11,12,17,17,21
PXD062511,abstract_only,19,19,17,26,24,38
PXD062723,abstract_only,9,13,23,33,27,34
PXD062818,abstract_only,3,3,20,27,19,23
PXD062962,abstract_only,7,9,16,20,17,19
PXD063082,with_methods,24,39,19,41,27,48
PXD063372,abstract_only,8,8,19,25,22,29
PXD063521,abstract_only,7,7,20,26,25,30
PXD063628,abstract_only,9,9,18,19,21,21
PXD063836,abstract_only,7,8,19,21,23,25
PXD063969,with_methods,29,35,18,22,24,37
PXD064064,with_methods,29,33,18,21,26,39
PXD064199,with_methods,24,34,19,22,19,23
PXD064439,abstract_only,10,12,18,26,23,24
PXD064568,abstract_only,7,7,22,26,23,29
PXD064784,with_methods,29,30,20,22,22,25
PXD064871,abstract_only,11,11,23,31,22,28
PXD065200,abstract_only,4,4,11,20,12,20
PXD065493,abstract_only,7,7,13,20,15,27
PXD065854,abstract_only,10,11,17,19,21,24
PXD066029,abstract_only,7,7,20,26,17,21
PXD066251,abstract_only,2,2,17,20,21,25
PXD066679,abstract_only,7,7,8,8,20,26
PXD067064,with_methods,19,34,16,22,25,37
PXD067213,abstract_only,12,12,25,39,26,35
PXD067538,abstract_only,1,1,19,24,18,24
PXD067890,with_methods,24,26,22,27,27,29
PXD068127,abstract_only,16,16,19,25,25,30
PXD068442,abstract_only,10,11,19,37,18,24
PXD068675,abstract_only,8,9,19,38,20,34
PXD069095,abstract_only,6,6,19,22,21,35
PXD069666,abstract_only,10,10,14,16,17,18
PXD070491,abstract_only,11,13,18,20,28,34
PXD000228,abstract_only,10,10,11,16,14,19
PXD000605,with_methods,24,27,11,19,26,29
PXD001249,abstract_only,5,5,15,21,16,18
PXD001415,abstract_only,11,12,24,28,24,30
PXD001423,abstract_only,9,9,27,29,26,34
PXD001725,with_methods,27,27,24,25,29,30
PXD002097,with_methods,25,28,21,27,25,35
PXD002591,abstract_only,12,12,21,30,18,28
PXD002960,with_methods,12,15,13,15,16,18
PXD003215,with_methods,19,25,24,37,21,28
PXD003346,abstract_only,6,8,16,22,19,30
PXD003412,abstract_only,13,17,26,31,27,36
PXD003533,with_methods,20,38,21,29,19,27
PXD003963,abstract_only,10,12,23,27,26,30
PXD004143,with_methods,24,34,27,37,28,43
PXD004443,with_methods,28,34,16,18,25,32
PXD004764,abstract_only,9,10,22,28,24,27
PXD005190,with_methods,11,13,11,16,21,30
PXD005436,abstract_only,11,12,23,24,24,29
PXD005693,with_methods,23,32,22,29,22,31
PXD005945,abstract_only,7,7,21,45,23,39
PXD006233,with_methods,24,32,12,15,26,37
PXD006401,with_methods,23,29,18,21,25,33
PXD006517,abstract_only,10,15,10,11,8,12
PXD006581,with_methods,17,19,19,26,22,25
PXD006723,abstract_only,11,14,14,18,18,22
PXD006833,abstract_only,10,10,12,17,15,20
PXD007081,with_methods,22,23,9,9,21,27
PXD007231,with_methods,23,30,21,30,24,34
PXD007580,abstract_only,7,8,21,25,21,22
PXD007679,abstract_only,11,11,21,30,20,25
PXD007750,with_methods,24,28,22,27,28,32
PXD007896,abstract_only,11,14,20,27,21,25
PXD008012,with_methods,29,58,13,14,28,42
PXD008130,abstract_only,9,9,24,27,27,30
PXD008252,with_methods,23,26,24,30,22,25
PXD008443,abstract_only,6,6,15,17,15,23
PXD008525,abstract_only,6,6,19,24,25,32
PXD008691,abstract_only,8,10,21,32,21,35
PXD008855,abstract_only,2,2,11,16,13,21
PXD008939,abstract_only,12,12,13,16,15,18
PXD009029,with_methods,18,21,11,12,22,25
PXD009142,with_methods,28,35,26,35,29,45
PXD009197,abstract_only,7,8,26,34,27,31
PXD009267,abstract_only,8,10,17,22,17,22
PXD009321,with_methods,26,34,18,19,22,30
PXD009374,with_methods,28,47,26,38,30,35
PXD009476,with_methods,27,49,20,30,26,41
PXD009560,abstract_only,12,14,24,30,22,28
PXD009603,with_methods,12,14,14,20,18,29
PXD009737,abstract_only,12,14,24,29,20,21
PXD009801,abstract_only,11,12,26,38,26,43
PXD009880,abstract_only,9,9,21,27,20,23
PXD009931,abstract_only,10,11,23,30,21,27
PXD010061,abstract_only,2,2,20,25,18,26
PXD010132,abstract_only,2,2,18,19,15,17
PXD010223,with_methods,16,18,13,13,16,16
PXD010393,with_methods,23,33,17,23,24,38
PXD010538,with_methods,15,27,22,28,22,39
PXD010708,abstract_only,10,14,20,25,25,32
PXD011000,abstract_only,13,14,19,21,24,28
PXD011175,with_methods,21,28,20,25,19,24
PXD011456,with_methods,8,8,24,27,23,25
PXD012755,with_methods,13,17,13,15,11,13
PXD017799,with_methods,22,23,18,22,23,29
PXD021106,with_methods,25,25,15,15,19,19
PXD030990,with_methods,26,29,12,15,26,28
PXD046331,with_methods,18,19,23,37,25,31
PXD046417,abstract_only,4,5,20,37,16,24
PXD046508,abstract_only,5,5,24,29,20,22
PXD046637,abstract_only,9,9,19,20,20,31
PXD046734,abstract_only,8,9,23,38,26,39
PXD046793,abstract_only,8,8,13,15,16,21
PXD046871,with_methods,28,36,24,32,28,43
PXD047009,abstract_only,5,8,23,38,20,24
PXD047066,with_methods,24,42,16,17,24,26
PXD047169,with_methods,25,39,22,27,24,37
PXD047313,with_methods,24,28,12,13,27,31
PXD047435,abstract_only,3,3,19,23,17,17
PXD047573,abstract_only,4,4,22,32,20,28
PXD047758,with_methods,16,19,13,24,18,25
PXD047878,with_methods,20,48,26,34,30,39
PXD047979,with_methods,27,39,13,13,26,38
PXD048082,with_methods,21,22,21,27,23,32
PXD048225,abstract_only,12,26,20,34,13,25
PXD048460,abstract_only,3,3,23,28,19,27
PXD048538,with_methods,21,44,17,29,26,58
PXD048637,abstract_only,0,0,19,33,20,34
PXD048734,abstract_only,6,13,10,12,12,21
PXD048880,with_methods,32,39,26,34,26,32
PXD048975,abstract_only,2,2,23,32,22,27
PXD049116,abstract_only,7,8,21,27,22,38
PXD049299,abstract_only,9,9,24,30,28,35
PXD049681,abstract_only,4,5,17,22,17,22
PXD050005,abstract_only,13,13,23,31,22,27
PXD050141,abstract_only,6,6,18,18,19,25
PXD050321,with_methods,29,34,28,44,27,36
PXD050453,abstract_only,9,9,23,40,21,38
PXD050580,with_methods,25,35,19,32,25,41
PXD050738,abstract_only,11,11,23,31,22,26
PXD050904,with_methods,21,40,15,30,22,43
PXD050990,abstract_only,3,3,21,27,22,27
PXD051088,abstract_only,10,15,15,18,21,24
PXD051204,abstract_only,7,8,13,16,17,19
PXD051418,with_methods,21,23,11,14,21,31
PXD051678,abstract_only,4,4,20,25,16,18
PXD051734,abstract_only,11,13,13,16,16,19
PXD051876,abstract_only,2,2,21,30,18,29
PXD051995,abstract_only,1,1,18,20,18,18
PXD052203,with_methods,27,34,21,37,28,51
PXD052414,abstract_only,12,13,18,20,19,22
PXD052745,abstract_only,11,11,16,23,21,32
PXD052904,abstract_only,8,9,16,17,18,20
PXD053138,with_methods,27,36,20,28,28,42
PXD053300,abstract_only,5,5,21,27,21,27
PXD053500,abstract_only,0,0,23,25,25,27
PXD053783,abstract_only,10,11,20,29,20,24
PXD053894,abstract_only,12,12,20,28,18,28
PXD054042,abstract_only,3,3,22,28,23,26
PXD054197,abstract_only,8,9,12,13,15,17
PXD054317,abstract_only,4,5,15,18,17,21
PXD054449,abstract_only,13,13,18,22,22,26
PXD054681,abstract_only,10,10,19,24,20,25
PXD054972,abstract_only,3,3,17,20,17,22
PXD055242,abstract_only,12,13,18,21,22,27
PXD055566,abstract_only,7,7,15,22,15,19
PXD055775,abstract_only,2,2,27,34,25,29
PXD055956,abstract_only,3,3,13,16,13,15
PXD056061,with_methods,27,34,16,22,23,28
PXD056096,abstract_only,10,10,16,23,17,22
PXD056168,with_methods,26,31,17,31,20,23
PXD056194,abstract_only,5,5,20,35,21,33
PXD056281,abstract_only,5,5,22,30,23,31
PXD056347,abstract_only,1,1,21,21,20,21
PXD056475,abstract_only,10,10,18,19,19,27
PXD056559,abstract_only,5,6,12,18,14,20
PXD056736,with_methods,16,20,14,18,17,26
PXD056902,abstract_only,10,10,19,29,25,38
PXD057005,abstract_only,8,9,26,42,23,33
PXD057122,with_methods,24,25,20,24,26,38
PXD057208,abstract_only,9,9,15,17,17,23
PXD057374,abstract_only,8,8,16,24,17,25
PXD057470,abstract_only,10,10,28,34,27,31
PXD057601,abstract_only,13,13,20,24,24,30
PXD057703,abstract_only,3,3,23,29,22,34
PXD057813,abstract_only,7,7,15,17,18,20
PXD057932,abstract_only,7,8,17,24,17,18
PXD058049,with_methods,27,31,27,35,28,36
PXD058196,with_methods,23,28,18,29,25,30
PXD058320,abstract_only,12,12,21,23,23,27
PXD058418,abstract_only,1,1,19,25,23,29
PXD058523,abstract_only,8,10,18,21,17,18
PXD058579,abstract_only,8,8,24,35,29,35
PXD058661,with_methods,26,31,13,16,26,30
PXD058744,with_methods,31,49,24,44,28,47
PXD058846,with_methods,23,34,17,23,28,47
PXD058948,with_methods,25,25,11,11,24,28
PXD059088,abstract_only,6,6,17,23,20,25
PXD059356,with_methods,21,27,16,17,24,30
PXD059513,with_methods,14,14,25,33,24,29
PXD059597,with_methods,24,31,20,25,23,28
PXD059752,abstract_only,4,4,11,11,19,19
PXD059932,abstract_only,9,9,16,19,19,24
PXD059985,abstract_only,12,12,22,23,19,24
PXD060057,abstract_only,12,13,17,28,24,34
PXD060280,abstract_only,5,12,19,28,19,25
PXD060357,with_methods,20,28,20,27,25,31
PXD060570,abstract_only,1,1,19,21,17,20
PXD060715,abstract_only,8,8,20,24,21,24
PXD060811,abstract_only,11,14,15,16,18,24
PXD060878,with_methods,27,34,21,28,27,32
PXD060937,with_methods,26,34,20,25,26,40
PXD061019,abstract_only,11,12,22,28,23,31
PXD061103,with_methods,23,30,11,11,26,33
PXD061195,with_methods,25,29,24,27,26,34
PXD061306,abstract_only,9,9,17,21,20,23
PXD061466,abstract_only,11,13,17,27,19,29
PXD061593,with_methods,25,28,16,20,27,35
PXD061658,with_methods,19,26,17,21,21,31
PXD061784,abstract_only,9,14,11,14,15,20
PXD061850,abstract_only,5,5,21,25,19,24
PXD061918,with_methods,26,36,26,34,25,36
PXD062109,abstract_only,4,4,19,21,20,23
PXD062321,abstract_only,1,1,17,26,17,20
PXD062420,abstract_only,2,3,23,24,21,22
PXD062520,abstract_only,10,14,18,28,20,30
PXD062730,abstract_only,7,7,16,20,13,16
PXD062847,with_methods,10,10,13,14,13,15
PXD062969,abstract_only,7,9,19,23,21,28
PXD063142,abstract_only,7,7,23,31,22,25
PXD063447,with_methods,24,24,20,23,26,27
PXD063526,abstract_only,7,7,13,21,20,27
PXD063671,abstract_only,7,7,22,26,21,25
PXD063840,abstract_only,6,7,18,21,17,20
PXD063977,abstract_only,12,12,14,20,21,28
PXD064066,abstract_only,8,8,13,17,15,17
PXD064236,abstract_only,9,10,19,20,19,20
PXD064455,abstract_only,0,0,24,25,20,23
PXD064573,with_methods,28,43,20,34,29,48
PXD064787,with_methods,16,17,21,25,23,26
PXD064926,abstract_only,0,0,24,37,26,39
PXD065292,abstract_only,4,4,20,25,21,26
PXD065497,abstract_only,2,2,25,40,25,33
PXD065898,abstract_only,6,6,13,18,13,19
PXD066033,abstract_only,2,2,21,29,21,31
PXD066260,abstract_only,7,7,14,20,16,21
PXD066711,with_methods,17,18,18,21,18,21
PXD067088,with_methods,27,44,25,36,28,49
PXD067220,abstract_only,7,7,20,34,26,43
PXD067583,abstract_only,12,17,17,22,21,32
PXD067905,with_methods,1,1,21,26,21,25
PXD068129,abstract_only,6,6,16,16,17,18
PXD068485,abstract_only,10,12,22,41,21,29
PXD068739,abstract_only,9,10,20,36,20,26
PXD069096,with_methods,9,9,13,14,15,15
PXD069667,with_methods,22,34,22,28,21,30
PXD071042,with_methods,22,24,18,19,22,28
PXD000412,with_methods,17,24,16,37,24,38
PXD000674,abstract_only,10,10,21,30,23,33
PXD001279,with_methods,30,35,21,21,28,33
PXD001416,abstract_only,10,11,23,31,26,30
PXD001425,with_methods,22,26,15,20,21,27
PXD001861,abstract_only,12,12,22,27,21,26
PXD002145,abstract_only,11,13,19,27,18,31
PXD002598,with_methods,23,23,18,25,24,30
PXD002966,abstract_only,8,11,18,23,18,27
PXD003226,with_methods,15,25,11,13,20,29
PXD003362,with_methods,20,24,14,14,21,25
PXD003413,abstract_only,14,16,27,31,28,34
PXD003534,with_methods,27,33,17,23,24,32
PXD003965,abstract_only,10,12,25,28,28,31
PXD004154,with_methods,11,17,17,17,20,28
PXD004540,abstract_only,9,10,13,22,21,29
PXD004778,abstract_only,11,12,16,22,22,30
PXD005200,abstract_only,10,10,16,19,11,14
PXD005465,abstract_only,8,10,16,16,16,18
PXD005709,with_methods,23,31,19,25,26,36
PXD005981,with_methods,12,15,12,13,15,19
PXD006265,with_methods,22,27,15,18,21,22
PXD006404,abstract_only,11,11,17,23,18,25
PXD006522,abstract_only,9,14,7,7,12,17
PXD006589,abstract_only,13,19,23,35,27,46
PXD006738,with_methods,29,35,19,25,27,30
PXD006847,with_methods,21,29,10,11,21,31
PXD007122,abstract_only,4,5,23,23,23,27
PXD007234,abstract_only,7,7,22,30,21,32
PXD007592,with_methods,28,35,24,28,26,32
PXD007705,with_methods,27,42,15,30,25,35
PXD007759,with_methods,25,27,23,25,24,26
PXD007898,abstract_only,8,11,17,24,23,32
PXD008029,abstract_only,8,9,16,22,17,26
PXD008131,with_methods,29,46,13,14,26,32
PXD008260,abstract_only,1,1,27,31,24,24
PXD008454,abstract_only,11,11,15,17,19,24
PXD008536,with_methods,26,31,14,17,20,24
PXD008693,with_methods,27,34,23,26,25,32
PXD008863,with_methods,22,28,13,14,18,20
PXD008940,abstract_only,1,1,15,17,11,14
PXD009035,with_methods,24,33,17,21,22,36
PXD009144,abstract_only,11,11,20,27,22,27
PXD009206,with_methods,19,20,17,19,20,20
PXD009276,abstract_only,8,8,13,22,19,23
PXD009327,with_methods,26,44,13,16,29,31
PXD009380,abstract_only,9,9,20,21,15,18
PXD009477,abstract_only,9,9,27,28,22,24
PXD009561,abstract_only,8,11,13,14,23,27
PXD009606,with_methods,21,23,12,16,23,29
PXD009741,abstract_only,2,2,22,28,15,21
PXD009803,abstract_only,5,5,20,26,23,32
PXD009891,with_methods,28,32,21,29,27,32
PXD009933,with_methods,28,30,11,13,31,36
PXD010073,abstract_only,9,11,24,34,26,26
PXD010142,abstract_only,11,19,23,42,22,54
PXD010260,with_methods,21,21,25,30,29,33
PXD010406,with_methods,20,26,18,21,23,30
PXD010579,abstract_only,9,10,25,32,25,28
PXD010786,abstract_only,8,8,11,19,19,25
PXD011009,abstract_only,4,4,9,10,11,13
PXD011183,abstract_only,9,11,22,35,24,30
PXD011467,abstract_only,13,13,17,24,19,23
PXD012792,abstract_only,14,14,12,15,19,24
PXD018110,with_methods,25,32,24,40,27,40
PXD021401,with_methods,27,32,20,26,30,37
PXD032918,with_methods,25,47,21,23,29,46
PXD046357,abstract_only,12,13,18,34,19,26
PXD046438,abstract_only,9,9,19,26,21,24
PXD046525,with_methods,20,23,22,27,21,23
PXD046640,abstract_only,7,8,20,29,24,36
PXD046735,abstract_only,0,0,20,27,18,19
PXD046808,abstract_only,7,12,16,23,20,29
PXD046955,abstract_only,7,7,20,33,20,28
PXD047019,abstract_only,7,12,21,28,31,37
PXD047071,abstract_only,6,6,15,20,17,22
PXD047178,abstract_only,3,3,14,14,19,20
PXD047324,abstract_only,10,13,26,41,25,33
PXD047436,abstract_only,4,5,17,18,15,16
PXD047574,with_methods,28,34,23,32,28,37
PXD047766,abstract_only,12,13,21,21,21,22
PXD047901,with_methods,32,44,21,29,33,51
PXD047989,abstract_only,5,6,13,21,14,14
PXD048091,abstract_only,11,19,20,27,21,35
PXD048228,with_methods,24,32,24,34,25,27
PXD048464,with_methods,28,33,24,31,27,37
PXD048553,abstract_only,5,5,24,28,28,42
PXD048645,abstract_only,3,3,14,18,20,27
PXD048767,abstract_only,10,10,18,26,20,28
PXD048906,abstract_only,2,2,16,20,15,18
PXD049018,abstract_only,10,10,21,29,18,24
PXD049181,abstract_only,12,16,14,19,21,30
