pxd	run	tissue_llm	tissue_mlm	confidence_mlm
PXD009603	QE689_MSQ819_KristaMGrath_20161019_RLH_bk	dental plaque; dental calculus	Tonsil	0.0394
PXD020122	BRAVE_FF_HPlas_101_P_01_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1459
PXD020122	BRAVE_FF_HPlas_104_P_03_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1552
PXD020122	BRAVE_FF_HPlas_105_P_04_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1829
PXD020122	BRAVE_FF_HPlas_108_P_06_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1781
PXD020122	BRAVE_FF_HPlas_109_P_07_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1154
PXD020122	BRAVE_FF_HPlas_110_P_08_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1659
PXD020122	BRAVE_FF_HPlas_111_P_09_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1794
PXD020122	BRAVE_FF_HPlas_112_P_10_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1276
PXD020122	BRAVE_FF_HPlas_113_P_11_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1824
PXD020122	BRAVE_FF_HPlas_202_P_13_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1652
PXD020122	BRAVE_FF_HPlas_204_P_14_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1588
PXD020122	BRAVE_FF_HPlas_205_P_15_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.165
PXD020122	BRAVE_FF_HPlas_207_P_16_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1498
PXD020122	BRAVE_FF_HPlas_208_P_17_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1397
PXD020122	BRAVE_FF_HPlas_209_P_18_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1605
PXD020122	BRAVE_FF_HPlas_209_P_18_rr_QEP_Bane_19Sept19_19-05-06	blood plasma	Adipose tissue	0.1652
PXD020122	BRAVE_FF_HPlas_210_P_19_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1549
PXD020122	BRAVE_FF_HPlas_211_P_20_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1881
PXD020122	BRAVE_FF_HPlas_212_P_21_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1745
PXD020122	BRAVE_FF_HPlas_213_P_22_QEP_Bane_12Sept19_19-05-06	blood plasma	Adipose tissue	0.1756
PXD020164	BRAVE_FF_Saliva_102_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2419
PXD020164	BRAVE_FF_Saliva_104_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2214
PXD020164	BRAVE_FF_Saliva_105_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2234
PXD020164	BRAVE_FF_Saliva_107_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.228
PXD020164	BRAVE_FF_Saliva_108_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.244
PXD020164	BRAVE_FF_Saliva_109_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2514
PXD020164	BRAVE_FF_Saliva_110_P_16Nov19_Merry_19-09-02	saliva	Salivary gland	0.2326
PXD020164	BRAVE_FF_Saliva_111_P_16Nov19_Merry_19-09-02	saliva	Salivary gland	0.2344
PXD020164	BRAVE_FF_Saliva_112_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2518
PXD020164	BRAVE_FF_Saliva_113_P_16Nov19_Merry_19-09-02	saliva	Salivary gland	0.2709
PXD020164	BRAVE_FF_Saliva_201_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.235
PXD020164	BRAVE_FF_Saliva_202_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2407
PXD020164	BRAVE_FF_Saliva_204_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2185
PXD020164	BRAVE_FF_Saliva_205_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2449
PXD020164	BRAVE_FF_Saliva_207_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2434
PXD020164	BRAVE_FF_Saliva_208_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2509
PXD020164	BRAVE_FF_Saliva_209_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2492
PXD020164	BRAVE_FF_Saliva_210_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2614
PXD020164	BRAVE_FF_Saliva_212_P_16Nov19_Merry_19-09-02	saliva	Esophagus	0.2276
PXD020352	BRAVE_FF_HPlasD_Plex01_f01_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.1166
PXD020352	BRAVE_FF_HPlasD_Plex01_f02_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1102
PXD020352	BRAVE_FF_HPlasD_Plex01_f03_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1269
PXD020352	BRAVE_FF_HPlasD_Plex01_f04_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1187
PXD020352	BRAVE_FF_HPlasD_Plex01_f05_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1413
PXD020352	BRAVE_FF_HPlasD_Plex01_f06_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1117
PXD020352	BRAVE_FF_HPlasD_Plex01_f07_Bane_24Aug19_19-05-06	blood	Brain	0.1307
PXD020352	BRAVE_FF_HPlasD_Plex01_f08_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1235
PXD020352	BRAVE_FF_HPlasD_Plex01_f09_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.0977
PXD020352	BRAVE_FF_HPlasD_Plex01_f10_Bane_24Aug19_19-05-06	blood	Monocytes	0.0891
PXD020352	BRAVE_FF_HPlasD_Plex01_f11_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.115
PXD020352	BRAVE_FF_HPlasD_Plex01_f12_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.1139
PXD020352	BRAVE_FF_HPlasD_Plex01_f13_Bane_30Aug19_19-05-06	blood	Adrenal gland	0.1171
PXD020352	BRAVE_FF_HPlasD_Plex01_f14_Bane_30Aug19_19-05-06	blood	Spleen	0.0851
PXD020352	BRAVE_FF_HPlasD_Plex01_f15_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1521
PXD020352	BRAVE_FF_HPlasD_Plex01_f16_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1181
PXD020352	BRAVE_FF_HPlasD_Plex01_f17_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.115
PXD020352	BRAVE_FF_HPlasD_Plex01_f18_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.133
PXD020352	BRAVE_FF_HPlasD_Plex01_f19_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1346
PXD020352	BRAVE_FF_HPlasD_Plex01_f20_Bane_30Aug19_19-05-06	blood	Adrenal gland	0.1412
PXD020352	BRAVE_FF_HPlasD_Plex01_f21_Bane_30Aug19_19-05-06	blood	Thyroid	0.1054
PXD020352	BRAVE_FF_HPlasD_Plex01_f22_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.0943
PXD020352	BRAVE_FF_HPlasD_Plex01_f23_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1201
PXD020352	BRAVE_FF_HPlasD_Plex01_f24_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1271
PXD020352	BRAVE_FF_HPlasD_Plex02_f01_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.1346
PXD020352	BRAVE_FF_HPlasD_Plex02_f02_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1117
PXD020352	BRAVE_FF_HPlasD_Plex02_f03_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1126
PXD020352	BRAVE_FF_HPlasD_Plex02_f04_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.0999
PXD020352	BRAVE_FF_HPlasD_Plex02_f05_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1266
PXD020352	BRAVE_FF_HPlasD_Plex02_f06_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.1097
PXD020352	BRAVE_FF_HPlasD_Plex02_f07_Bane_24Aug19_19-05-06	blood	Brain	0.132
PXD020352	BRAVE_FF_HPlasD_Plex02_f08_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.1257
PXD020352	BRAVE_FF_HPlasD_Plex02_f09_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.0597
PXD020352	BRAVE_FF_HPlasD_Plex02_f10_Bane_24Aug19_19-05-06	blood	Monocytes	0.0777
PXD020352	BRAVE_FF_HPlasD_Plex02_f11_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.1502
PXD020352	BRAVE_FF_HPlasD_Plex02_f12_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.1152
PXD020352	BRAVE_FF_HPlasD_Plex02_f13_Bane_30Aug19_19-05-06	blood	Thyroid	0.089
PXD020352	BRAVE_FF_HPlasD_Plex02_f14_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1044
PXD020352	BRAVE_FF_HPlasD_Plex02_f15_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1131
PXD020352	BRAVE_FF_HPlasD_Plex02_f16_Bane_30Aug19_19-05-06	blood	Brain	0.1207
PXD020352	BRAVE_FF_HPlasD_Plex02_f17_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1285
PXD020352	BRAVE_FF_HPlasD_Plex02_f18_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1467
PXD020352	BRAVE_FF_HPlasD_Plex02_f19_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1186
PXD020352	BRAVE_FF_HPlasD_Plex02_f20_Bane_30Aug19_19-05-06	blood	Adrenal gland	0.1357
PXD020352	BRAVE_FF_HPlasD_Plex02_f21_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1195
PXD020352	BRAVE_FF_HPlasD_Plex02_f22_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.118
PXD020352	BRAVE_FF_HPlasD_Plex02_f23_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.102
PXD020352	BRAVE_FF_HPlasD_Plex02_f24_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1176
PXD020352	BRAVE_FF_HPlasD_Plex03_f01_Bane_24Aug19_19-05-06	blood	Testis	0.119
PXD020352	BRAVE_FF_HPlasD_Plex03_f02_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.0603
PXD020352	BRAVE_FF_HPlasD_Plex03_f03_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1048
PXD020352	BRAVE_FF_HPlasD_Plex03_f04_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.1122
PXD020352	BRAVE_FF_HPlasD_Plex03_f05_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1402
PXD020352	BRAVE_FF_HPlasD_Plex03_f06_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.0981
PXD020352	BRAVE_FF_HPlasD_Plex03_f07_Bane_24Aug19_19-05-06	blood	Brain	0.1183
PXD020352	BRAVE_FF_HPlasD_Plex03_f08_Bane_24Aug19_19-05-06	blood	Adrenal gland	0.1251
PXD020352	BRAVE_FF_HPlasD_Plex03_f09_Bane_24Aug19_19-05-06	blood	Thyroid	0.0964
PXD020352	BRAVE_FF_HPlasD_Plex03_f10_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.0965
PXD020352	BRAVE_FF_HPlasD_Plex03_f11_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.154
PXD020352	BRAVE_FF_HPlasD_Plex03_f12_Bane_24Aug19_19-05-06	blood	Adipose tissue	0.0981
PXD020352	BRAVE_FF_HPlasD_Plex03_f13_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1216
PXD020352	BRAVE_FF_HPlasD_Plex03_f14_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.0969
PXD020352	BRAVE_FF_HPlasD_Plex03_f15_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1281
PXD020352	BRAVE_FF_HPlasD_Plex03_f16_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1413
PXD020352	BRAVE_FF_HPlasD_Plex03_f17_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1293
PXD020352	BRAVE_FF_HPlasD_Plex03_f18_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1244
PXD020352	BRAVE_FF_HPlasD_Plex03_f19_Bane_30Aug19_19-05-06	blood	Adrenal gland	0.1263
PXD020352	BRAVE_FF_HPlasD_Plex03_f20_Bane_30Aug19_19-05-06	blood	Adrenal gland	0.1321
PXD020352	BRAVE_FF_HPlasD_Plex03_f21_Bane_30Aug19_19-05-06	blood	Thyroid	0.1896
PXD020352	BRAVE_FF_HPlasD_Plex03_f22_Bane_30Aug19_19-05-06	blood	Adipose tissue	0.1058
PXD020352	BRAVE_FF_HPlasD_Plex03_f23_Bane_30Aug19_19-05-06	blood	Adrenal gland	0.1081
PXD020352	BRAVE_FF_HPlasD_Plex03_f24_Bane_30Aug19_19-05-06	blood	Adrenal gland	0.1062
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P3_V1_inj3_20210830225505	blood	Adipose tissue	0.0507
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P3_V1_inj4	blood	Adipose tissue	0.0527
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P3_V1_inj5	blood	Adipose tissue	0.0476
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P3_V2_inj1	blood	Adipose tissue	0.0535
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P3_V2_inj2	blood	Adipose tissue	0.0526
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P3_V2_inj3	blood	Adipose tissue	0.0527
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P3_V3_inj1	blood	Adipose tissue	0.0474
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P3_V3_inj2	blood	Adipose tissue	0.0512
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P3_V3_inj3	blood	Adipose tissue	0.0528
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P4_V1_inj1	blood	Adipose tissue	0.0487
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P4_V1_inj2	blood	Adipose tissue	0.0499
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P4_V1_inj3	blood	Adipose tissue	0.0469
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P4_V2_inj1	blood	Adipose tissue	0.0472
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P4_V2_inj2	blood	Adipose tissue	0.0494
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P4_V2_inj3	blood	Adipose tissue	0.0502
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P4_V3_inj1	blood	Adipose tissue	0.0476
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P4_V3_inj2	blood	Adipose tissue	0.0443
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_CTRL_P4_V3_inj3	blood	Adipose tissue	0.0453
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_FT_inj1	blood	B-cells	0.0411
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_FT_inj2	blood	Adipose tissue	0.0437
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_FT_inj3	blood	B-cells	0.0402
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T0_inj1	blood	Adipose tissue	0.046
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T0_inj2	blood	Adipose tissue	0.0409
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T0_inj3	blood	B-cells	0.0423
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T10_inj1	blood	Adipose tissue	0.041
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T10_inj2	blood	Adipose tissue	0.0439
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T10_inj3	blood	B-cells	0.0425
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T1_inj1_CORRECT	blood	Adipose tissue	0.0556
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T1_inj2	blood	Adipose tissue	0.044
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T1_inj2_CORRECT	blood	Adipose tissue	0.0536
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T1_inj3_CORRECT	blood	Adipose tissue	0.0575
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T2_inj1_20210901214144	blood	Adipose tissue	0.0693
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T2_inj2	blood	Adipose tissue	0.07
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T2_inj3	blood	Adipose tissue	0.0571
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T3_inj1	blood	Adipose tissue	0.0517
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T3_inj2	blood	Adipose tissue	0.0555
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T3_inj3	blood	Adipose tissue	0.0509
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T4_inj1	blood	Adipose tissue	0.0508
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T4_inj2	blood	Adipose tissue	0.0495
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T4_inj3	blood	Adipose tissue	0.0506
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T5_inj1	blood	Adipose tissue	0.0504
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T5_inj2	blood	Adipose tissue	0.0509
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T5_inj3	blood	Adipose tissue	0.0491
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T6_inj1	blood	Adipose tissue	0.0494
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T6_inj2	blood	Adipose tissue	0.0593
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T6_inj3	blood	Adipose tissue	0.0605
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T7_inj1	blood	Adipose tissue	0.0676
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T7_inj2	blood	Adipose tissue	0.0686
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T7_inj3	blood	Adipose tissue	0.0686
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T8_inj1	blood	Adipose tissue	0.0805
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T8_inj2	blood	Adipose tissue	0.0703
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T8_inj3	blood	Adipose tissue	0.0693
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T9_inj1	blood	Adipose tissue	0.0545
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T9_inj2	blood	Adipose tissue	0.0494
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P1_T9_inj3	blood	Adipose tissue	0.0507
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_FT_inj1	blood	Adipose tissue	0.0427
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_FT_inj2	blood	Testis	0.0422
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_FT_inj3	blood	Adipose tissue	0.0439
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T0_inj1	blood	Adipose tissue	0.0416
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T0_inj2	blood	B-cells	0.0432
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T0_inj3	blood	Adipose tissue	0.0511
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T1_inj1	blood	Adipose tissue	0.0704
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T1_inj2	blood	Adipose tissue	0.0654
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T1_inj3	blood	Adipose tissue	0.0618
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T2_inj1	blood	Liver	0.0415
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T2_inj2	blood	Liver	0.0423
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T2_inj3	blood	Liver	0.042
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T3_inj1	blood	Adipose tissue	0.0549
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T3_inj2	blood	Adipose tissue	0.0536
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T3_inj3	blood	Adipose tissue	0.0502
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T4_inj1	blood	Adipose tissue	0.0551
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T4_inj2	blood	Adipose tissue	0.0463
PXD046550	/public/conode53/AIRFLOW/temp/PXD046550/diann/20210830_EX1_UM8_Vollm004_SA_EXT00_kidneytransplant_serum_P2_T4_inj3	blood	Adipose tissue	0.0516
PXD046550	20220818_EX1_EV_kalai002_SA_EXT00_SerumKid_P2_t0	blood	Skeletal muscle	0.0398
PXD046550	20220818_EX1_EV_kalai002_SA_EXT00_SerumKid_P2_t1	blood	Endometrium	0.0405
