accession,title,pubmed_id,doi,license,submission_date,publication_date,organisms,organism_parts,diseases,instruments,experiment_types,quantification_methods,identified_ptms,raw_file_count,total_file_count
PXD011967,Proteomics of Human Skeletal Muscle,30971946,,Creative Commons Public Domain (CC0),2019-11-08,2019-11-14,Homo sapiens (human),Skeletal muscle; Skeletal muscle tissue,Disease free,Q Exactive,Shotgun proteomics,TMT,No PTMs are included in the dataset,386,773
PXD012131,Proteomic Atlas of the Human Brain in Alzheimer’s Disease,30735395,,Creative Commons Public Domain (CC0),2018-12-20,2020-01-09,Homo sapiens (human),Brain,,Orbitrap Fusion Lumos,Shotgun proteomics,,No PTMs are included in the dataset,340,344
PXD012143,Cyclic AMP signalling controls key components of malaria parasite host cell invasion machinery,31075098,,Creative Commons Public Domain (CC0),2018-12-21,2019-05-14,Plasmodium falciparum (isolate 3d7); Homo sapiens (human),Blood; Erythrocyte,Plasmodium falciparum malaria,Orbitrap Fusion Lumos,Shotgun proteomics,TMT,phosphorylated residue; iodoacetamide derivatized residue,32,33
PXD012203,Proteomics of Brain Proteome Revealed Altered Mitochondrial Function in Alzheimer Disease,30691479,,Creative Commons Public Domain (CC0),2018-12-31,2019-02-01,Homo sapiens (human),Brain; Brain,Alzheimer's disease,Q Exactive,Shotgun proteomics,iTRAQ,deamidated residue,60,62
PXD012255,Phosphoproteomics using CZE-MS/MS,30624053,,Creative Commons Public Domain (CC0),2019-01-08,2019-01-16,Homo sapiens (human),,,Q Exactive,Shotgun proteomics,,phosphorylated residue,40,42
PXD012307,An atlas of the aging lung mapped by single cell transcriptomics and deep tissue proteomics,30814501,,Creative Commons Public Domain (CC0),2019-01-11,2019-01-21,Mus musculus (mouse),Lung,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; acetylated residue,32,34
PXD012431,High-throughput mass spectrometry and bioinformatics analysis of breast cancer proteomic data,31294064,,Creative Commons Public Domain (CC0),2019-01-18,2019-07-15,Homo sapiens (human),Breast cancer cell; Lymph node; Breast,Breast cancer,LTQ Orbitrap XL ETD,Shotgun proteomics,MS1 intensity based label-free quantification method,iodoacetamide derivatized residue,69,71
PXD012439,Host-symbiont interactions in the chemosynthetic Riftia model symbiosis,31848270,,Creative Commons Public Domain (CC0),2019-01-21,2019-11-25,Riftia pachyptila; Candidatus endoriftia persephone,,,Q Exactive,Shotgun proteomics,Normalized Spectral Abundance Factor - NSAF,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue,55,159
PXD012755,Proteomic Explorations of Autism Brain - Part 1,31511657,10.6019/PXD012755,Creative Commons Public Domain (CC0),2019-02-18,2019-09-16,Homo sapiens (human),Brain; Electrically active cell,Neurodevelopmental abnormality,LTQ Orbitrap Elite,Shotgun proteomics,MS1 intensity based label-free quantification method,Carbamidomethyl; Oxidation,32,194
PXD012986,"Reproducibility, specificity and accuracy of DIA quantification - DDA analysis",31699904,10.6019/PXD012986,Creative Commons Public Domain (CC0),2019-03-06,2019-11-08,Mus musculus (mouse),Myoblast; Cell culture,,Q Exactive HF,Shotgun proteomics,MS1 intensity based label-free quantification method,Gln->pyro-Glu; Ammonia-loss; Ammonium; Deamidated; Carbamidomethyl; Oxidation,15,147
PXD013234,Comparison of proteome composition of serum enriched in extracellular vesicles isolated from polycythemia vera patients and healthy controls,31064135,,Creative Commons Public Domain (CC0),2019-03-26,2019-05-13,Homo sapiens (human),Blood,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset,54,56
PXD013523,Papillary renal cell carcinomas rewire glutathione metabolism,31484429,,Creative Commons Public Domain (CC0),2019-04-16,2019-09-06,Homo sapiens (human),Kidney,Papillary renal cell carcinoma,Q Exactive,Shotgun proteomics,MS1 intensity based label-free quantification method,monohydroxylated residue; phosphorylated residue; acetylated residue,198,200
PXD013543,Myocardial proteome from obese rats with cardiac dysfunction C4PR_LIV,31792287,10.6019/PXD013543,Creative Commons Public Domain (CC0),2019-04-17,2019-12-04,Rattus norvegicus (rat),Cardiac muscle myoblast; Heart,Cardiovascular system disease,Q Exactive HF,Shotgun proteomics,TIC,Carbamidomethyl; Oxidation,16,64
PXD013737,Total cellular proteome analysis of mutant and WT HNF4alpha Hepatic Progenitor Stage Cells,31185456,,Creative Commons Public Domain (CC0),2019-05-07,2019-06-17,Homo sapiens (human),Embryonic stem cell; Embryo,,Q Exactive,Shotgun proteomics,Label free,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue,96,101
PXD013753,Comparative profiling of the synaptic proteome from Alzheimer’s disease patients with focus on the APOE genotype,31862015,,Creative Commons Public Domain (CC0),2019-05-07,2020-05-26,Homo sapiens (human),Synapse; Brain,Alzheimer's disease,Q Exactive,Shotgun proteomics,TMT,iodoacetamide derivatized residue,20,21
PXD013765,Multi omics evaluation of cutaneous melanoma cells and their cerebral metastasis from patient derived mouse xenografts suggest individually distinct adaptation strategies,31892524,10.6019/PXD013765,Creative Commons Public Domain (CC0),2019-05-08,2020-01-08,Homo sapiens (human),Melanocyte; Melanoma cell,Melanoma,Q Exactive,Shotgun proteomics,MS1 intensity based label-free quantification method,Carbamidomethyl; Oxidation; Acetyl,144,433
PXD013809,Dynamic rewiring of the human interactome by interferon signalling,32539747,,Creative Commons Public Domain (CC0),2020-04-27,2020-05-15,Homo sapiens (human),,,Bruker Daltonics instrument model; Q Exactive,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,MS1 intensity based label-free quantification method; SILAC,No PTMs are included in the dataset,24,65
PXD013923,Global view of the RAF-MEK-ERK module and its immediate downstream effectors,31350469,,Creative Commons Public Domain (CC0),2019-05-20,2019-11-11,Homo sapiens (human),Cell culture; Fibroblast,Skin cancer,Q Exactive,Shotgun proteomics,SILAC,phosphorylated residue,124,141
PXD014145,Depletion of histone methyltransferase KMT9 inhibits lung cancer cell proliferation by inducing non-apoptotic cell death,32095117,,Creative Commons Public Domain (CC0),2019-06-06,2020-05-26,Homo sapiens (human),Cell culture,Non-small cell lung carcinoma,Q Exactive,Shotgun proteomics,TMT,iodoacetamide derivatized residue,12,13
PXD014528,The translational landscape of naïve and primed state pluripotency,32238817,,Creative Commons Public Domain (CC0),2019-07-09,2020-04-03,Mus musculus (mouse),Embryonic stem cell,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset,48,53
PXD014557,Microdissected brain tissue Alzheimer's,31699905,,Creative Commons Public Domain (CC0),2019-07-10,2019-11-11,Homo sapiens (human),Brain,Alzheimer's disease,Q Exactive,Shotgun proteomics,TMT,iodoacetamide derivatized residue,40,42
PXD014762,Proteomics on formalin-fixed and stained laser-capure microdissected human lung sections,32565759,,Creative Commons Public Domain (CC0),2019-07-25,2021-09-08,Homo sapiens (human),Lung,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; phosphorylated residue; iodoacetamide derivatized residue,6,15
PXD015272,Fatty-acyl conjugated amino-hexyl agarose pulldown with HeLa SILAC whole cell extract,31578417,,Creative Commons Public Domain (CC0),2019-09-02,2019-10-02,Homo sapiens (human),Cell culture,,Orbitrap Fusion Lumos,Shotgun proteomics,SILAC,No PTMs are included in the dataset,8,10
PXD015289,Unravelling the proteomic landscape of extracellular vesicles in prostate cancer by density-based fractionation of urine,32284825,,Creative Commons Public Domain (CC0),2019-09-03,2020-04-09,Homo sapiens (human),Extracellular vesicle; Urine,Urinary bladder cancer; Prostate cancer; Kidney cancer,Q Exactive,Shotgun proteomics,precursor ion,monohydroxylated residue,306,314
PXD015744,Co-expression analysis of label-free proteomics data reveals prognostic biomarkers in pancreatic ductal adenocarcinoma,32860207,,Creative Commons Public Domain (CC0),2019-10-08,2020-09-01,Homo sapiens (human),Pancreatic ductal cell; Pancreatic ductal adenocarcinoma cell,Pancreatic ductal carcinoma,Q Exactive,Shotgun proteomics,MS1 intensity based label-free quantification method; Spectrum counting,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue,100,104
PXD015833,An Exported Kinase Family Mediates Species-Specific Erythrocyte Remodelling and Virulence in Human Malaria,32284562,,Creative Commons Public Domain (CC0),2019-10-15,2020-04-17,Plasmodium falciparum (isolate 3d7); Plasmodium knowlesi strain h; Homo sapiens (human),Blood; Erythrocyte,Plasmodium falciparum malaria,Orbitrap Fusion Lumos; Q Exactive,Shotgun proteomics,TMT,phosphorylated residue,124,135
PXD015957,Immunoproteasome expression is associated with better prognosis and response to checkpoint therapies in melanoma,32060274,,Creative Commons Public Domain (CC0),2019-10-22,2020-02-18,Homo sapiens (human),Cell culture; Melanocyte,Melanoma,Q Exactive,Shotgun proteomics,Label free,No PTMs are included in the dataset,30,36
PXD016002,Proteomic analysis of CSF from patients with leptomeningeal melanoma metastases identifies signatures associated with disease progression and therapeutic resistance,31924735,10.6019/PXD016002,Creative Commons Public Domain (CC0),2019-10-24,2020-01-16,Homo sapiens (human),Cerebrospinal fluid,Adult leptomeningeal melanoma,Q Exactive,Shotgun proteomics,TMT,TMT6plex; Carbamidomethyl; Oxidation,168,1177
PXD016837,The melanoma cell line MDA-MB-435 adhesome in long-term culture and its comparison to the adhesome upon integrin αV knockdown,32195252,,Creative Commons Public Domain (CC0),2019-12-19,2020-02-17,Homo sapiens (human),Cell culture; Melanocyte,Melanoma,LTQ Orbitrap Elite,Chemical cross-linking coupled with mass spectrometry proteomics,Spectrum counting,monohydroxylated residue; iodoacetamide derivatized residue,8,17
PXD017035,Simplified Human Intestinal Microbiota (SIHUMIx) LC-MS/MS dataset,31816881,,Creative Commons Public Domain (CC0),2020-02-06,2020-02-06,Lactobacillus plantarum; Anaerostipes caccae dsm 14662; Clostridium butyricum dsm 10702; Erysipelatoclostridium ramosum dsm 1402; Blautia producta atcc 27340 = dsm 2950; Bacteroides thetaiotaomicron; Escherichia coli str. k-12 substr. mg1655; Bifidobacterium longum ncc2705,,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; iodoacetamide derivatized residue,90,183
PXD017201,In-depth plasma proteomics in patients with metastatic cutaneous melanoma treated with immune checkpoint inhibitors or MAPK-inhibitors,32457125,,Creative Commons Public Domain (CC0),2020-07-13,2020-07-13,Homo sapiens (human),Blood plasma,Melanoma; Cutaneous malignant melanoma 1; Skin melanoma,Q Exactive HF,Shotgun proteomics,TMT,TMT6plex-126 reporter+balance reagent acylated residue; monohydroxylated residue; iodoacetamide derivatized residue,360,365
PXD018117,A SARS-CoV-2-Human Protein-Protein Interaction Map Reveals Drug Targets and Potential Drug-Purposing,32511329,,Creative Commons Public Domain (CC0),2020-03-20,2020-03-23,Homo sapiens (human),,,Exactive Plus,Affinity purification coupled with mass spectrometry proteomics,,No PTMs are included in the dataset,98,105
PXD018357,Inhibition of growth factor signaling prevents SARS-CoV-2 replication,32877642,,Creative Commons Public Domain (CC0),2020-04-04,2020-05-15,Homo sapiens (human),Epithelial cell; Colon,Covid-19,Orbitrap Fusion Lumos,Shotgun proteomics,TMT,TMT6plex-126 reporter+balance reagent acylated residue; monohydroxylated residue; phosphorylated residue; acetylated residue; iodoacetamide derivatized residue,28,30
PXD018594,Shotgun proteomics of Vero E6 cells infected by Italy-INMI1 SARS-CoV-2 virus,32619390,10.6019/PXD018594,Creative Commons Public Domain (CC0),2020-06-03,2020-06-03,Chlorocebus aethiops aethiops; Betacoronavirus sp.,Permanent cell line cell,Covid-19,Q Exactive HF,Shotgun proteomics,Spectrum counting,Deamidated; Carbamidomethyl; Oxidation,20,122
PXD018830,DIA-MS analysis of 21 breast cancer tissues,33855848,,Creative Commons Public Domain (CC0),2020-04-27,2021-04-26,Homo sapiens (human),Breast epithelium; Epithelial cell; Breast cancer cell,Breast cancer,Q Exactive,SWATH MS; Shotgun proteomics,SWATH MS; MS1 intensity based label-free quantification method,No PTMs are included in the dataset,301,311
PXD019113,The Global Phosphorylation Landscape of SARS-CoV-2 Infection,32645325,,Creative Commons Public Domain (CC0),2020-05-12,2020-07-06,Cercopithecus aethiops (green monkey) (grivet),Epithelial cell,,Orbitrap Exploris 480,SWATH MS; Shotgun proteomics,Label free,phosphorylated residue,64,79
PXD019394,A Tissue-Specific Atlas of Mouse Protein Phosphorylation and Expression,21183079,,Creative Commons Public Domain (CC0),2020-05-26,2020-05-26,Mus musculus (mouse),Liver; Lung; Kidney; Heart,Disease free,LTQ Orbitrap,Shotgun proteomics,Spectrum counting; Peptide counting,monohydroxylated residue; phosphorylated residue; iodoacetamide derivatized residue,347,352
PXD020187,Proteomic evaluation of decellularized human umbilical artery,32785189,,Creative Commons Public Domain (CC0),2020-07-03,2020-08-10,Homo sapiens (human),Umbilical artery,,LTQ,Shotgun proteomics,,No PTMs are included in the dataset,10,21
PXD021383,Proteomic Profiling of Commercial Dust Mite Skin Prick Test Solutions and Allergy Vaccines from India,33717396,10.6019/PXD021383,Creative Commons Public Domain (CC0),2020-09-10,2021-09-09,Blomia tropicalis; Dermatophagoides,,,Q Exactive,Shotgun proteomics,,iodoacetamide derivatized residue,19,41
PXD021874,"Glycoproteomic analysis of Haloferax volcanii strains H53, DaglB, and Dagl15",34138841,,Creative Commons Public Domain (CC0),2020-10-07,2021-06-20,Haloferax volcanii (halobacterium volcanii),,,Q Exactive HF,Shotgun proteomics,,iodoacetamide derivatized residue,62,67
PXD022741,Categorization of Phosphorylation Site Behavior During the Diauxic Shift in Saccharomyces cerevisiae,33630598,,Creative Commons Public Domain (CC0),2020-11-25,2021-03-04,Saccharomyces cerevisiae (baker's yeast),,,Orbitrap Fusion Lumos,Shotgun proteomics,TMT,monohydroxylated residue; phosphorylated residue; deamidated residue; iodoacetamide derivatized residue,42,127
PXD026287,Two zinc finger proteins with functions in m6A writing interact with HAKAI,35236848,,Creative Commons Public Domain (CC0),2021-05-26,2022-02-09,Arabidopsis thaliana (mouse-ear cress),Plant cell; Whole body,,LTQ Orbitrap Velos,Chemical cross-linking coupled with mass spectrometry proteomics,,monohydroxylated residue; acetylated residue,60,64
PXD028781,Toxoplasma gondii MOB1 interactome,34943148,,Creative Commons Public Domain (CC0),2021-09-27,2022-02-16,Toxoplasma gondii,,,Q Exactive,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,,biotinylated residue,6,13
PXD029966,Establishment of fetomaternal tolerance via glycan-mediated B cell suppression,35236989,,Creative Commons Public Domain (CC0),2021-11-26,2022-01-12,Homo sapiens (human); Mus musculus (mouse),Blood serum,,TripleTOF 6600,Shotgun proteomics,MS1 intensity based label-free quantification method,N-acetylneuraminylated residue,0,99
PXD029997,Global profiling of lysine benzoylation in S. cerevisiae,35296687,10.6019/PXD029997,Creative Commons Public Domain (CC0),2021-11-28,2022-05-20,Saccharomyces cerevisiae (baker's yeast),,,Q Exactive,Shotgun proteomics,,benzoyl labeling reagent light form - site K,19,59
PXD030403,Thyroid Hormone Dependent Transcriptional Programming by TRb Requires SWI/SNF Chromatin Remodelers,35037038,,Creative Commons Public Domain (CC0),2021-12-14,2022-04-04,Homo sapiens (human),Epithelial cell of thyroid gland; Thyroid gland,Thyroid gland disease,LTQ Orbitrap,Gel-based experiment; Affinity purification coupled with mass spectrometry proteomics,Normalized Spectral Abundance Factor - NSAF,biotinylated residue,42,45
PXD031991,A phylogenetic and proteomic reconstruction of eukaryotic chromatin evolution,35680998,,Creative Commons Public Domain (CC0),2022-03-02,2022-08-12,Acanthamoeba castellanii; Sycon ciliatum; Phytophthora infestans; Thecamonas trahens; Chlamydomonas reinhardtii; Physcomitrella; Dictyostelium discoideum (slime mold); Nitrososphaera viennensis; Bigelowiella natans; Methanobrevibacter cuticularis; Gefionella okellyi; Corallochytrium limacisporum; Guillardia theta; Naegleria gruberi; Capsaspora owczarzaki; Emiliania huxleyi; Spizellomyces punctatus; Homo sapiens (human); Methanospirillum stamsii; Thalassiosira pseudonana; Fabomonas tropica,,,Orbitrap Fusion Lumos,Shotgun proteomics,,dimethylated residue; acetylated residue; monomethylated residue,130,164
PXD032098,Structure of the AAA-ATPase Drg1 during extraction of Rlp24 from pre-60S particles,36097293,,Creative Commons Public Domain (CC0),2022-03-07,2022-10-14,Saccharomyces cerevisiae (baker's yeast),,,Orbitrap Fusion,Chemical cross-linking coupled with mass spectrometry proteomics,,iodoacetamide derivatized residue,16,24
PXD034195,Proteome analysis of Desulfuromonas acetexigens,40381216,10.6019/PXD034195,Creative Commons Public Domain (CC0),2022-05-29,2025-06-08,Desulfuromonas acetexigens,,,Orbitrap Fusion Lumos,Shotgun proteomics,,monohydroxylated residue; acetylated residue; deamidated residue; iodoacetamide derivatized residue,20,26
PXD036655,Beta cell dysfunction and dedifferentiation induced by Bone Morphogenetic Protein (BMP)-2 is associated with histone modifications and decreased NeuroD1 chromatin binding,37407581,,Creative Commons Public Domain (CC0),2022-09-12,2023-07-20,Mus musculus (mouse),Pancreas development,Type 2 diabetes mellitus,Orbitrap Fusion Lumos,Shotgun proteomics,TMT,No PTMs are included in the dataset,13,15
PXD036832,A pharmacoproteomic landscape of organotypic intervention responses in gram-negative sepsis,37330510,,Creative Commons Public Domain (CC0),2022-09-18,2023-05-10,Mus musculus (mouse),Spleen; Liver; Lung; Kidney; Primary cell; Heart; Blood plasma,Bacterial sepsis,Q Exactive HF-X,Shotgun proteomics,Spectrum counting,acetylated residue,160,173
PXD039898,Structure and antigenicity of divergent Henipavirus fusion glycoproteins,37328468,,Creative Commons Public Domain (CC0),2023-02-06,2023-05-03,Cricetulus griseus (chinese hamster) (cricetulus barabensis griseus),,,TripleTOF 5600,Shotgun proteomics,,monohydroxylated residue; S-carboxamidoethyl-L-cysteine; deamidated residue,0,30
PXD040176,Composition of the mitoribosome of Diplonema papillatum,37207340,,Creative Commons Public Domain (CC0),2023-02-16,2023-10-24,Diplonema papillatum,,,Orbitrap Fusion,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,Spectrum count/molecular weight,monohydroxylated residue; phosphorylated residue; acetylated residue; (R)-5-oxo-1; iodoacetamide derivatized residue,20,82
PXD040722,The mouse aging proteomic atlas,39353907,,Creative Commons Public Domain (CC0),2023-03-09,2024-09-17,Mus musculus (mouse),Skin; Lung; Kidney; Heart,,Orbitrap Fusion Lumos,Shotgun proteomics,,TMT6plex-126 reporter+balance reagent acylated residue,197,400
PXD041681,Changes in the proteome of platelets from patients with critical progression of COVID-19,37681923,10.6019/PXD041681,Creative Commons Public Domain (CC0),2023-04-20,2023-10-24,Homo sapiens (human),Platelet; Blood platelet,Coronavirus infectious disease,Orbitrap Fusion Lumos,Shotgun proteomics,Label free,monohydroxylated residue; iodoacetamide derivatized residue,43,51
PXD042574,Limited proteolysis-mass spectrometry of saliva maps proteome-wide structural changes associated with oral cancer aggressiveness.,38785273,,Creative Commons Public Domain (CC0),2023-05-31,2025-03-11,Homo sapiens (human),Saliva,Oral cavity cancer,LTQ Orbitrap Velos,Shotgun proteomics,MS1 intensity based label-free quantification method,monohydroxylated residue; iodoacetamide derivatized residue,39,71
PXD043392,N-terminus of Spt16 anchors FACT to Mcm2 for parental histone recycling,37850662,,Creative Commons Public Domain (CC0),2023-06-29,2024-01-26,Saccharomyces cerevisiae (baker's yeast),Cell culture,,Orbitrap Fusion Lumos,Affinity purification coupled with mass spectrometry proteomics,,No PTMs are included in the dataset,36,38
PXD060381,CRISPR/dCAS9 genomic engineering for boosting the therapeutic potential of Extracellular Vesicles,39949490,,Creative Commons Public Domain (CC0),2025-01-30,2025-05-07,Homo sapiens (human),Cell culture; Stem cell,,Orbitrap Astral,Data-independent acquisition,,monohydroxylated residue; iodoacetamide derivatized residue,9,24
