label,category,annotator_a,annotator_b,pair_category,n_shared_docs,kappa
NumberOfTechnicalReplicates,experimental_design,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,0.0
Organism,biological,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,0.4
OrganismPart,biological,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,0.18181818181818182
PooledSample,biological,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,0.3999999999999998
PrecursorMassTolerance,technical,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,0.0
ReductionReagent,technical,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,0.4
SampleTreatment,experimental_design,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,0.0
SamplingTime,experimental_design,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,1.0
Separation,technical,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,-6.245004513516506e-17
Sex,biological,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,1.0
Staining,biological,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,0.769230769230769
Strain,biological,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,0.7272727272727271
SupplementaryFile,technical,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,0.0
Time,experimental_design,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,-6.245004513516506e-17
Treatment,biological,HarmonizedHuman,Annotator5,HarmonizedHuman vs. any human annotator,9,0.3999999999999998
AcquisitionMethod,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.7368421052631581
Age,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,
AlkylationReagent,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.2857142857142855
CellLine,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,1.0
CellType,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.3999999999999999
Chromatography,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.7368421052631581
CleavageAgent,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,1.0
CollisionEnergy,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.05405405405405403
Compound,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.0
Disease,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,1.0
EnrichmentMethod,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.2857142857142855
FactorValue,experimental_design,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.6153846153846153
FractionIdentifier,experimental_design,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.0
FractionationFraction,experimental_design,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.7368421052631581
FractionationMethod,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.09090909090909083
FragmentMassTolerance,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.09090909090909083
FragmentationMethod,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.1935483870967742
GradientTime,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.8
Instrument,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,
IonizationType,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.41176470588235303
Label,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.4444444444444444
MS2MassAnalyzer,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.6000000000000001
Modification,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.6153846153846153
NumberOfBiologicalReplicates,experimental_design,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.0
NumberOfFractions,experimental_design,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.0
NumberOfMissedCleavages,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,-7.930164461608261e-17
NumberOfSamples,experimental_design,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.05405405405405403
NumberOfTechnicalReplicates,experimental_design,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.0
Organism,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,
OrganismPart,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.6153846153846155
PooledSample,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.0
PrecursorMassTolerance,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.6153846153846153
ReductionReagent,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.6153846153846153
SampleTreatment,experimental_design,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.0
SamplingTime,experimental_design,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.0
Separation,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.0
Sex,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.6153846153846153
Staining,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.0
Strain,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.6153846153846153
SupplementaryFile,technical,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.782608695652174
Time,experimental_design,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.024390243902439043
Treatment,biological,HarmonizedHuman,Annotator6,HarmonizedHuman vs. any human annotator,10,0.0
AcquisitionMethod,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.769230769230769
Age,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,1.0
AlkylationReagent,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.5714285714285714
CellLine,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.3999999999999998
CellType,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
Chromatography,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.11764705882352934
CleavageAgent,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
CollisionEnergy,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
Compound,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
Disease,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.7804878048780487
EnrichmentMethod,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.18181818181818193
FactorValue,experimental_design,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
FractionIdentifier,experimental_design,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.3999999999999998
FractionationFraction,experimental_design,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
FractionationMethod,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.7692307692307692
FragmentMassTolerance,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
FragmentationMethod,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.11764705882352934
GradientTime,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,-8.326672684688674e-17
Instrument,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
IonizationType,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.5714285714285714
Label,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.3999999999999998
MS2MassAnalyzer,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
Modification,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,-6.245004513516506e-17
NumberOfBiologicalReplicates,experimental_design,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
NumberOfFractions,experimental_design,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.5714285714285714
NumberOfMissedCleavages,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
NumberOfSamples,experimental_design,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.7804878048780487
NumberOfTechnicalReplicates,experimental_design,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
Organism,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
OrganismPart,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.11764705882352934
PooledSample,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
PrecursorMassTolerance,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
ReductionReagent,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.39999999999999986
SampleTreatment,experimental_design,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
SamplingTime,experimental_design,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
Separation,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
Sex,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.7272727272727271
Staining,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
Strain,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,-3.3306690738754706e-16
SupplementaryFile,technical,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.27027027027027023
Time,experimental_design,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,-8.326672684688674e-17
Treatment,biological,HarmonizedHuman,Annotator7,HarmonizedHuman vs. any human annotator,9,0.0
AcquisitionMethod,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.8135593220338982
Age,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.6206896551724138
AlkylationReagent,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.6206896551724135
CellLine,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.7924528301886792
CellType,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.24657534246575344
Chromatography,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.0
CleavageAgent,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,
CollisionEnergy,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.4761904761904763
Compound,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.297872340425532
Disease,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.6451612903225807
EnrichmentMethod,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.8196721311475409
FactorValue,experimental_design,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.297872340425532
FractionIdentifier,experimental_design,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.7441860465116279
FractionationFraction,experimental_design,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.297872340425532
FractionationMethod,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.4210526315789474
FragmentMassTolerance,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.3125
FragmentationMethod,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.6206896551724135
GradientTime,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,-3.053113317719181e-17
Instrument,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,
IonizationType,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.7441860465116279
Label,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.8135593220338982
MS2MassAnalyzer,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.6206896551724139
Modification,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.4210526315789474
NumberOfBiologicalReplicates,experimental_design,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.6206896551724138
NumberOfFractions,experimental_design,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.8135593220338982
NumberOfMissedCleavages,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.6206896551724139
NumberOfSamples,experimental_design,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.6206896551724139
NumberOfTechnicalReplicates,experimental_design,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.8135593220338982
Organism,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.297872340425532
OrganismPart,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.8135593220338982
PooledSample,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.5600000000000002
PrecursorMassTolerance,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.297872340425532
ReductionReagent,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.56
SampleTreatment,experimental_design,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.7441860465116279
SamplingTime,experimental_design,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.0
Separation,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.0
Sex,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.42105263157894746
Staining,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.0
Strain,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,1.0
SupplementaryFile,technical,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.6451612903225807
Time,experimental_design,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.01980198019801977
Treatment,biological,HarmonizedHuman,Annotator8,HarmonizedHuman vs. any human annotator,11,0.7441860465116279
AcquisitionMethod,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.5423728813559322
Age,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.6639004149377592
AlkylationReagent,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.6538461538461539
CellLine,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.46153846153846134
CellType,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,-1.0705722023171153e-16
Chromatography,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,-9.367506770274758e-17
CleavageAgent,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,1.0
CollisionEnergy,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.9189189189189189
Compound,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,-0.04081632653061233
Disease,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.7065217391304348
EnrichmentMethod,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.7
FactorValue,experimental_design,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.0
FractionIdentifier,experimental_design,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.0
FractionationFraction,experimental_design,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.16740088105726847
FractionationMethod,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.1692307692307693
FragmentMassTolerance,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.9221902017291065
FragmentationMethod,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.8988764044943819
GradientTime,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.5030674846625767
Instrument,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,
IonizationType,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.3193277310924369
Label,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.3485254691689007
MS2MassAnalyzer,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.185614849187935
Modification,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.7857142857142857
NumberOfBiologicalReplicates,experimental_design,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.4671052631578947
NumberOfFractions,experimental_design,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.5645161290322581
NumberOfMissedCleavages,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.7768595041322313
NumberOfSamples,experimental_design,HarmonizedHuman,Qwen,model vs. any human annotator,27,-0.04081632653061233
NumberOfTechnicalReplicates,experimental_design,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.3999999999999998
Organism,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.45999999999999963
OrganismPart,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.3333333333333333
PooledSample,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.3769230769230771
PrecursorMassTolerance,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.8085106382978723
ReductionReagent,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.6170212765957446
SampleTreatment,experimental_design,HarmonizedHuman,Qwen,model vs. any human annotator,27,-0.1970443349753701
SamplingTime,experimental_design,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.05263157894736887
Separation,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.06896551724137938
Sex,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.696629213483146
Staining,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.13913043478260856
Strain,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.55
SupplementaryFile,technical,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.08988764044943812
Time,experimental_design,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.08695652173913042
Treatment,biological,HarmonizedHuman,Qwen,model vs. any human annotator,27,0.21576763485477168
AcquisitionMethod,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.293193717277487
Age,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.6639004149377592
AlkylationReagent,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.8988764044943819
CellLine,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.7
CellType,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.5597826086956522
Chromatography,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,-9.367506770274758e-17
CleavageAgent,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,1.0
CollisionEnergy,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,1.0
Compound,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,-0.038461538461538464
Disease,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.7065217391304348
EnrichmentMethod,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.41935483870967744
FactorValue,experimental_design,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.0
FractionIdentifier,experimental_design,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.15624999999999975
FractionationFraction,experimental_design,HarmonizedHuman,Gemma,model vs. any human annotator,27,-0.13445378151260487
FractionationMethod,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.36220472440944884
FragmentMassTolerance,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.7665706051873198
FragmentationMethod,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.8988764044943819
GradientTime,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.34782608695652173
Instrument,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,
IonizationType,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.3966480446927374
Label,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.41621621621621624
MS2MassAnalyzer,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.3414634146341464
Modification,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.8988764044943819
NumberOfBiologicalReplicates,experimental_design,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.05714285714285689
NumberOfFractions,experimental_design,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.6419098143236074
NumberOfMissedCleavages,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.85
NumberOfSamples,experimental_design,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.15999999999999992
NumberOfTechnicalReplicates,experimental_design,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.3636363636363634
Organism,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.6493506493506489
OrganismPart,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.27027027027027023
PooledSample,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.31932773109243706
PrecursorMassTolerance,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.8085106382978723
ReductionReagent,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.4807692307692307
SampleTreatment,experimental_design,HarmonizedHuman,Gemma,model vs. any human annotator,27,-5.995204332975848e-16
SamplingTime,experimental_design,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.0
Separation,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,-0.06578947368421002
Sex,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.696629213483146
Staining,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.34501347708894875
Strain,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.7
SupplementaryFile,technical,HarmonizedHuman,Gemma,model vs. any human annotator,27,-2.3058478203753253e-16
Time,experimental_design,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.27027027027027045
Treatment,biological,HarmonizedHuman,Gemma,model vs. any human annotator,27,0.49438202247191015
AcquisitionMethod,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.5759162303664922
Age,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,0.6639004149377592
AlkylationReagent,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.7857142857142857
CellLine,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,0.42857142857142855
CellType,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,0.06399999999999993
Chromatography,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,-9.367506770274758e-17
CleavageAgent,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.6493506493506489
CollisionEnergy,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.8333333333333334
Compound,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,-1.0705722023171153e-16
Disease,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,0.41935483870967744
EnrichmentMethod,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.7731092436974789
FactorValue,experimental_design,HarmonizedHuman,GLM,model vs. any human annotator,27,0.0
FractionIdentifier,experimental_design,HarmonizedHuman,GLM,model vs. any human annotator,27,0.3478260869565217
FractionationFraction,experimental_design,HarmonizedHuman,GLM,model vs. any human annotator,27,-0.07048458149779764
FractionationMethod,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.2968750000000001
FragmentMassTolerance,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.9221902017291065
FragmentationMethod,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.5714285714285714
GradientTime,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.22857142857142854
Instrument,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,
IonizationType,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.47353760445682447
Label,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.4850136239782016
MS2MassAnalyzer,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.07804878048780488
Modification,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.7857142857142857
NumberOfBiologicalReplicates,experimental_design,HarmonizedHuman,GLM,model vs. any human annotator,27,0.35494880546075075
NumberOfFractions,experimental_design,HarmonizedHuman,GLM,model vs. any human annotator,27,0.3554376657824933
NumberOfMissedCleavages,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.9243697478991596
NumberOfSamples,experimental_design,HarmonizedHuman,GLM,model vs. any human annotator,27,0.08695652173913034
NumberOfTechnicalReplicates,experimental_design,HarmonizedHuman,GLM,model vs. any human annotator,27,0.5714285714285713
Organism,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,0.12093023255813981
OrganismPart,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,0.25
PooledSample,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,0.09243697478991611
PrecursorMassTolerance,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.8085106382978723
ReductionReagent,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.696629213483146
SampleTreatment,experimental_design,HarmonizedHuman,GLM,model vs. any human annotator,27,-5.995204332975848e-16
SamplingTime,experimental_design,HarmonizedHuman,GLM,model vs. any human annotator,27,-0.06930693069306955
Separation,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,0.36220472440944834
Sex,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,0.3622047244094487
Staining,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,-0.017391304347826243
Strain,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,0.7
SupplementaryFile,technical,HarmonizedHuman,GLM,model vs. any human annotator,27,-0.2067039106145253
Time,experimental_design,HarmonizedHuman,GLM,model vs. any human annotator,27,0.16806722689075623
Treatment,biological,HarmonizedHuman,GLM,model vs. any human annotator,27,0.0
AcquisitionMethod,technical,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
Age,biological,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
AlkylationReagent,technical,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,1.0
CellLine,biological,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,0.0
CellType,biological,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
Chromatography,technical,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,0.0
CleavageAgent,technical,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
CollisionEnergy,technical,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,0.0
Compound,biological,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,
Disease,biological,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,1.0
EnrichmentMethod,technical,Annotator1,Annotator2,MultiHuman annotator vs. MultiHuman annotator,2,1.0
