category,n_labels,annotator_a,annotator_b,pair_category,n_items,string_kappa,sapbert_kappa,shift
experimental_design,10,Annotator6,GLM,model vs. any human annotator,100,-0.049868766404199454,-0.023102310231023493,0.02676645617317596
experimental_design,10,Annotator7,Annotator8,MultiHuman annotator vs. MultiHuman annotator,20,0.31428571428571433,0.5209580838323356,0.20667236954662122
experimental_design,10,Annotator7,Qwen,model vs. any human annotator,90,0.17497010761259468,0.217391304347826,0.042421196735231315
experimental_design,10,Annotator7,Gemma,model vs. any human annotator,90,0.1025641025641028,0.20039486673247806,0.09783076416837526
experimental_design,10,Annotator7,GLM,model vs. any human annotator,90,0.21215242018537606,0.240506329113924,0.028353908928547944
experimental_design,10,Annotator8,Qwen,model vs. any human annotator,110,0.08565233104445237,0.1603053435114503,0.07465301246699792
experimental_design,10,Annotator8,Gemma,model vs. any human annotator,110,0.05172413793103447,0.15200632536074324,0.10028218742970876
experimental_design,10,Annotator8,GLM,model vs. any human annotator,110,0.12239735357073363,0.23015396920615852,0.1077566156354249
experimental_design,10,Qwen,Gemma,model vs. model,270,0.3256004927119687,0.5263666630866717,0.20076617037470296
experimental_design,10,Qwen,GLM,model vs. model,270,0.2870220407013589,0.4294666278053045,0.14244458710394559
experimental_design,10,Gemma,GLM,model vs. model,270,0.3217606478704259,0.5170321978534763,0.1952715499830504
