pxd,cohort,old_fields,new_fields,shared_fields,earlier_only_fields,expanded_only_fields,old_values,new_values,field_jaccard,field_delta,value_delta,equivalent_pairs,hierarchical_inclusive_pairs,semantic_inclusive_pairs,equivalent_pairs_jaccard,hierarchical_inclusive_pairs_jaccard,semantic_inclusive_pairs_jaccard
PXD002437,with_methods,19,20,18,1,2,19,25,0.8571428571428571,1,6,16,16,17,0.5714285714285714,0.5714285714285714,0.6296296296296297
PXD002842,abstract_only,13,17,11,2,6,15,21,0.5789473684210527,4,6,8,8,10,0.2857142857142857,0.2857142857142857,0.38461538461538464
PXD003120,with_methods,12,16,11,1,5,12,16,0.6470588235294118,4,4,7,8,9,0.3333333333333333,0.4,0.47368421052631576
PXD003296,with_methods,30,30,30,0,0,34,30,1.0,0,-4,20,20,25,0.45454545454545453,0.45454545454545453,0.6410256410256411
PXD003410,abstract_only,16,28,16,0,12,17,35,0.5714285714285714,12,18,7,7,9,0.15555555555555556,0.15555555555555556,0.20930232558139536
PXD003498,with_methods,24,29,23,1,6,30,38,0.7666666666666667,5,8,18,18,20,0.36,0.36,0.4166666666666667
PXD003660,abstract_only,5,18,5,0,13,5,30,0.2777777777777778,13,25,2,2,3,0.06060606060606061,0.06060606060606061,0.09375
PXD004001,abstract_only,10,26,10,0,16,11,29,0.38461538461538464,16,18,7,7,7,0.21212121212121213,0.21212121212121213,0.21212121212121213
PXD004363,abstract_only,8,27,7,1,20,9,30,0.25,19,21,4,4,6,0.11428571428571428,0.11428571428571428,0.18181818181818182
PXD004683,with_methods,31,26,26,5,0,37,32,0.8387096774193549,-5,-5,27,28,29,0.6428571428571429,0.6829268292682927,0.725
PXD005154,with_methods,29,23,23,6,0,31,25,0.7931034482758621,-6,-6,18,19,21,0.47368421052631576,0.5135135135135135,0.6
PXD005354,with_methods,28,26,25,3,1,43,33,0.8620689655172413,-2,-10,19,20,23,0.3333333333333333,0.35714285714285715,0.4339622641509434
PXD005590,with_methods,24,27,24,0,3,26,31,0.8888888888888888,3,5,18,19,22,0.46153846153846156,0.5,0.6285714285714286
PXD005914,abstract_only,0,19,0,0,19,0,24,0.0,19,24,0,0,0,0.0,0.0,0.0
PXD006179,abstract_only,3,18,3,0,15,3,21,0.16666666666666666,15,18,0,0,1,0.0,0.0,0.043478260869565216
PXD006371,with_methods,18,27,18,0,9,19,34,0.6666666666666666,9,15,15,15,16,0.39473684210526316,0.39473684210526316,0.43243243243243246
PXD006476,abstract_only,1,17,1,0,16,1,18,0.058823529411764705,16,17,1,1,1,0.05555555555555555,0.05555555555555555,0.05555555555555555
PXD006576,abstract_only,9,28,9,0,19,11,35,0.32142857142857145,19,24,7,7,8,0.1794871794871795,0.1794871794871795,0.21052631578947367
PXD006675,with_methods,27,26,25,2,1,45,36,0.8928571428571429,-1,-9,26,26,30,0.4727272727272727,0.4727272727272727,0.5882352941176471
PXD006788,with_methods,21,18,18,3,0,23,21,0.8571428571428571,-3,-2,14,14,16,0.4666666666666667,0.4666666666666667,0.5714285714285714
PXD007049,abstract_only,8,19,7,1,12,11,20,0.35,11,9,1,1,2,0.03333333333333333,0.03333333333333333,0.06896551724137931
PXD007160,with_methods,30,26,26,4,0,44,36,0.8666666666666667,-4,-8,12,12,20,0.17647058823529413,0.17647058823529413,0.3333333333333333
PXD007515,abstract_only,9,24,9,0,15,10,32,0.375,15,22,7,7,8,0.2,0.2,0.23529411764705882
PXD007671,with_methods,29,24,24,5,0,40,46,0.8275862068965517,-5,6,28,28,31,0.4827586206896552,0.4827586206896552,0.5636363636363636
PXD007744,abstract_only,6,24,6,0,18,7,33,0.25,18,26,3,3,5,0.08108108108108109,0.08108108108108109,0.14285714285714285
PXD007873,abstract_only,10,19,10,0,9,11,28,0.5263157894736842,9,17,4,4,8,0.11428571428571428,0.11428571428571428,0.25806451612903225
PXD007990,abstract_only,0,14,0,0,14,0,20,0.0,14,20,0,0,0,0.0,0.0,0.0
PXD008115,with_methods,29,25,24,5,1,51,42,0.8,-4,-9,26,26,29,0.3880597014925373,0.3880597014925373,0.453125
PXD008205,with_methods,16,20,12,4,8,16,26,0.5,4,10,12,12,12,0.4,0.4,0.4
PXD008381,with_methods,16,16,14,2,2,20,20,0.7777777777777778,0,0,15,15,16,0.6,0.6,0.6666666666666666
PXD008497,abstract_only,1,13,1,0,12,1,15,0.07692307692307693,12,14,1,1,1,0.06666666666666667,0.06666666666666667,0.06666666666666667
PXD008601,with_methods,27,27,26,1,1,39,42,0.9285714285714286,0,3,20,20,32,0.32786885245901637,0.32786885245901637,0.6530612244897959
PXD008723,with_methods,29,28,28,1,0,41,36,0.9655172413793104,-1,-5,27,28,30,0.54,0.5714285714285714,0.6382978723404256
PXD008933,abstract_only,4,13,4,0,9,4,15,0.3076923076923077,9,11,3,3,3,0.1875,0.1875,0.1875
PXD008996,with_methods,15,22,14,1,8,15,25,0.6086956521739131,7,10,8,9,11,0.25,0.2903225806451613,0.3793103448275862
PXD009112,with_methods,18,21,16,2,5,29,32,0.6956521739130435,3,3,15,15,18,0.32608695652173914,0.32608695652173914,0.4186046511627907
PXD009181,with_methods,17,19,15,2,4,28,31,0.7142857142857143,2,3,15,16,19,0.3409090909090909,0.37209302325581395,0.475
PXD009265,with_methods,18,21,18,0,3,35,47,0.8571428571428571,3,12,24,24,29,0.41379310344827586,0.41379310344827586,0.5471698113207547
PXD009310,abstract_only,14,21,12,2,9,15,24,0.5217391304347826,7,9,10,10,12,0.3448275862068966,0.3448275862068966,0.4444444444444444
PXD009366,abstract_only,4,22,4,0,18,4,25,0.18181818181818182,18,21,3,3,3,0.11538461538461539,0.11538461538461539,0.11538461538461539
PXD009444,abstract_only,9,24,9,0,15,15,46,0.375,15,31,10,11,13,0.19607843137254902,0.22,0.2708333333333333
PXD009553,with_methods,28,27,27,1,0,35,42,0.9642857142857143,-1,7,28,29,30,0.5714285714285714,0.6041666666666666,0.6382978723404256
PXD009596,with_methods,18,18,16,2,2,23,19,0.8,0,-4,11,11,13,0.3548387096774194,0.3548387096774194,0.4482758620689655
PXD009716,abstract_only,8,19,8,0,11,8,23,0.42105263157894735,11,15,5,5,7,0.19230769230769232,0.19230769230769232,0.2916666666666667
PXD009784,abstract_only,12,24,12,0,12,14,26,0.5,12,12,10,10,11,0.3333333333333333,0.3333333333333333,0.3793103448275862
PXD009868,abstract_only,12,23,12,0,11,12,28,0.5217391304347826,11,16,7,8,9,0.21212121212121213,0.25,0.2903225806451613
PXD009917,abstract_only,10,23,10,0,13,12,27,0.43478260869565216,13,15,4,4,8,0.11428571428571428,0.11428571428571428,0.25806451612903225
PXD010005,abstract_only,4,12,3,1,9,4,20,0.23076923076923078,8,16,2,2,3,0.09090909090909091,0.09090909090909091,0.14285714285714285
PXD010122,abstract_only,4,14,3,1,11,4,14,0.2,10,10,2,2,2,0.125,0.125,0.125
PXD010202,with_methods,25,21,21,4,0,34,26,0.84,-4,-8,13,13,18,0.2765957446808511,0.2765957446808511,0.42857142857142855
PXD010361,with_methods,27,27,27,0,0,33,36,1.0,0,3,28,28,31,0.6829268292682927,0.6829268292682927,0.8157894736842105
PXD010520,abstract_only,4,8,4,0,4,4,12,0.5,4,8,2,2,3,0.14285714285714285,0.14285714285714285,0.23076923076923078
PXD010690,abstract_only,18,26,15,3,11,21,30,0.5172413793103449,8,9,14,14,14,0.3783783783783784,0.3783783783783784,0.3783783783783784
PXD010941,with_methods,27,26,26,1,0,31,37,0.9629629629629629,-1,6,26,26,28,0.6190476190476191,0.6190476190476191,0.7
PXD011146,abstract_only,8,18,8,0,10,11,18,0.4444444444444444,10,7,2,3,5,0.07407407407407407,0.11538461538461539,0.20833333333333334
PXD011301,with_methods,19,21,18,1,3,22,28,0.8181818181818182,2,6,16,16,17,0.47058823529411764,0.47058823529411764,0.5151515151515151
PXD011839,with_methods,22,25,21,1,4,29,36,0.8076923076923077,3,7,17,17,23,0.3541666666666667,0.3541666666666667,0.5476190476190477
PXD016199,with_methods,27,27,26,1,1,29,29,0.9285714285714286,0,0,21,21,21,0.5675675675675675,0.5675675675675675,0.5675675675675675
PXD020192,abstract_only,10,22,10,0,12,19,40,0.45454545454545453,12,21,8,8,11,0.1568627450980392,0.1568627450980392,0.22916666666666666
PXD029400,with_methods,26,24,22,4,2,39,42,0.7857142857142857,-2,3,22,22,26,0.3728813559322034,0.3728813559322034,0.4727272727272727
PXD037340,abstract_only,10,21,9,1,12,11,25,0.4090909090909091,11,14,3,3,4,0.09090909090909091,0.09090909090909091,0.125
PXD046413,abstract_only,4,17,4,0,13,4,19,0.23529411764705882,13,15,3,3,3,0.15,0.15,0.15
PXD046497,with_methods,28,26,26,2,0,38,36,0.9285714285714286,-2,-2,25,26,27,0.5102040816326531,0.5416666666666666,0.574468085106383
PXD046582,abstract_only,12,24,11,1,13,13,33,0.44,12,20,7,7,10,0.1794871794871795,0.1794871794871795,0.2777777777777778
PXD046711,abstract_only,12,21,11,1,10,13,26,0.5,9,13,5,6,8,0.14705882352941177,0.18181818181818182,0.25806451612903225
PXD046786,with_methods,8,24,8,0,16,12,46,0.3333333333333333,16,34,5,5,11,0.09433962264150944,0.09433962264150944,0.23404255319148937
PXD046855,abstract_only,6,11,3,3,8,6,13,0.21428571428571427,5,7,1,1,2,0.05555555555555555,0.05555555555555555,0.11764705882352941
PXD046996,with_methods,22,23,20,2,3,25,28,0.8,1,3,18,18,19,0.5142857142857142,0.5142857142857142,0.5588235294117647
PXD047057,abstract_only,7,19,6,1,13,9,25,0.3,12,16,4,4,5,0.13333333333333333,0.13333333333333333,0.1724137931034483
PXD047134,with_methods,23,22,22,1,0,32,34,0.9565217391304348,-1,2,17,17,21,0.3469387755102041,0.3469387755102041,0.4666666666666667
PXD047261,abstract_only,10,25,10,0,15,10,48,0.4,15,38,7,7,9,0.13725490196078433,0.13725490196078433,0.1836734693877551
PXD047412,abstract_only,7,24,7,0,17,7,32,0.2916666666666667,17,25,4,4,6,0.11428571428571428,0.11428571428571428,0.18181818181818182
PXD047528,abstract_only,8,14,8,0,6,9,18,0.5714285714285714,6,9,6,6,9,0.2857142857142857,0.2857142857142857,0.5
PXD047716,abstract_only,7,18,7,0,11,7,26,0.3888888888888889,11,19,5,5,6,0.17857142857142858,0.17857142857142858,0.2222222222222222
PXD047844,abstract_only,5,12,3,2,9,5,13,0.21428571428571427,7,8,2,2,3,0.125,0.125,0.2
PXD047936,with_methods,18,22,17,1,5,18,25,0.7391304347826086,4,7,14,14,15,0.4827586206896552,0.4827586206896552,0.5357142857142857
PXD048041,abstract_only,4,21,3,1,18,8,31,0.13636363636363635,17,23,3,3,4,0.08333333333333333,0.08333333333333333,0.11428571428571428
PXD048180,abstract_only,2,14,2,0,12,2,21,0.14285714285714285,12,19,1,1,1,0.045454545454545456,0.045454545454545456,0.045454545454545456
PXD048393,abstract_only,6,24,6,0,18,8,27,0.25,18,19,2,2,3,0.06060606060606061,0.06060606060606061,0.09375
PXD048532,abstract_only,9,24,7,2,17,9,46,0.2692307692307692,15,37,3,3,6,0.057692307692307696,0.057692307692307696,0.12244897959183673
PXD048618,abstract_only,8,26,8,0,18,8,39,0.3076923076923077,18,31,7,7,8,0.175,0.175,0.20512820512820512
PXD048696,abstract_only,4,23,4,0,19,5,34,0.17391304347826086,19,29,2,2,3,0.05405405405405406,0.05405405405405406,0.08333333333333333
PXD048853,abstract_only,7,22,7,0,15,7,24,0.3181818181818182,15,17,3,3,7,0.10714285714285714,0.10714285714285714,0.2916666666666667
PXD048963,abstract_only,1,16,1,0,15,1,22,0.0625,15,21,1,1,1,0.045454545454545456,0.045454545454545456,0.045454545454545456
PXD049087,abstract_only,8,18,8,0,10,8,19,0.4444444444444444,10,11,7,7,8,0.35,0.35,0.42105263157894735
PXD049284,abstract_only,13,27,12,1,15,13,39,0.42857142857142855,14,26,5,5,7,0.10638297872340426,0.10638297872340426,0.15555555555555556
PXD049377,abstract_only,15,22,13,2,9,16,28,0.5416666666666666,7,12,12,12,13,0.375,0.375,0.41935483870967744
PXD049957,abstract_only,14,25,12,2,13,19,35,0.4444444444444444,11,16,7,7,9,0.14893617021276595,0.14893617021276595,0.2
PXD050113,abstract_only,10,20,10,0,10,12,24,0.5,10,12,4,4,6,0.125,0.125,0.2
PXD050287,abstract_only,4,21,4,0,17,4,30,0.19047619047619047,17,26,1,1,2,0.030303030303030304,0.030303030303030304,0.0625
PXD050416,with_methods,22,24,21,1,3,26,35,0.84,2,9,16,16,22,0.35555555555555557,0.35555555555555557,0.5641025641025641
PXD050557,abstract_only,1,11,1,0,10,1,11,0.09090909090909091,10,10,1,1,1,0.09090909090909091,0.09090909090909091,0.09090909090909091
PXD050688,abstract_only,2,26,2,0,24,2,29,0.07692307692307693,24,27,1,1,1,0.03333333333333333,0.03333333333333333,0.03333333333333333
PXD050884,abstract_only,5,13,5,0,8,5,15,0.38461538461538464,8,10,4,4,5,0.25,0.25,0.3333333333333333
PXD050985,abstract_only,3,20,3,0,17,3,23,0.15,17,20,2,2,2,0.08333333333333333,0.08333333333333333,0.08333333333333333
PXD051062,abstract_only,11,18,10,1,8,12,27,0.5263157894736842,7,15,7,7,9,0.21875,0.21875,0.3
PXD051187,abstract_only,8,16,7,1,9,8,17,0.4117647058823529,8,9,4,4,7,0.19047619047619047,0.19047619047619047,0.3888888888888889
PXD051404,abstract_only,8,14,8,0,6,8,17,0.5714285714285714,6,9,3,3,4,0.13636363636363635,0.13636363636363635,0.19047619047619047
PXD051640,abstract_only,3,27,3,0,24,3,32,0.1111111111111111,24,29,1,1,2,0.029411764705882353,0.029411764705882353,0.06060606060606061
PXD051715,abstract_only,7,24,7,0,17,7,35,0.2916666666666667,17,28,6,6,6,0.16666666666666666,0.16666666666666666,0.16666666666666666
PXD051849,abstract_only,8,20,7,1,13,10,25,0.3333333333333333,12,15,5,5,6,0.16666666666666666,0.16666666666666666,0.20689655172413793
PXD051981,abstract_only,10,20,10,0,10,10,21,0.5,10,11,5,5,6,0.19230769230769232,0.19230769230769232,0.24
PXD052176,abstract_only,1,19,1,0,18,1,19,0.05263157894736842,18,18,1,1,1,0.05263157894736842,0.05263157894736842,0.05263157894736842
PXD052317,abstract_only,0,13,0,0,13,0,18,0.0,13,18,0,0,0,0.0,0.0,0.0
PXD052720,abstract_only,11,22,10,1,12,13,25,0.43478260869565216,11,12,10,10,11,0.35714285714285715,0.35714285714285715,0.4074074074074074
PXD052854,with_methods,29,27,27,2,0,46,45,0.9310344827586207,-2,-1,17,17,23,0.22972972972972974,0.22972972972972974,0.3382352941176471
PXD053100,abstract_only,3,20,3,0,17,3,30,0.15,17,27,3,3,3,0.1,0.1,0.1
PXD053278,abstract_only,0,23,0,0,23,0,25,0.0,23,25,0,0,0,0.0,0.0,0.0
PXD053450,with_methods,32,32,31,1,1,40,53,0.9393939393939394,0,13,20,20,24,0.273972602739726,0.273972602739726,0.34782608695652173
PXD053613,abstract_only,8,23,7,1,16,8,28,0.2916666666666667,15,20,5,5,6,0.16129032258064516,0.16129032258064516,0.2
PXD053880,abstract_only,10,15,9,1,6,10,15,0.5625,5,5,3,3,7,0.13636363636363635,0.13636363636363635,0.3888888888888889
PXD054028,abstract_only,4,20,4,0,16,4,25,0.2,16,21,3,3,4,0.11538461538461539,0.11538461538461539,0.16
PXD054149,abstract_only,1,19,1,0,18,1,24,0.05263157894736842,18,23,1,1,1,0.041666666666666664,0.041666666666666664,0.041666666666666664
PXD054301,abstract_only,14,20,12,2,8,14,29,0.5454545454545454,6,15,6,6,9,0.16216216216216217,0.16216216216216217,0.2647058823529412
PXD054405,abstract_only,9,23,9,0,14,9,23,0.391304347826087,14,14,6,6,8,0.23076923076923078,0.23076923076923078,0.3333333333333333
PXD054675,with_methods,27,27,27,0,0,35,38,1.0,0,3,30,30,31,0.6976744186046512,0.6976744186046512,0.7380952380952381
PXD054857,abstract_only,8,15,8,0,7,8,21,0.5333333333333333,7,13,6,6,6,0.2608695652173913,0.2608695652173913,0.2608695652173913
PXD055223,with_methods,26,21,20,6,1,31,32,0.7407407407407407,-5,1,17,18,21,0.3695652173913043,0.4,0.5
PXD055473,abstract_only,12,24,11,1,13,16,28,0.44,12,12,4,4,7,0.1,0.1,0.1891891891891892
PXD055737,abstract_only,9,26,9,0,17,9,31,0.34615384615384615,17,22,6,6,8,0.17647058823529413,0.17647058823529413,0.25
PXD055943,abstract_only,16,26,11,5,15,27,33,0.3548387096774194,10,6,10,10,11,0.2,0.2,0.22448979591836735
PXD056040,abstract_only,6,14,3,3,11,7,19,0.17647058823529413,8,12,1,1,1,0.04,0.04,0.04
PXD056092,abstract_only,12,15,9,3,6,12,19,0.5,3,7,3,3,6,0.10714285714285714,0.10714285714285714,0.24
PXD056160,abstract_only,2,10,2,0,8,2,10,0.2,8,8,2,2,2,0.2,0.2,0.2
PXD056189,abstract_only,5,17,2,3,15,5,22,0.1,12,17,0,0,0,0.0,0.0,0.0
PXD056248,abstract_only,7,22,7,0,15,7,22,0.3181818181818182,15,15,3,4,4,0.11538461538461539,0.16,0.16
PXD056331,abstract_only,13,18,11,2,7,13,20,0.55,5,7,5,6,7,0.17857142857142858,0.2222222222222222,0.2692307692307692
PXD056463,with_methods,29,22,21,8,1,36,35,0.7,-7,-1,18,18,22,0.33962264150943394,0.33962264150943394,0.4489795918367347
PXD056539,abstract_only,1,19,1,0,18,1,25,0.05263157894736842,18,24,1,1,1,0.04,0.04,0.04
PXD056701,abstract_only,9,11,2,7,9,9,12,0.1111111111111111,2,3,2,2,2,0.10526315789473684,0.10526315789473684,0.10526315789473684
PXD056865,abstract_only,11,23,9,2,14,15,32,0.36,12,17,11,11,12,0.3055555555555556,0.3055555555555556,0.34285714285714286
PXD056946,abstract_only,1,22,1,0,21,2,27,0.045454545454545456,21,25,1,1,1,0.03571428571428571,0.03571428571428571,0.03571428571428571
PXD057067,with_methods,22,20,20,2,0,29,27,0.9090909090909091,-2,-2,16,16,22,0.4,0.4,0.6470588235294118
PXD057196,with_methods,21,24,18,3,6,24,27,0.6666666666666666,3,3,17,17,17,0.5,0.5,0.5
PXD057348,with_methods,27,27,26,1,1,42,38,0.9285714285714286,0,-4,22,22,29,0.3793103448275862,0.3793103448275862,0.5686274509803921
PXD057448,abstract_only,8,17,7,1,10,8,22,0.3888888888888889,9,14,1,1,1,0.034482758620689655,0.034482758620689655,0.034482758620689655
PXD057588,abstract_only,10,20,10,0,10,11,30,0.5,10,19,3,4,6,0.07894736842105263,0.10810810810810811,0.17142857142857143
PXD057677,abstract_only,13,24,13,0,11,14,29,0.5416666666666666,11,15,10,10,12,0.30303030303030304,0.30303030303030304,0.3870967741935484
PXD057789,abstract_only,2,22,2,0,20,2,28,0.09090909090909091,20,26,2,2,2,0.07142857142857142,0.07142857142857142,0.07142857142857142
PXD057890,with_methods,12,22,12,0,10,14,32,0.5454545454545454,10,18,12,12,14,0.35294117647058826,0.35294117647058826,0.4375
PXD058027,abstract_only,9,23,9,0,14,9,25,0.391304347826087,14,16,6,7,9,0.21428571428571427,0.25925925925925924,0.36
PXD058173,abstract_only,3,15,3,0,12,3,16,0.2,12,13,2,2,2,0.11764705882352941,0.11764705882352941,0.11764705882352941
PXD058312,with_methods,21,23,21,0,2,29,31,0.9130434782608695,2,2,23,23,23,0.6216216216216216,0.6216216216216216,0.6216216216216216
PXD058407,abstract_only,1,12,1,0,11,1,18,0.08333333333333333,11,17,1,1,1,0.05555555555555555,0.05555555555555555,0.05555555555555555
PXD058491,abstract_only,6,17,5,1,12,7,30,0.2777777777777778,11,23,4,4,5,0.12121212121212122,0.12121212121212122,0.15625
PXD058569,abstract_only,8,27,6,2,21,8,42,0.20689655172413793,19,34,2,2,3,0.041666666666666664,0.041666666666666664,0.06382978723404255
PXD058655,abstract_only,0,15,0,0,15,0,18,0.0,15,18,0,0,0,0.0,0.0,0.0
PXD058717,abstract_only,13,27,12,1,15,13,30,0.42857142857142855,14,17,4,5,7,0.10256410256410256,0.13157894736842105,0.19444444444444445
PXD058814,abstract_only,7,16,5,2,11,7,19,0.2777777777777778,9,12,3,3,4,0.13043478260869565,0.13043478260869565,0.18181818181818182
PXD058914,abstract_only,3,13,3,0,10,3,18,0.23076923076923078,10,15,1,1,2,0.05,0.05,0.10526315789473684
PXD059046,abstract_only,4,14,4,0,10,4,15,0.2857142857142857,10,11,4,4,4,0.26666666666666666,0.26666666666666666,0.26666666666666666
PXD059339,abstract_only,14,17,12,2,5,14,21,0.631578947368421,3,7,9,9,9,0.34615384615384615,0.34615384615384615,0.34615384615384615
PXD059471,abstract_only,1,12,1,0,11,1,13,0.08333333333333333,11,12,1,1,1,0.07692307692307693,0.07692307692307693,0.07692307692307693
PXD059566,abstract_only,3,19,3,0,16,3,26,0.15789473684210525,16,23,1,1,2,0.03571428571428571,0.03571428571428571,0.07407407407407407
PXD059683,abstract_only,4,22,4,0,18,9,39,0.18181818181818182,18,30,1,1,7,0.02127659574468085,0.02127659574468085,0.17073170731707318
PXD059885,with_methods,24,24,24,0,0,42,51,1.0,0,9,34,34,34,0.576271186440678,0.576271186440678,0.576271186440678
PXD059976,with_methods,24,25,22,2,3,29,34,0.8148148148148148,1,5,18,18,23,0.4,0.4,0.575
PXD060046,with_methods,31,31,31,0,0,52,50,1.0,0,-2,32,33,42,0.45714285714285713,0.4782608695652174,0.7
PXD060153,with_methods,29,29,27,2,2,45,45,0.8709677419354839,0,0,20,20,21,0.2857142857142857,0.2857142857142857,0.30434782608695654
PXD060326,with_methods,14,22,9,5,13,26,26,0.3333333333333333,8,0,8,8,8,0.18181818181818182,0.18181818181818182,0.18181818181818182
PXD060483,abstract_only,14,20,13,1,7,16,22,0.6190476190476191,6,6,9,9,10,0.3103448275862069,0.3103448275862069,0.35714285714285715
PXD060708,abstract_only,2,22,2,0,20,2,31,0.09090909090909091,20,29,1,1,1,0.03125,0.03125,0.03125
PXD060798,abstract_only,8,18,5,3,13,8,19,0.23809523809523808,10,11,4,4,5,0.17391304347826086,0.17391304347826086,0.22727272727272727
PXD060854,with_methods,31,29,29,2,0,44,43,0.9354838709677419,-2,-1,23,23,32,0.359375,0.359375,0.5818181818181818
PXD060917,abstract_only,10,19,9,1,10,12,31,0.45,9,19,4,4,6,0.10256410256410256,0.10256410256410256,0.16216216216216217
PXD060982,abstract_only,6,19,6,0,13,6,26,0.3157894736842105,13,20,4,4,5,0.14285714285714285,0.14285714285714285,0.18518518518518517
PXD061092,abstract_only,9,23,9,0,14,12,33,0.391304347826087,14,21,6,6,9,0.15384615384615385,0.15384615384615385,0.25
PXD061178,abstract_only,7,20,7,0,13,9,36,0.35,13,27,3,3,4,0.07142857142857142,0.07142857142857142,0.0975609756097561
PXD061290,with_methods,22,24,22,0,2,22,26,0.9166666666666666,2,4,17,17,18,0.5483870967741935,0.5483870967741935,0.6
PXD061427,abstract_only,3,18,3,0,15,3,30,0.16666666666666666,15,27,2,2,3,0.06451612903225806,0.06451612903225806,0.1
PXD061576,abstract_only,5,19,3,2,16,5,25,0.14285714285714285,14,20,2,2,2,0.07142857142857142,0.07142857142857142,0.07142857142857142
PXD061637,abstract_only,4,12,3,1,9,4,13,0.23076923076923078,8,9,1,2,2,0.0625,0.13333333333333333,0.13333333333333333
PXD061698,abstract_only,12,15,12,0,3,13,17,0.8,3,4,7,7,10,0.30434782608695654,0.30434782608695654,0.5
PXD061846,abstract_only,0,22,0,0,22,0,29,0.0,22,29,0,0,0,0.0,0.0,0.0
PXD061877,abstract_only,0,19,0,0,19,0,21,0.0,19,21,0,0,0,0.0,0.0,0.0
PXD062079,with_methods,29,27,27,2,0,32,38,0.9310344827586207,-2,6,21,21,24,0.42857142857142855,0.42857142857142855,0.5217391304347826
PXD062315,abstract_only,10,20,10,0,10,10,24,0.5,10,14,8,8,9,0.3076923076923077,0.3076923076923077,0.36
PXD062354,with_methods,34,31,30,4,1,56,51,0.8571428571428571,-3,-5,32,32,40,0.4266666666666667,0.4266666666666667,0.5970149253731343
PXD062474,with_methods,23,26,23,0,3,35,38,0.8846153846153846,3,3,23,23,26,0.46,0.46,0.5531914893617021
PXD062695,abstract_only,7,18,6,1,12,8,20,0.3157894736842105,11,12,3,3,4,0.12,0.12,0.16666666666666666
PXD062808,abstract_only,11,22,11,0,11,12,34,0.5,11,22,7,7,8,0.1794871794871795,0.1794871794871795,0.21052631578947367
PXD062944,abstract_only,11,17,11,0,6,13,22,0.6470588235294118,6,9,7,7,10,0.25,0.25,0.4
PXD063060,with_methods,23,22,22,1,0,28,31,0.9565217391304348,-1,3,20,20,24,0.5128205128205128,0.5128205128205128,0.6857142857142857
PXD063349,abstract_only,12,18,11,1,7,12,26,0.5789473684210527,6,14,9,9,11,0.3103448275862069,0.3103448275862069,0.4074074074074074
PXD063516,abstract_only,3,18,2,1,16,3,18,0.10526315789473684,15,15,1,1,1,0.05,0.05,0.05
PXD063595,abstract_only,3,23,3,0,20,3,32,0.13043478260869565,20,29,2,2,3,0.06060606060606061,0.06060606060606061,0.09375
PXD063825,abstract_only,1,20,1,0,19,1,30,0.05,19,29,0,0,0,0.0,0.0,0.0
PXD063965,abstract_only,2,18,2,0,16,2,28,0.1111111111111111,16,26,2,2,2,0.07142857142857142,0.07142857142857142,0.07142857142857142
PXD064062,with_methods,22,22,21,1,1,32,31,0.9130434782608695,0,-1,19,19,21,0.4318181818181818,0.4318181818181818,0.5
PXD064197,abstract_only,8,17,7,1,10,12,18,0.3888888888888889,9,6,4,4,5,0.15384615384615385,0.15384615384615385,0.2
PXD064434,abstract_only,8,24,7,1,17,8,28,0.28,16,20,3,3,6,0.09090909090909091,0.09090909090909091,0.2
PXD064564,with_methods,18,19,17,1,2,33,36,0.85,1,3,18,20,24,0.35294117647058826,0.40816326530612246,0.5333333333333333
PXD064751,abstract_only,9,19,8,1,11,13,27,0.4,10,14,7,7,8,0.21212121212121213,0.21212121212121213,0.25
PXD064858,abstract_only,11,14,8,3,6,11,14,0.47058823529411764,3,3,7,7,7,0.3888888888888889,0.3888888888888889,0.3888888888888889
PXD065168,with_methods,22,23,21,1,2,26,27,0.875,1,1,15,15,16,0.39473684210526316,0.39473684210526316,0.43243243243243246
PXD065461,abstract_only,8,14,7,1,7,16,19,0.4666666666666667,6,3,5,5,8,0.16666666666666666,0.16666666666666666,0.2962962962962963
PXD065794,abstract_only,7,24,7,0,17,7,27,0.2916666666666667,17,20,3,3,4,0.0967741935483871,0.0967741935483871,0.13333333333333333
PXD066017,abstract_only,10,15,7,3,8,12,19,0.3888888888888889,5,7,3,4,5,0.10714285714285714,0.14814814814814814,0.19230769230769232
PXD066224,with_methods,29,28,28,1,0,32,42,0.9655172413793104,-1,10,18,18,23,0.32142857142857145,0.32142857142857145,0.45098039215686275
PXD066622,abstract_only,6,19,5,1,14,6,27,0.25,13,21,4,4,5,0.13793103448275862,0.13793103448275862,0.17857142857142858
PXD066998,with_methods,21,28,21,0,7,26,38,0.75,7,12,19,19,23,0.4222222222222222,0.4222222222222222,0.5609756097560976
PXD067201,abstract_only,13,28,12,1,16,14,38,0.41379310344827586,15,24,9,9,10,0.20930232558139536,0.20930232558139536,0.23809523809523808
PXD067474,abstract_only,12,19,10,2,9,16,30,0.47619047619047616,7,14,10,10,10,0.2777777777777778,0.2777777777777778,0.2777777777777778
PXD067739,abstract_only,9,22,7,2,15,9,30,0.2916666666666667,13,21,6,6,6,0.18181818181818182,0.18181818181818182,0.18181818181818182
PXD068126,abstract_only,6,17,6,0,11,6,21,0.35294117647058826,11,15,4,4,4,0.17391304347826086,0.17391304347826086,0.17391304347826086
PXD068424,with_methods,16,16,14,2,2,20,24,0.7777777777777778,0,4,10,10,14,0.29411764705882354,0.29411764705882354,0.4666666666666667
