field,value,ontology_id
cell_type,umbilical vein endothelial cells,
cell_type,urinary cell,
cell_type,urinary epithelial cell,
cell_type,urothelial carcinoma,
cell_type,urothelial cell,CL:0000731
cell_type,uterine lining cell,
cell_type,vacuolar fraction,
cell_type,vaginal epithelial,
cell_type,vaginal epithelial cells,
cell_type,vascular endothelial cell,CL:0002139
cell_type,vascular smooth muscle cells,
cell_type,vessel,
cell_type,villous trophoblasts,
cell_type,vocal fold epithelial cells,
cell_type,vsmc,CL:0000359
cell_type,vγ9vδ2-t cells,
cell_type,white fat cell,
cell_type,yeast,
cell_type,yeast cell,
cell_type,yeast cells,
cleavage_agent,arg-c,MS:1001303
cleavage_agent,argc,
cleavage_agent,arg‐c,
cleavage_agent,asp-n,MS:1001304
cleavage_agent,aspn,
cleavage_agent,calpain,
cleavage_agent,chondroitinase abc,
cleavage_agent,chymotrypsin,MS:1001306
cleavage_agent,elastase,
cleavage_agent,endopeptidase lys c,
cleavage_agent,endoproteinase glu-c,
cleavage_agent,endoproteinase lys-c,
cleavage_agent,endoproteinase lysc,
cleavage_agent,full-trypsin,
cleavage_agent,gel trypsin,
cleavage_agent,gingisrex,
cleavage_agent,glu-c,MS:1001917
cleavage_agent,gluc,
cleavage_agent,high sequencing grade trypsin,
cleavage_agent,lys c,
cleavage_agent,lys c and trypsin,
cleavage_agent,lys-c,MS:1001309
cleavage_agent,lys-c and arg-c,
cleavage_agent,lys-c and trypsin,
cleavage_agent,lys-c endopeptidase,
cleavage_agent,lys-c protease,
cleavage_agent,lys-c/trypsin,
cleavage_agent,lysarginase,MS:1002708
cleavage_agent,lysc,
cleavage_agent,lysc (1:100),
cleavage_agent,lysc and trypsin,
cleavage_agent,lysc endopeptidase,
cleavage_agent,lysc protease,
cleavage_agent,lysc/trypsin,
cleavage_agent,lysil c endopeptidase,
cleavage_agent,lysn,
cleavage_agent,lysozyme c,
cleavage_agent,lysyl endopeptidase,
cleavage_agent,lysyl endopeptidase (lysc),
cleavage_agent,lysyl endopeptidase (wako) at 1:100 (w/w) was added and digestion continued overnight,
cleavage_agent,lys‐c,
cleavage_agent,mmp9,
cleavage_agent,modified porcine trypsin,
cleavage_agent,modified sequencing-grade trypsin,
cleavage_agent,modified trypsin,
cleavage_agent,ms-grade trypsin,
cleavage_agent,mucinase sme,
cleavage_agent,neutrophil elastase,
cleavage_agent,non-tryptic,
cleavage_agent,operator,
cleavage_agent,operatortm,
cleavage_agent,pepsin,
cleavage_agent,pk,
cleavage_agent,porcine trypsin,
cleavage_agent,protease k,
cleavage_agent,proteasome,
cleavage_agent,proteinase k,MS:1003981
cleavage_agent,proteolysis,
cleavage_agent,rapid-digestion trypsin/lys-c,
cleavage_agent,rlys-c,
cleavage_agent,rlysc,
cleavage_agent,semi-argc,
cleavage_agent,sequencing grade modified trypsin,
cleavage_agent,sequencing grade trypsin,
cleavage_agent,sequencing grade-modified trypsin,
cleavage_agent,sequencing-grade modified trypsin,
cleavage_agent,sequencing-grade trypsin,
cleavage_agent,sequencing-grade-modified trypsin,
cleavage_agent,sialexo,
cleavage_agent,smart trypsin,
cleavage_agent,solu-trypsin,
cleavage_agent,solu‐trypsin,
cleavage_agent,tev protease,
cleavage_agent,thermolysin,MS:1003979
cleavage_agent,tlck-trypsin,
cleavage_agent,tpck-treated trypsin,
cleavage_agent,trpysin,
cleavage_agent,trypsin,MS:1001251
cleavage_agent,trypsin (except proline was the next amino acid),
cleavage_agent,trypsin (full),
cleavage_agent,"trypsin (gold, promega)",
cleavage_agent,trypsin (promega),
cleavage_agent,trypsin (promega) was then added at 1:50 (w/w) and digestion was carried out for another 12 h,
cleavage_agent,"trypsin (trypsin gold, mass spectrometry grade, promega v5280)",
cleavage_agent,trypsin and lysc,
cleavage_agent,trypsin and pngase f,
cleavage_agent,trypsin beads,
cleavage_agent,trypsin digestion,
cleavage_agent,trypsin digestion (1:100),
cleavage_agent,trypsin gold,
cleavage_agent,trypsin lys-c,
cleavage_agent,trypsin-tpck,
cleavage_agent,trypsin/lys-c,
cleavage_agent,trypsin/lys-c mix,
cleavage_agent,"trypsin/lys-c mix (promega, v5072)",
cleavage_agent,trypsin/lys-c protease mix,
cleavage_agent,trypsin/lysc,
cleavage_agent,trypsin/lysc mix,
cleavage_agent,trypsin/lys‐c,
cleavage_agent,trypsin/p,MS:1001313
cleavage_agent,trypsine,
cleavage_agent,trypsinization,
cleavage_agent,tryptic,
cleavage_agent,tryptic digestion,
cleavage_agent,tryptic peptides,
cleavage_agent,tryptsin,
cleavage_agent,unspecific enzyme,
cleavage_agent,walp,
cleavage_agent,wild-type alpha-lytic protease,
disease_state,16p11.2 deletion,
disease_state,16p11.2 duplication,
disease_state,3-methylglutaconic aciduria type 9,MONDO:0044724
disease_state,aatd,
disease_state,abdominal aortic aneurysm,MONDO:0005350
disease_state,abdominal aortic aneurysm (aaa) rupture risk,
disease_state,abusive head trauma,
disease_state,actinic keratoses,
disease_state,actinic keratosis,MONDO:0005173
disease_state,acute achilles tendon rupture,
disease_state,acute b-cell/t-cell leukemia and lymphoma,
disease_state,acute inflammation,
disease_state,acute ischemic stroke,
disease_state,acute leukemia,MONDO:0010643
disease_state,acute lymphoblastic leukemia,MONDO:0004967
disease_state,acute lymphoid leukemia,MONDO:0004967
disease_state,acute myeloid leukemia,MONDO:0018874
disease_state,acute myeloid leukemia (aml),MONDO:0018874
disease_state,acute myocardial infarction,MONDO:0004781
disease_state,acute promyelocytic leukemia,MONDO:0012883
disease_state,acute rejection,
disease_state,acute respiratory distress syndrome,MONDO:0006502
disease_state,acute respiratory distress syndrome (ards),
disease_state,acute t cell leukemia,MONDO:0004963
disease_state,ad + cvd,
disease_state,adenocarcinoma,MONDO:0004970
disease_state,adenocarcinoma in situ,MONDO:0003218
disease_state,adenovirus type 2 infection,
disease_state,adpkd,MONDO:0004691
disease_state,adult respiratory distress syndrome,MONDO:0100130
disease_state,aging,
disease_state,alcohol-associated liver disease,
disease_state,algs,
disease_state,alk-driven lung cancer,
disease_state,alkali burns,
disease_state,als,MONDO:0004976
disease_state,alzheimer's disease,MONDO:0004975
disease_state,alzheimer's disease + cerebrovascular disease,
disease_state,alzheimer’s disease,
disease_state,aml,MONDO:0018874
disease_state,amyotrophic lateral sclerosis,MONDO:0004976
disease_state,amyotrophic lateral sclerosis (als),
disease_state,anaplastic thyroid cancer,MONDO:0006468
disease_state,angioimmunoblastic t-cell lymphoma,MONDO:0004977
disease_state,angioimmunoblastic t-cell lymphoma (aitl),
disease_state,anxiety-like behaviour,
disease_state,aortic aneurysm,MONDO:0005160
disease_state,ap-4 deficiency,
disease_state,apoptosis,
disease_state,aqueous-deficient dry eye,
disease_state,asah1 deficiency,
disease_state,ascorbate deficiency,
disease_state,aseptic implant loosening,
disease_state,asthenozoospermia,
disease_state,astrocytoma,MONDO:0019781
disease_state,atherosclerosis,MONDO:0005311
disease_state,atopic dermatitis,MONDO:0004980
disease_state,atrial fibrillation,MONDO:0004981
disease_state,autism spectrum disorder,MONDO:0005258
disease_state,autism spectrum disorder (asd),
disease_state,autoimmune encephalitis,MONDO:0020640
disease_state,autoimmune myositis,
disease_state,autosomal hemophilia a,
disease_state,autosomal recessive disease,MONDO:0006025
disease_state,azoospermia,MONDO:0100459
disease_state,b cell chronic lymphocytic leukemia,MONDO:0004948
disease_state,b cell chronic lymphocytic leukemia (b-cll),
disease_state,b-cell acute lymphoblastic leukemia,MONDO:0004947
disease_state,b-cell precursor acute lymphoblastic leukemia,
disease_state,b-lymphoblastic leukemia/lymphoma,
disease_state,backpain,
disease_state,bacterial infection,MONDO:0005113
disease_state,bacterial sepsis,
disease_state,basal cell carcinoma,MONDO:0020804
disease_state,benign,
disease_state,benign gynaecological conditions,
disease_state,benign lung conditions,
disease_state,benign nodules,
disease_state,benign pulmonary nodules,
disease_state,benign urothelial lesion,
disease_state,biliary atresia,MONDO:0008867
disease_state,bladder cancer,
disease_state,bladder transitional cell carcinoma,MONDO:0005611
disease_state,bladder urothelial carcinoma,MONDO:0005611
disease_state,blast tbi,
disease_state,bone disease,
disease_state,bone marrow,
disease_state,bone osteosarcoma,MONDO:0002629
disease_state,borderline rejection,
disease_state,bowen's disease,
disease_state,brain cancer,MONDO:0001657
disease_state,brain edema caused by lipopolysaccharides,
disease_state,brain glioblastoma multiforme,MONDO:0002501
disease_state,brain injuries,
disease_state,brain tumor,MONDO:0021211
disease_state,brain tumors,
disease_state,breast adenocarcinoma,MONDO:0004988
disease_state,breast cancer,MONDO:0007254
disease_state,breast cancer associated fibroblast,
disease_state,breast carcinoma,MONDO:0004989
disease_state,breast fibrocystic disease,MONDO:0005219
disease_state,c9orf72,
disease_state,c9orf72 hexanucleotide repeat expansion,
disease_state,c9orf72-als,
disease_state,cachexia,
disease_state,cadasil,
disease_state,cancer,MONDO:0004992
disease_state,carcinoma,MONDO:0004993
disease_state,cardiac hypertrophy,
disease_state,cardiac remodelling,
disease_state,cardiometabolic diseases,
disease_state,cardiovascular,
disease_state,cardiovascular disease,MONDO:0004995
disease_state,cardiovascular system disease,MONDO:0004995
disease_state,cataract,MONDO:0005129
disease_state,celiac disease,MONDO:0005130
disease_state,central nervous system relapse,
disease_state,cerebral malaria,MONDO:0005625
disease_state,cervical adenocarcinoma,MONDO:0005153
disease_state,cervical cancer,MONDO:0002974
disease_state,cervical squamous cell cancer,MONDO:0006143
disease_state,cervix cancer,
disease_state,cervix carcinoma,MONDO:0005131
disease_state,charcot-marie-tooth type 2 a,
disease_state,childhood medulloblastoma,MONDO:0002797
disease_state,chlamydia trachomatis infection,
disease_state,cholestasis,MONDO:0001751
disease_state,cholesterol metabolism,
disease_state,chromophobe renal cell carcinoma,MONDO:0017885
disease_state,chronic b cell leukemia,
disease_state,chronic bronchitis,MONDO:0005607
disease_state,chronic hepatitis b,MONDO:0005366
disease_state,chronic inflammation,
disease_state,chronic inflammatory demyelinating polyneuropathy,MONDO:0006702
disease_state,chronic kidney disease,MONDO:0005300
disease_state,chronic liver injury,
disease_state,chronic lymphocytic leukemia,MONDO:0004948
disease_state,chronic lymphocytic leukemia (cll),MONDO:0004948
disease_state,chronic myelogenous leukemia,MONDO:0011996
disease_state,chronic myeloid leukemia,MONDO:0011996
disease_state,chronic myelomonocytic leukemia,MONDO:0020311
disease_state,chronic obstructive pulmonary disease,MONDO:0005002
disease_state,chronic pancreatitis,MONDO:0005003
disease_state,cidp,
disease_state,cidp-variants,
disease_state,cirrhosis,MONDO:0005155
disease_state,clear cell renal cell carcinoma,MONDO:0005005
disease_state,co-morbid ad/pd,
disease_state,cockayne syndrome,MONDO:0016006
disease_state,colitis,MONDO:0005292
disease_state,colon adenocarcinoma,MONDO:0002271
disease_state,colon cancer,MONDO:0021063
disease_state,colon carcinoma,MONDO:0002032
disease_state,colon tumor,MONDO:0005401
disease_state,colorectal adenocarcinoma,MONDO:0005008
disease_state,colorectal adenoma,MONDO:0005484
disease_state,colorectal cancer,MONDO:0005575
disease_state,colorectal carcinoma,MONDO:0024331
disease_state,colorectal liver metastases,
disease_state,colorectal tumor,MONDO:0005335
disease_state,common variable immunodeficiency,MONDO:0015517
disease_state,community-acquired pneumonia,
disease_state,compensated hypertrophy,
disease_state,congenital heart disease,MONDO:0005453
disease_state,corneal neovascularization,MONDO:0006713
disease_state,coronary artery disease,MONDO:0005010
disease_state,covid-19,MONDO:0100096
disease_state,craniosynostosis,MONDO:0015469
disease_state,crc,MONDO:0024331
disease_state,critical covid-19,
disease_state,critical covid-19 who score ≥6,
disease_state,crohn's colitis,MONDO:0005532
disease_state,crohn's disease,MONDO:0005011
disease_state,cscc,
disease_state,cutaneous squamous cell carcinoma,MONDO:0002529
disease_state,cystic fibrosis,MONDO:0009061
disease_state,degenerated cartilage,
disease_state,dementia,MONDO:0001627
disease_state,dementia with lewy bodies,MONDO:0007488
disease_state,dengue,MONDO:0005502
disease_state,dengue disease,MONDO:0005502
disease_state,dengue hemorrhagic fever,MONDO:0005358
disease_state,dengue shock syndrome,MONDO:0000248
disease_state,diabetes,MONDO:0005015
disease_state,diabetes mellitus,MONDO:0005015
disease_state,diabetic nephropathy,MONDO:0005016
disease_state,diabetic retinopathy,MONDO:0005266
disease_state,diclofenac-induced drug-induced liver injury,
disease_state,diffuse large b-cell lymphoma,MONDO:0018905
disease_state,dilated cardiomyopathy,MONDO:0005021
disease_state,disease,MONDO:0000001
disease_state,disease controls,
disease_state,disease free,
disease_state,dnase1l3 deficiency,
disease_state,drug resistance,
disease_state,duodenum disease,MONDO:0002866
disease_state,dysmyelination,
disease_state,early onset breast cancer,
disease_state,early osteoarthritis (oa),
disease_state,embryonal carcinoma,MONDO:0005440
disease_state,end-stage liver disease,MONDO:0100193
disease_state,end-stage renal disease,
disease_state,endocervical adenocarcinoma,MONDO:0000554
disease_state,endometrial cancer,MONDO:0011962
disease_state,endometrial carcinoma,MONDO:0002447
disease_state,endometrioid endometrial carcinomas,
disease_state,endoplasmic reticulum stress,
disease_state,enterohaemorrhagic e. coli infection,
disease_state,epidermoid carcinoma,MONDO:0005096
disease_state,epithelial mesenchymal transition,
disease_state,esophageal cancer,MONDO:0007576
disease_state,esophageal squamous cancer,
disease_state,esophageal squamous cell cancer,MONDO:0005580
disease_state,esophagus adenocarcinoma,MONDO:0005028
disease_state,estrogen receptor negative,
disease_state,ethylmalonic encephalopathy,MONDO:0011229
disease_state,ewing sarcoma,MONDO:0012817
disease_state,fabry disease,MONDO:0010526
disease_state,facioscapulohumeral muscular dystrophy,MONDO:0001347
disease_state,facioscapulohumeral muscular dystrophy (fshd),
disease_state,factor viii deficiency,MONDO:0010602
disease_state,familial ad,
disease_state,familial schwannomatosis,
disease_state,fatty liver,MONDO:0004790
disease_state,female breast cancer,MONDO:0004379
disease_state,female reproductive organ cancer,MONDO:0001416
disease_state,fibromyalgia,MONDO:0005546
disease_state,fibrosis,
disease_state,focal segmental glomerulosclerosis,MONDO:0100313
disease_state,focal-segmental glomerulosclerosis,
disease_state,frontotemporal dementia,MONDO:0017276
disease_state,frontotemporal lobar degeneration,
disease_state,ftdals1,
disease_state,ftld,
disease_state,fus-als,
disease_state,gastric cancer,MONDO:0001056
disease_state,gastritis,MONDO:0004966
disease_state,gastrointestinal stromal tumor,MONDO:0011719
disease_state,gbm,MONDO:0018177
disease_state,gcb-like diffuse large b cell lymphomas,
disease_state,genetic focal-segmental glomerulosclerosis,
disease_state,genetic sclerotic and non-sclerotic proteinuric diseases,
disease_state,germ cell cancer,MONDO:0006290
disease_state,germ cell tumors,
disease_state,glanders,MONDO:0005774
disease_state,glioblastoma,MONDO:0018177
disease_state,glioblastoma multiforme,MONDO:0018177
disease_state,global developmental delay,
disease_state,glomerulonephritis,MONDO:0002462
disease_state,glucocorticoid-induced diabetes,
disease_state,glut1 deficiency syndrome,MONDO:0000188
disease_state,gm1 gangliosidosis,MONDO:0018149
disease_state,ham/tsp,MONDO:0008039
disease_state,hbv induced acute-on-chronic liver failure,
disease_state,hcc,MONDO:0007256
disease_state,head and neck cancer,MONDO:0005627
disease_state,head and neck squamous cell carcinoma,MONDO:0010150
disease_state,healthy,
disease_state,healthy control,
disease_state,healthy controls,
disease_state,heart failure,MONDO:0005252
disease_state,heart failure with preserved ejection fraction,
disease_state,helicobacter pylori infection,
disease_state,hematological cancer,
disease_state,hemophilia a,MONDO:0010602
disease_state,hemophilia a with fviii inhibitors,
disease_state,hepatic cancers,
disease_state,hepatic fibrosis,
disease_state,hepatitis e,
disease_state,hepatocellular carcinoma,MONDO:0007256
disease_state,hepatoma,
disease_state,hereditary neuropathy,
disease_state,herpes simplex virus 1 (hsv-1) infection,
disease_state,herpes virus,
disease_state,herpes zoster oticus,MONDO:0005769
disease_state,hfpef,
disease_state,high grade serous ovarian cancer,
disease_state,high-grade serous ovarian adenocarcinoma,
disease_state,high-grade serous ovarian cancer,
disease_state,high-grade serous ovarian carcinoma,
disease_state,high-risk mds (hr-mds),
disease_state,hiv,
disease_state,hiv-1 infection,
disease_state,hiv-1 latency,
disease_state,hiv-associated neurocognitive disorders,
disease_state,hiv-associated neurocognitive disorders (hand),
disease_state,hnscc,MONDO:0010150
disease_state,hnscc-correlated lung tumors with squamous cell histology,
disease_state,houge-janssens syndrome type 1,
disease_state,hpv-negative,
disease_state,hpv-positive,
disease_state,hsv-1 induced encephalitis (hse),
disease_state,human african trypanosomiasis,MONDO:0005459
disease_state,human immunodeficiency virus (hiv),
disease_state,human immunodeficiency virus infectious disease,MONDO:0005109
disease_state,huntington disease,MONDO:0007739
disease_state,huntington's disease,MONDO:0007739
disease_state,huntington's disease (hd),
disease_state,hyaline fibromatosis syndrome,MONDO:0009229
disease_state,hypertension,
disease_state,hypertrophic cardiomyopathy,MONDO:0005045
disease_state,hypertrophic cardiomyopathy with preserved ejection fraction,
disease_state,hypertrophic cardiomyopathy with reduced ejection fraction,
disease_state,idiopathic erm,
disease_state,idiopathic inflammatory myopathies,MONDO:0020122
disease_state,idiopathic inflammatory myopathy,MONDO:0600023
disease_state,idiopathic male infertility,
disease_state,idiopathic neuropathy,
disease_state,ilyade,
disease_state,immune-related ailments,
disease_state,inborn deficit of myelin,
disease_state,infantile cholestasis,
disease_state,infantile hepatic cholestasis,
disease_state,infection,MONDO:0005550
disease_state,infertility,
disease_state,inflammation,
disease_state,inflammatory activation,
disease_state,inflammatory bowel disease,MONDO:0005265
disease_state,influenza,MONDO:0005812
disease_state,influenza a virus,
disease_state,inherited metabolic disorder,MONDO:0019052
disease_state,inherited retinal degenerations,
disease_state,insulin resistance,
disease_state,intestinal inflammation,
disease_state,intracranial hemorrhage,
disease_state,invasive adenocarcinoma,
disease_state,ischemic cardiomyopathy,
disease_state,isolated atrial amyloidosis,
disease_state,kabuki syndrome,MONDO:0016512
disease_state,kaposi's sarcoma,MONDO:0005055
disease_state,kidney cancer,MONDO:0002367
disease_state,kidney cell carcinoma,
disease_state,kidney disorders,
disease_state,kidney fibrosis,
disease_state,kidney renal cell carcinoma,
disease_state,kidney transplant,
disease_state,kidney transplant rejection,
disease_state,krabbe disease,MONDO:0009499
disease_state,kras-driven tumors,
disease_state,laryngeal carcinoma,MONDO:0002358
disease_state,leber ́s congenital amaurosis type 2,
disease_state,legionellosis,MONDO:0005823
disease_state,legionnaires' disease,MONDO:0005824
disease_state,leishmaniasis,MONDO:0011989
disease_state,lemierre's syndrome,
disease_state,leukemia,MONDO:0005059
disease_state,lewy body dementia,MONDO:0007488
disease_state,lgll,MONDO:0019469
disease_state,limb muscle,
disease_state,lipopolysaccharides,
disease_state,listeria monocytogenes infection,
disease_state,liver cancer,MONDO:0002691
disease_state,liver carcinoma,MONDO:0007256
disease_state,liver disease,MONDO:0005154
disease_state,liver fibrosis,
disease_state,liver malignancies,
disease_state,liver steatosis,
disease_state,locally advanced rectal cancer,
disease_state,low-grade glioma,MONDO:0021637
disease_state,luminal a breast cancer,MONDO:0021116
disease_state,luminal b breast cancer,MONDO:0021115
disease_state,lung adenocarcinoma,MONDO:0005061
disease_state,lung adenocarcinoma with intestinal or mucinous differentiation,
disease_state,lung cancer,MONDO:0008903
disease_state,lung carcinoma,MONDO:0005138
disease_state,lung epidermoid carcinoma,
disease_state,lung metastasis,
disease_state,lung metastatic colorectal cancer,
disease_state,lung non-squamous non-small cell carcinoma,
disease_state,lung small cell carcinoma,MONDO:0008433
disease_state,lung squamous cell carcinoma,MONDO:0005097
disease_state,lung transplant,
disease_state,lyme borreliosis,MONDO:0019632
disease_state,lyme borreliosis without central nervous system involvement,
disease_state,lyme neuroborreliosis,
disease_state,lymph node metastasis,
disease_state,lymphoma,MONDO:0005062
disease_state,lysosomal storage disease,MONDO:0002561
disease_state,lysosomal storage diseases and cancer,
disease_state,male infertility,MONDO:0005372
disease_state,malignancies,
disease_state,malignant melanoma,MONDO:0005105
disease_state,malignant neoplasm of ovary,MONDO:0008170
disease_state,malignant nodules,
disease_state,malignant pleural effusion,
disease_state,mammary tumor,
disease_state,mash,MONDO:0007027
disease_state,masld,MONDO:0013209
disease_state,maternal immune activation,
disease_state,medulloblastoma,MONDO:0007959
disease_state,melanocytic nevi,
disease_state,melanoma,MONDO:0005105
disease_state,melioidosis,MONDO:0017775
disease_state,membranous glomerulonephritis,MONDO:0005376
disease_state,membranous nephropathy (mn),
disease_state,meniere's disease,
disease_state,mesothelioma,MONDO:0005065
disease_state,metabolic dysfunction-associated steatotic liver disease,MONDO:0013209
disease_state,metabolic dysfunction–associated steatohepatitis,
disease_state,metastasis,
disease_state,metastatic crc,
disease_state,metastatic crpc,
disease_state,metastatic melanoma,MONDO:0005191
disease_state,mih,
disease_state,minimal change disease,MONDO:0006835
disease_state,minimally invasive adenocarcinoma,
disease_state,mitochondrial disease,MONDO:0044970
disease_state,mitochondrial diseases,
disease_state,mitochondrial disorders,
disease_state,mitochondrial metabolism disease,
disease_state,mitral valve disease,MONDO:0003767
disease_state,mixed disorder as reaction to stress,
disease_state,moderate covid-19,
disease_state,moderate covid-19 who score ≤2,
disease_state,molar incisor hypomineralization,
disease_state,monoclonal gammopathy of uncertain significance,MONDO:0004225
disease_state,morbid obesity,MONDO:0005139
disease_state,msl3 syndrome,
disease_state,mtb infection,
disease_state,mucoepidermoid carcinoma,MONDO:0003036
disease_state,multiple myeloma,
disease_state,multiple sclerosis,MONDO:0005301
disease_state,murine erythroleukemia,
disease_state,mycobacterium tuberculosis infection,
disease_state,myelodysplastic neoplasms,
disease_state,myelodysplastic neoplasms (mds),
disease_state,myelodysplastic syndrome,MONDO:0018881
disease_state,myeloid malignancies,
disease_state,myocardial infarction,MONDO:0005068
disease_state,ménière's disease,
disease_state,nafld,MONDO:0013209
disease_state,nasopharyngeal cancer,
disease_state,nasopharyngeal carcinoma,MONDO:0015459
disease_state,neonatal brain injury,
disease_state,neovascular glaucoma,MONDO:0019783
disease_state,nephronophthisis,MONDO:0019005
disease_state,nephronophthisis-related ciliopathy,
disease_state,nephrotic syndrome,MONDO:0005377
disease_state,neuroblastoma,MONDO:0005072
disease_state,neurodevelopmental abnormality,
disease_state,neurodevelopmental delay,
disease_state,neurofibromatosis type 2-related schwannomatosis,
disease_state,neurological controls,
disease_state,neuropsychiatric disease,
disease_state,neuropsychiatric disorder,
disease_state,new-onset epilepsy,
disease_state,niemann-pick disease type c2,
disease_state,nk-lgll,MONDO:0004234
disease_state,no rejection,
disease_state,non small cell lung cancer,
disease_state,non-alcoholic fatty liver disease,MONDO:0013209
disease_state,non-muscle invasive bladder cancer,
disease_state,non-neurodegenerative control,
disease_state,non-obstructive azoospermia,
disease_state,non-proliferative diabetic retinopathy,MONDO:0001661
disease_state,non-small cell lung cancer,MONDO:0005233
disease_state,non-small cell lung carcinoma,MONDO:0005233
disease_state,non-small-cell lung cancer,
disease_state,nonobstructive azoospermia,
disease_state,nonsmall cell lung cancer,MONDO:0011282
disease_state,noonan syndrome,MONDO:0018997
disease_state,normal,
disease_state,normal mammary gland,
disease_state,normal omentum,
disease_state,normal sperm,
disease_state,normal weight,
disease_state,nsclc,MONDO:0005233
disease_state,nstemi,
disease_state,obese,
disease_state,obesity,MONDO:0011122
disease_state,obstructive azoospermia,
disease_state,oculocutaneous albinism type vii,
disease_state,oesophageal adenocarcinoma,MONDO:0005028
disease_state,oligospermia,MONDO:0001913
disease_state,open-angle glaucoma,MONDO:0005338
disease_state,opsoclonus myoclonus ataxia syndrome,
disease_state,osteoarthritis,MONDO:0005178
disease_state,osteoarthritis (oa),
disease_state,osteoblastoma,MONDO:0018936
disease_state,osteogenesis imperfecta,MONDO:0019019
disease_state,osteosarcoma,MONDO:0009807
disease_state,ovarian cancer,MONDO:0008170
disease_state,ovary epithelial cancer,
disease_state,overactive bladder,MONDO:0006624
disease_state,overactive bladder syndrome,
disease_state,overweight,
disease_state,oxygen-induced retinopathy,
disease_state,pancreas adenocarcinoma,MONDO:0006047
disease_state,pancreatic adenocarcinoma,MONDO:0006047
disease_state,pancreatic cancer,MONDO:0009831
disease_state,pancreatic carcinoma,
disease_state,pancreatic ductal adenocarcinoma,MONDO:0005184
disease_state,pancreatic ductal carcinoma,MONDO:0005184
disease_state,pancreatic tumor,MONDO:0021040
disease_state,papillary renal cell carcinoma,MONDO:0017884
disease_state,parkinson disease,MONDO:0005180
disease_state,parkinson's disease,MONDO:0005180
disease_state,parkinson's disease with dementia,
disease_state,parkinsonism,
disease_state,parkinson’s disease,
disease_state,pdac,
disease_state,pediatric low-grade glioma,
disease_state,pelvic organ prolapse,MONDO:0000082
disease_state,peripheral primitive neuroectodermal tumor,MONDO:0018271
disease_state,periprosthetic joint infection,MONDO:0800179
disease_state,periprosthetic joint infection (pji),
disease_state,peritoneal dialysis,
disease_state,pfic3,MONDO:0011214
disease_state,pick's disease,
disease_state,pilocytic astrocytoma,MONDO:0016691
disease_state,placental malaria,
disease_state,plasma cell dyscrasias,
disease_state,plasmodium falciparum malaria,MONDO:0005920
disease_state,pneumonia,MONDO:0005249
disease_state,polycystic kidney,
disease_state,polycystic kidney disease,MONDO:0020642
disease_state,pontiac fever,MONDO:0020487
disease_state,poor ovarian response,
disease_state,post traumatic epilepsy,
disease_state,post-hepatectomy liver failure,
disease_state,postherpetic neuralgia,MONDO:0041052
disease_state,postoperative pulmonary infection,
disease_state,potx-induced nerve injury,
disease_state,pre-eclampsia,MONDO:0005081
disease_state,prediabetes,MONDO:0006920
disease_state,preeclampsia,MONDO:0005081
disease_state,preneoplasia,
disease_state,pressure overload-induced cardiac hypertrophy,
disease_state,preterm birth,
disease_state,preterm premature rupture of the membranes,MONDO:0012511
disease_state,primary effusion lymphoma,MONDO:0018842
disease_state,primary immunodeficiency disease,MONDO:0003778
disease_state,primary lung adenocarcinomas with intestinal or mucinous differentiation,
disease_state,primary mitochondrial diseases,
disease_state,primary open angle glaucoma,MONDO:0005338
disease_state,primary retinal detachment,
disease_state,progressive supranuclear palsy,MONDO:0019037
disease_state,proliferative diabetic retinopathy,MONDO:0001660
disease_state,prostate adenocarcinoma,MONDO:0005082
disease_state,prostate cancer,MONDO:0008315
disease_state,prostate carcinoma,MONDO:0005159
disease_state,proteinuria,MONDO:0003634
disease_state,proteinuric diseases,
disease_state,proteinuric glomerular kidney disease,
disease_state,proteinuric kidney disease,
disease_state,proteus syndrome,MONDO:0008318
disease_state,psoriasis,MONDO:0005083
disease_state,pulmonary arterial hypertension,MONDO:0015924
disease_state,pulmonary fibrosis,MONDO:0002771
disease_state,pulmonary hypertension,MONDO:0005149
disease_state,pulmonary tuberculosis,MONDO:0006052
disease_state,radiation toxicity,
disease_state,rasmussen encephalitis,MONDO:0016019
disease_state,rectal adenocarcinoma,MONDO:0002169
disease_state,rectal cancer,MONDO:0006519
disease_state,rectum adenocarcinoma,MONDO:0002169
disease_state,rectum cancer,MONDO:0006519
disease_state,relapsing-remitting multiple sclerosis,MONDO:0005314
disease_state,renal cell carcinoma,MONDO:0005086
disease_state,renal clear cell carcinoma,MONDO:0005005
disease_state,renal fibrosis,MONDO:0000494
disease_state,renal oncocytoma,MONDO:0003825
disease_state,repeated btbi,
disease_state,resistance to palbociclib,
disease_state,respiratory infection,
disease_state,retinal degeneration,MONDO:0004580
disease_state,retinal detachment,MONDO:0008375
disease_state,retinal neovascularization,
disease_state,retinitis pigmentosa,MONDO:0019200
disease_state,retinoblastoma,MONDO:0008380
disease_state,retinopathy of prematurity,MONDO:0006952
disease_state,rheumatic mitral valve disease,
disease_state,rheumatoid arthritis,MONDO:0008383
disease_state,rheumatoid arthritis disease specific synovial fluid,
disease_state,rotator cuff tear,
disease_state,rotator cuff tears,
disease_state,rps6kc1-related neurodevelopmental disorder,
disease_state,ruijs aalfs progeria syndrome,
disease_state,ruijs-aalfs syndrome,MONDO:0014527
