accession,title,pubmed_id,doi,pride_license,submission_date,publication_date,organisms,organism_parts,diseases,instruments,experiment_types,quantification_methods,identified_ptms
PXD012971,"RET Kinase Inhibition in Neuroendocrine Prostate Cancer, part 2",32461304,,Creative Commons Public Domain (CC0),2019-03-05,2020-05-29,Homo sapiens (human),Epithelial cell; Prostate gland,Prostate cancer,Q Exactive,Shotgun proteomics,Label free,phosphorylated residue
PXD007592,Proteomics-based insights into mitogen-activated protein kinase inhibitor resistance of cerebral melanoma metastases,29541007,10.6019/PXD007592,EBI terms of use,2017-08-30,2018-03-16,Homo sapiens (human),Skin,Melanoma,Q Exactive HF,Shotgun proteomics,,L-proline residue; residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation; Acetyl
PXD005477,Quantitative Proteomics Reveals Specialized Wiring of Signaling Pathways that Protects Human Regulatory T Cell Identity - 5 populations ex vivo,29752063,,EBI terms of use,2017-09-15,2018-05-18,Homo sapiens (human),Blood; T cell,,Orbitrap Fusion ETD,Shotgun proteomics,MS1 intensity based label-free quantification method,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue
PXD010708,Characterization of cerebrospinal fluid via data-independent acquisition mass spectrometry,30207155,10.6019/PXD010708,Creative Commons Public Domain (CC0),2018-08-07,2018-09-17,Homo sapiens (human),Cerebrospinal fluid,,Q Exactive,SWATH MS; Shotgun proteomics,,Carbamidomethyl; Oxidation
PXD008443,Serum proteomics in early onset breast cancer,,,EBI terms of use,2017-12-14,2018-08-13,Homo sapiens (human),Blood,,LTQ Orbitrap,Shotgun proteomics,,monohydroxylated residue; phosphorylated residue; methylthiolated residue
PXD011000,Proteomic analysis of tape-stripped actininc keratosis,30247810,,Creative Commons Public Domain (CC0),2018-09-04,2018-10-01,Homo sapiens (human),Skin; Keratinocyte,Actinic keratosis,Q Exactive,Shotgun proteomics,Spectrum counting,monohydroxylated residue; iodoacetamide derivatized residue
PXD012970,"RET Kinase Inhibition in Neuroendocrine Prostate Cancer, part 1",32461304,,Creative Commons Public Domain (CC0),2019-03-05,2020-05-29,Homo sapiens (human),Epithelial cell; Testis,Prostate cancer,Q Exactive,Shotgun proteomics,Label free,phosphorylated residue
PXD005755,Human serum proteome dynamics in type 2 diabetes using heavy water labeling mass spectrometry,29079528,10.6019/PXD005755,EBI terms of use,2017-01-20,2017-11-02,Homo sapiens (human),Blood plasma,Type 2 diabetes mellitus,Q Exactive,Shotgun proteomics,,Carbamidomethyl; Oxidation
PXD001524,Human testicular matrix -  Derivation and characterization of a cytocompatible scaffold from human testis,25505010,10.6019/PXD001524,EBI terms of use,2014-11-20,2015-01-30,Homo sapiens (human),Testis,,LTQ Orbitrap,Shotgun proteomics,,Deamidated; Carbamidomethyl; Oxidation
PXD004355,Characterization of protein deamidation by shotgun proteomics,,,EBI terms of use,2016-06-17,2018-07-04,Homo sapiens (human),Brain,,LTQ Orbitrap Elite,Shotgun proteomics,,iodoacetamide derivatized residue; deamidated residue
PXD010284,"A549 CD38 proteomic analysis, part 1",,,Creative Commons Public Domain (CC0),2018-07-02,2018-09-24,Homo sapiens (human),Lung,,Orbitrap Fusion Lumos,Shotgun proteomics,,No PTMs are included in the dataset
PXD011175,AUTOMATED PHOSPHOPEPTIDE ENRICHMENT FROM MINUTE QUANTITIES OF FROZEN MALIGNANT MELANOMA TISSUE,30532160,,Creative Commons Public Domain (CC0),2018-09-24,2018-11-23,Homo sapiens (human),Lymph node,Melanoma,Q Exactive,Shotgun proteomics,Label free,phosphorylated residue
PXD011178,The use of LysargiNase complementary to trypsin in large scale phosphoproteome study for unambiguous phosphosite localization,32388983,10.6019/PXD011178,Creative Commons Public Domain (CC0),2018-09-24,2020-05-22,Homo sapiens (human),Liver; Hepatocyte,,LTQ Orbitrap Velos,Shotgun proteomics,,monohydroxylated residue; phosphorylated residue; iodoacetamide derivatized residue
PXD011204,Human Platelets PRM -  A high glucose level is associated with decreased aspirin-mediated acetylation of platelet cyclooxygenase (COX)-1 at serine 529: A pilot study,30240925,10.6019/PXD011204,Creative Commons Public Domain (CC0),2018-09-27,2018-10-10,Homo sapiens (human),Platelet; Blood platelet,Type 2 diabetes mellitus,Q Exactive,All-ion fragmentation,Protein Abundance Index - PAI,Gln->pyro-Glu; Ammonia-loss; Glu->pyro-Glu; Carbamidomethyl; Oxidation; Acetyl
PXD009343,ZIKV-infected human NPCs LC-MS,29922247,,EBI terms of use,2018-03-27,2018-06-25,Homo sapiens (human),Brain,,Q Exactive,Top-down proteomics,,No PTMs are included in the dataset
PXD005055,Molecular determinants of tumor response to hyperthermia,27806300,10.6019/PXD005055,EBI terms of use,2016-09-28,2018-10-22,Homo sapiens (human),Ovary,Ovarian cancer,Q Exactive,Shotgun proteomics,,TMT6plex; Carbamidomethyl; Oxidation
PXD010260,Muscular invasiveness in bladder cancer,30419021,,Creative Commons Public Domain (CC0),2018-10-24,2018-10-26,Homo sapiens (human),Urinary bladder,Urinary bladder cancer,Q Exactive HF,Shotgun proteomics,MS1 intensity based label-free quantification method,iodoacetamide derivatized residue
PXD007740,A system-wide approach to monitor responses to synergistic BRAF and EGFR inhibition in colorectal cancer cells,29970458,,EBI terms of use,2017-09-14,2018-07-16,Homo sapiens (human),Epithelial cell; Colon,Colon cancer,Q Exactive,Shotgun proteomics,,phosphorylated residue
PXD012960,• Clinical proteomics profiling for biomarker identification  among patients suffering with Indian Post Kala Azar Dermal Leishmaniasis,32528904,10.6019/PXD012960,Creative Commons Public Domain (CC0),2019-03-05,2020-05-20,Homo sapiens (human),Blood plasma,Leishmaniasis; Disease free,Q Exactive,Shotgun proteomics,Label free,Carbamidomethyl; Oxidation
PXD004683,Comparison of Lung Cancer Proteome Profiles 2: TMT,28195392,10.6019/PXD004683,EBI terms of use,2016-07-29,2017-02-16,Homo sapiens (human),Epithelial cell; Lung,Non-small cell lung carcinoma,Q Exactive,SWATH MS,TMT,No PTMs are included in the dataset
PXD007846,A systematic evaluation of the use of human plasma and serum for mass spectrometry-based shotgun proteomics - commercial pooled samples,29451788,10.6019/PXD007846,EBI terms of use,2017-09-26,2018-02-27,Homo sapiens (human),Blood serum; Blood plasma,,Orbitrap Fusion Lumos,Shotgun proteomics,TMT,Ammonia-loss; TMT6plex; Dehydrated; Deamidated; Carbamidomethyl; Oxidation; Acetyl
PXD004540,"Multiple sclerosis biomarker discovery in cerebrospinal fluid using glycopeptide enrichment, TMT labeling and LC-MS/MS",27728768,10.6019/PXD004540,EBI terms of use,2016-07-11,2016-10-13,Homo sapiens (human),Cerebrospinal fluid,Multiple sclerosis,Q Exactive,Shotgun proteomics,TMT,Gln->pyro-Glu; Glu->pyro-Glu; TMT6plex; Deamidated; Carbamidomethyl; Oxidation; Acetyl
PXD007080,Proteomics analysis of podocytes with alpha-galactosidase knockdown,30038331,,EBI terms of use,2017-07-19,2018-10-17,Homo sapiens (human),Kidney,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset
PXD001425,Sepsis related glycopeptides -  Plasma Glycoproteomics Reveals Sepsis Outcomes Linked to Distinct Proteins in Common Pathways,26086942,,EBI terms of use,2014-10-21,2018-10-19,Homo sapiens (human),Blood plasma,Lemierre's syndrome,Q Exactive,Shotgun proteomics,Spectrum counting,monohydroxylated residue; iodoacetamide derivatized residue; deamidated residue
PXD017261,DIFFERENTIATION-DEPENDENT SUSCEPTIBILITY OF HUMAN MUSCLE CELLS TO ZIKA VIRUS INFECTION,,,Creative Commons Public Domain (CC0),2020-01-23,2020-05-11,Homo sapiens (human),Primary cell,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue
PXD003045,SPE optimization for peptide sample preparation for urine peptidomics,24568099,10.6019/PXD003045,EBI terms of use,2015-10-13,2015-10-16,Homo sapiens (human),Urine,,LTQ Orbitrap Velos,Shotgun proteomics,,Oxidation
PXD006176,Syntaxin-3 is a Weibel-Palade body localized SNARE protein that regulates Von Willebrand factor secretion from endothelial cells,29880488,,EBI terms of use,2017-03-27,2018-07-04,Homo sapiens (human),Blood; Endothelial cell,,Orbitrap Fusion ETD,Shotgun proteomics,Label free,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue
PXD007258,Human hepatic stellate cell-derived extracellular vesicles LC-MSMS,29360139,10.6019/PXD007258,EBI terms of use,2017-08-12,2018-10-18,Homo sapiens (human),Liver; Hepatic stellate cell,Hepatic fibrosis,Q Exactive,Gel-based experiment,Spectrum counting,Ammonia-loss; Dehydrated; Carbamidomethyl; Oxidation; Acetyl
PXD005323,iTRAQ-Based Quantitative Proteomic Analysis of Inhibitory Effects of Polysaccharides from Viscum coloratum (Kom.) Nakai on HepG2 Cells,28676664,,EBI terms of use,2016-11-11,2018-10-26,Homo sapiens (human),Liver; Hepatocyte,Chronic bronchitis,Q Exactive,Shotgun proteomics,iTRAQ,No PTMs are included in the dataset
PXD007081,Proteomic analysis of cultured primary urinary cells from M. Fabry Patients,30038331,,EBI terms of use,2017-07-20,2018-10-17,Homo sapiens (human),Kidney,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset
PXD016865,Human stomach LC-MSMS China Human Proteome Project,,,Creative Commons Public Domain (CC0),2019-12-20,2020-05-11,Homo sapiens (human),Stomach,Stomach cancer,Q Exactive,Shotgun proteomics,,complex glycosylation; iodoacetamide derivatized residue
PXD005220,Proteomic profiles of  synovial fluids derived from autologous chondrocyte implantation surgery,28666451,10.6019/PXD005220,EBI terms of use,2016-10-25,2017-07-04,Homo sapiens (human),Synovial tissue,Osteoarthritis,Q Exactive,Shotgun proteomics,Label free,Carbamidomethyl; Oxidation
PXD009645,Revealing the immune perturbation of black phosphorus nanomaterials to macrophages by understanding the protein corona,29946125,,EBI terms of use,2018-05-02,2018-05-18,Homo sapiens (human),Blood plasma,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset
PXD008465,Peptidomic analysis of pancreatic neurodendocrine tumours (Glucagonoma),29857350,10.6019/PXD008465,EBI terms of use,2017-12-20,2018-06-06,Homo sapiens (human),Blood plasma,Pancreatic endocrine carcinoma,Q Exactive,Top-down proteomics,,Gln->pyro-Glu; Amidated; Oxidation; Acetyl
PXD009144,"Identification of proteomic markers in head and neck cancer using MALDI-MS Imaging, LC-MS/MS and IHC",30411850,,EBI terms of use,2018-03-08,2018-11-14,Homo sapiens (human),Neck; Head,Head and neck cancer,Q Exactive,Shotgun proteomics,,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue
PXD005709,Biomarkers discovery for Colorectal cancer liver metastasis,29535834,,EBI terms of use,2017-01-16,2018-10-26,Homo sapiens (human),Liver,Colon cancer,Q Exactive,Shotgun proteomics,TIC,monohydroxylated residue; iodoacetamide derivatized residue; deamidated residue
PXD010508,"Activated neutrophils exert myeloid-derived suppressor cell activity, damaging T cells beyond repair",31738831,,Creative Commons Public Domain (CC0),2018-07-20,2020-05-07,Homo sapiens (human),T cell; Primary cell,,Orbitrap Fusion ETD,Shotgun proteomics,Label free,No PTMs are included in the dataset
PXD006522,Analysis of single human glomeruli of a patient with NPHS1 mutation - part 2,29530281,,EBI terms of use,2017-05-16,2018-06-28,Homo sapiens (human),Epithelial cell; Kidney,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset
PXD006465,Human Testis LC-MS/MS -  Multi-Protease Strategy Identifies Three PE2 Missing Proteins in Human Testis Tissue,28959888,10.6019/PXD006465,EBI terms of use,2017-05-08,2017-10-09,Homo sapiens (human),Testis,,Q Exactive HF,Shotgun proteomics; Gel-based experiment,,monohydroxylated residue; iodoacetamide derivatized residue
PXD002883,"Combined assessment of global proteome, phosphoproteome and N-terminal protein cleavage to characterize altered platelet functions in human Scott syndrome",27535140,10.6019/PXD002883,EBI terms of use,2016-04-12,2016-08-24,Homo sapiens (human),Platelet; Blood platelet,,Orbitrap Fusion,Shotgun proteomics,MS1 intensity based label-free quantification method,Ammonia-loss; Acetyl; Gln->pyro-Glu; Oxidation; Carbamidomethyl; Glu->pyro-Glu
PXD009781,Sex Estimation Using Sexually Dimorphic Amelogenin Protein Fragments in Human Enamel,0,,EBI terms of use,2018-05-15,2018-11-29,Homo sapiens (human),Tooth enamel,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; dihydroxylated residue; iodoacetamide derivatized residue; deamidated residue
PXD004443,Blood coagulation and complement activation interact to increase disease activity in systemic lupus erythematosus and coagulation D-Dimer combined with complement C4 is a biomarker of lupus activity,29599912,,EBI terms of use,2016-06-27,2018-10-26,Homo sapiens (human),Blood,,Q Exactive,Shotgun proteomics,iTRAQ,monohydroxylated residue; iTRAQ8plex-116 reporter+balance reagent acylated residue; iodoacetamide derivatized residue
PXD016261,Evaluation of tumor interstitial fluid-extraction methods for proteome analysis: comparison of biopsy elution versus centrifugation,31877049,,Creative Commons Public Domain (CC0),2019-12-06,2020-05-06,Homo sapiens (human),Epithelial cell; Interstitial fluid; Skin,,Orbitrap Fusion Lumos,Shotgun proteomics,Label free,No PTMs are included in the dataset
PXD009029,Application of Multiplexed Ion Mobility Spectrometry towards the Identification of Host Protein Signatures of Treatment Effect in Pulmonary Tuberculosis,30205969,10.6019/PXD009029,EBI terms of use,2018-02-23,2018-10-19,Homo sapiens (human),Blood serum,Pulmonary tuberculosis,Q Exactive,Shotgun proteomics,,Carbamidomethyl; Oxidation
PXD008832,Evaluation of preservation quality and viability of FFPE ovarian cancer tissue samples,30087585,10.6019/PXD008832,EBI terms of use,2018-02-01,2018-10-19,Homo sapiens (human),Ovary,,Q Exactive,Shotgun proteomics,,Phospho; TMT6plex; Carbamidomethyl; Oxidation
PXD009754,LC-MSMS of the lc4 MHC class I immunopeptidome,30518613,10.6019/PXD009754,EBI terms of use,2018-05-11,2018-10-22,Homo sapiens (human),Epithelial cell; Lung,Lung adenocarcinoma,Q Exactive,Shotgun proteomics,,Deamidated; Oxidation
PXD009440,Human Salivary Prolactine Inducible Protein (PIP),30086402,,EBI terms of use,2018-04-09,2018-08-10,Homo sapiens (human),Saliva,Multiple sclerosis,LTQ Orbitrap Elite,Top-down proteomics,MS1 intensity based label-free quantification method,2-pyrrolidone-5-carboxylic acid (Gln); N-acetylhexosaminylated residue; deoxyhexosylated residue; disulfide crosslinked residues
PXD010469,Human Urinary Proteome in Vesicoureteral Reflux,31896675,,Creative Commons Public Domain (CC0),2018-07-18,2018-10-05,Homo sapiens (human),Urine,,Q Exactive,Shotgun proteomics,Spectrum counting,iodoacetamide derivatized residue
PXD005970,Toxicoproteomic and lipidomic analysis of human lung cells chronically exposed to MWCNT,29350075,,EBI terms of use,2017-02-27,2020-05-06,Homo sapiens (human),Lung,,LTQ Orbitrap Elite,Shotgun proteomics,,deamidated residue
PXD006268,Comparative proteomics of non-nodular and nodular skin tissues from a Hyaline Fibromatosis Syndrome patient.,28604699,10.6019/PXD006268,EBI terms of use,2017-04-06,2017-07-07,Homo sapiens (human),Skin,Autosomal recessive disease,Q Exactive,Shotgun proteomics,Peptide counting,Ammonia-loss; Phospho; Dehydrated; Carbamidomethyl; Oxidation; Acetyl
PXD001324,Proteome profiling of breast cancer biopsies reveals a wound healing signature of cancer-associated fibroblasts - tumor-near tissue sections,25238572,10.6019/PXD001324,EBI terms of use,2014-09-16,2014-09-23,Homo sapiens (human),Breast,,Q Exactive,Shotgun proteomics,,Carbamidomethyl; Oxidation; Acetyl
PXD008795,Peptidomics of Human Hypothalamic neurons,,10.6019/PXD008795,EBI terms of use,2018-01-30,2018-08-22,Homo sapiens (human),Primary cerebral cortical neuronï¿½; Hypothalamic nucleus; Arcuate nucleus; Paraventricular nucleus of hypothalamus; Cerebral cortex,,Q Exactive,Top-down proteomics,,Gln->pyro-Glu; Amidated; Carbamidomethyl; Oxidation; Acetyl
PXD006911,myocardial tissue from atrial fibrillation patients,28860555,,EBI terms of use,2017-07-10,2018-11-22,Homo sapiens (human),Heart,,Q Exactive,Shotgun proteomics,,iodoacetamide derivatized residue
PXD006743,Proteome-wide changes in primary skin keratinocytes exposed to diesel particulate extract – a role for antioxidants in skin health,29857962,,EBI terms of use,2017-06-19,2018-11-06,Homo sapiens (human),Skin; Keratinocyte,,Orbitrap Fusion,Shotgun proteomics,TMT,TMT6plex-126 reporter+balance reagent acylated residue; monohydroxylated residue; iodoacetamide derivatized residue; deamidated residue
PXD017268,Proteomic characterization of the mucosal pellicle formed in vitro on a cellular model of oral epithelium,32360370,,Creative Commons Public Domain (CC0),2020-01-23,2020-05-06,Homo sapiens (human),Epithelial cell; Saliva,,LTQ Orbitrap Elite,Shotgun proteomics,,monohydroxylated residue; iodoacetamide derivatized residue
PXD009996,Proteogenomic systems analysis identifies targeted therapy resistance mechanisms in EGFR-mutated lung cancer,30183078,,EBI terms of use,2018-06-26,2018-07-02,Homo sapiens (human),Epithelial cell; Lung,Non-small cell lung carcinoma,Q Exactive,Shotgun proteomics,Isotope labeling,No PTMs are included in the dataset
PXD008723,Proteomic alterations in early stage cervical cancer,29719595,10.6019/PXD008723,EBI terms of use,2018-01-19,2018-05-03,Homo sapiens (human),Uterine cervix,,Orbitrap Fusion,SRM/MRM,,Oxidation
PXD006572,Aging-related proteome alterations in B cells may predispose for chronic lymphocytic leukemia - cytoplasmic proteins of young B cells,29196338,10.6019/PXD006572,EBI terms of use,2017-05-23,2018-01-05,Homo sapiens (human),Blood; B cell,,Q Exactive,Shotgun proteomics,,residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation; Acetyl
PXD009254,Proteome profiles of primary pancreatic ductal adenocarcinomas undergoing adjuvant chemoradiation link ALDH1A1 to early local recurrence and chemoradiation resistance,30172883,,EBI terms of use,2018-03-19,2018-09-11,Homo sapiens (human),Pancreas,Pancreatic ductal adenocarcinoma,Q Exactive,Shotgun proteomics,Label free,iodoacetamide derivatized residue
PXD011609,"Differential proteomic analysis of actinic keratosis, Bowen's disease and cutaneous squamous cell carcinoma by label-free LC-MS/MS",29665991,,Creative Commons Public Domain (CC0),2018-11-08,2018-11-21,Homo sapiens (human),Skin; Keratinocyte,Skin cancer; Squamous cell carcinoma; Actinic keratosis,LTQ Orbitrap,Shotgun proteomics,Spectrum counting,monohydroxylated residue; iodoacetamide derivatized residue
PXD018678,Proteomic analysis of ischemic and dilated cardiomyopathy pre-mortem human hearts,32487995,,Creative Commons Public Domain (CC0),2020-04-20,2020-05-01,Homo sapiens (human),Heart,Cardiovascular system disease,Q Exactive HF-X,Shotgun proteomics,,monohydroxylated residue; iodoacetamide derivatized residue
PXD000605,The human plasma proteome before and after remote ischemic preconditioning,25333471,10.6019/PXD000605,EBI terms of use,2013-11-27,2014-09-16,Homo sapiens (human),Blood cell; Blood plasma,,LTQ Orbitrap,Bottom-up proteomics,,acetylated residue; 2-pyrrolidone-5-carboxylic acid (Gln); iTRAQ4plex-114 reporter+balance reagent acylated N-terminal; iTRAQ4plex-114 reporter+balance reagent O4'-acylated tyrosine; L-cysteine methyl disulfide; iTRAQ4plex-114 reporter+balance reagent N6-acylated lysine; 2-pyrrolidone-5-carboxylic acid (Glu); monohydroxylated residue
PXD011183,Urinary proteomics by 2DE and LC-MS/MS,30366120,10.6019/PXD011183,Creative Commons Public Domain (CC0),2018-09-24,2018-11-04,Homo sapiens (human),Urine,,LTQ Orbitrap; Q Exactive,Gel-based experiment,,Carbamidomethyl; Oxidation; Acetyl
PXD008934,Characterization of proteomic changes in human heart failure,29892068,,EBI terms of use,2018-02-12,2018-06-06,Homo sapiens (human),Heart,Cardiovascular system disease,Q Exactive,Shotgun proteomics,Normalized Spectral Abundance Factor - NSAF; Peptide counting,No PTMs are included in the dataset
PXD009056,Gut microbial functional maturation and succession during early life,29687552,,EBI terms of use,2018-02-27,2018-07-16,Homo sapiens (human),Blood serum,,Q Exactive,Shotgun proteomics,,monohydroxylated residue; iodoacetamide derivatized residue
PXD008354,The Proteomic Landscape in the Vitreous of Patients With Age-Related and Diabetic Retinal Disease,30025106,,EBI terms of use,2017-12-04,2018-07-23,Homo sapiens (human),Vitreous humor,Proliferative diabetic retinopathy; Age related macular degeneration; Epiretinal membrane,Orbitrap Fusion,Shotgun proteomics,MS1 intensity based label-free quantification method,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue
PXD017976,Platelets fuel the inflammasome activation of innate immune cells,,,Creative Commons Public Domain (CC0),2020-03-10,2020-05-01,Homo sapiens (human),Megakaryocyte; Platelet; Blood platelet,,Q Exactive,Shotgun proteomics,MS1 intensity based label-free quantification method,monohydroxylated residue; iodoacetamide derivatized residue
PXD006897,Shotgun proteomics analysis of single human tubules,29530281,,EBI terms of use,2017-07-07,2018-06-28,Homo sapiens (human),Kidney,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset
PXD008996,Impact of biomechanical stimulation in the toxicity of deoxynivalenol in A431 cells: impairment of “dynamic” cell functions,30054545,10.6019/PXD008996,EBI terms of use,2018-02-20,2018-07-31,Homo sapiens (human),Epithelial cell; Skin,Carcinoma,Q Exactive,Shotgun proteomics,,residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation; Acetyl
PXD009755,LC-MSMS of the lc6 MHC class I immunopeptidome,30518613,10.6019/PXD009755,EBI terms of use,2018-05-11,2018-10-22,Homo sapiens (human),Epithelial cell; Lung,Lung adenocarcinoma,Q Exactive,Shotgun proteomics,,Deamidated; Oxidation
PXD007122,"Human A549 CD38, part 1 -  Decreased NAD Activates STAT3 and Integrin Pathways to Drive Epithelial-Mesenchymal Transition",29980616,,EBI terms of use,2017-07-25,2018-07-10,Homo sapiens (human),Lung,,Q Exactive,Shotgun proteomics,,6x(13)C labeled residue
PXD009300,Proteomic Distinction of Renal Oncocytomas and Eosinophilic Chromophobe Renal Cell Carcinomas,30087584,,EBI terms of use,2018-03-23,2018-08-13,Homo sapiens (human),Kidney,,Q Exactive,Shotgun proteomics,,No PTMs are included in the dataset
PXD016437,Quantitative proteomic analysis of urine liquid biopsy samples in muscle invasive bladder urothelial carcinoma,32326232,,Creative Commons Public Domain (CC0),2019-11-25,2020-04-29,Homo sapiens (human),Urine,Bladder transitional cell carcinoma,Q Exactive Plus,Shotgun proteomics,MS1 intensity based label-free quantification method,monohydroxylated residue; iodoacetamide derivatized residue
PXD009624,Characterization of cerebrospinal fluid via data-independent acquisition mass spectrometry,30207155,10.6019/PXD009624,EBI terms of use,2018-04-27,2018-09-17,Homo sapiens (human),Blood; Cerebrospinal fluid; Brain,,Q Exactive,SWATH MS; Shotgun proteomics,,residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation
PXD009350,Proteomics at large: Discovery and replication of plasma proteomic biomarkers in independent cohorts - Overweight and obese patients of the Weight Management Clinical program of The Ottawa Hospital,30451909,10.6019/PXD009350,EBI terms of use,2018-03-28,2018-11-23,Homo sapiens (human),Blood plasma,,LTQ Orbitrap Elite,Shotgun proteomics,TMT,Ammonia-loss; TMT6plex; Dehydrated; Deamidated; Carbamidomethyl; Oxidation; Acetyl
PXD009646,Deep Dive in the Proteome of Human Cerebrospinal Fluid: A Valuable Data Resource for Biomarker Discovery and Missing Protein Identification,30124047,10.6019/PXD009646,EBI terms of use,2018-05-02,2018-08-29,Homo sapiens (human),Cerebrospinal fluid,,LTQ Orbitrap Elite,Shotgun proteomics,,Ammonia-loss; TMT6plex; Dehydrated; Deamidated; Carbamidomethyl; Oxidation; Acetyl
PXD011241,Exosomes of p53 mutant H1299 cells,30498210,,Creative Commons Public Domain (CC0),2018-10-01,2018-12-04,Homo sapiens (human),Epithelial cell; Lung,Non-small cell lung carcinoma,LTQ Orbitrap Elite,Shotgun proteomics,SILAC,No PTMs are included in the dataset
PXD009716,glyXtoolMS Example Data Sets -  glyXtoolMS: An Open-Source Pipeline for Semiautomated Analysis of Glycopeptide Mass Spectrometry Data,30252445,,Creative Commons Public Domain (CC0),2018-09-20,2018-09-24,Homo sapiens (human),Blood plasma,,LTQ Orbitrap Elite,Shotgun proteomics,,monohydroxylated residue; iodoacetamide derivatized residue
PXD016555,Tumor-associated macrophages promote ovarian cancer cell migration by secreting transforming growth factor beta induced (TGFBI) and tenascin C,32312959,,Creative Commons Public Domain (CC0),2019-12-03,2020-04-28,Homo sapiens (human),Ascites; Macrophage,Malignant neoplasm of ovary,Q Exactive,Shotgun proteomics,Label free; MS1 intensity based label-free quantification method,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue
PXD004625,Multi-omics analysis of serum samples demonstrates reprogramming of organ functions via systemic calcium mobilization and platelet activation in metastatic melanoma patients - proteins from serum samples of melanoma patients with low tumor load,27879288,10.6019/PXD004625,EBI terms of use,2016-07-21,2016-12-22,Homo sapiens (human),Blood serum,Melanoma,Q Exactive,Shotgun proteomics,,residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation; Acetyl
PXD007624,Human aqueous humor of Primary open angle glaucoma  LC-MS/MS,29901396,,EBI terms of use,2017-09-01,2018-06-15,Homo sapiens (human),Anterior chamber of the eye; Aqueous drainage system,,Q Exactive,Shotgun proteomics,Protein Abundance Index - PAI,deamidated residue
PXD010698,Characterization of cerebrospinal fluid via data-independent acquisition mass spectrometry,30207155,10.6019/PXD010698,Creative Commons Public Domain (CC0),2018-08-06,2018-09-17,Homo sapiens (human),Cerebrospinal fluid,,Q Exactive,SWATH MS; Shotgun proteomics,,residues isobaric at 128.058578 Da; Carbamidomethyl; Oxidation
PXD007705,Comparative proteomics reveals a diagnostic signature for pulmonary head-and-neck cancer metastasis.,30097507,,EBI terms of use,2018-04-25,2018-08-06,Homo sapiens (human),Lung,,Q Exactive HF-X; Orbitrap Fusion,Shotgun proteomics,SILAC,monohydroxylated residue; acetylated residue; iodoacetamide derivatized residue
PXD007873,TDP-43 in ALS/FTLD studied by a novel aggregate extraction method,30559480,,EBI terms of use,2017-10-02,2018-10-10,Homo sapiens (human),Brain,,TripleTOF 5600; Q Exactive,Shotgun proteomics,Spectrum counting,monohydroxylated residue; iodoacetamide derivatized residue
PXD017804,LC-MSMS of postmenopausal with low BMD,32328356,,Creative Commons Public Domain (CC0),2020-03-02,2020-04-27,Homo sapiens (human),Blood,Osteoporosis,Q Exactive Plus,Shotgun proteomics,,No PTMs are included in the dataset
PXD009752,LC-MSMS of the lc2 MHC class I immunopeptidome,30518613,10.6019/PXD009752,EBI terms of use,2018-05-11,2018-10-22,Homo sapiens (human),Epithelial cell; Lung,Lung adenocarcinoma,Q Exactive,Shotgun proteomics,,Deamidated; Oxidation
PXD006265,NHBE proteome response to a wild type infectious clone of H1N1 Influenza virus,28538182,10.6019/PXD006265,EBI terms of use,2017-04-06,2017-05-24,Homo sapiens (human),Lung; Epithelial cell of lung,Influenza,LTQ Orbitrap Velos,Shotgun proteomics,,iTRAQ4plex; Carbamidomethyl; Oxidation
PXD010294,Proteomic landscape of cholangiocarcinomas reveals 3 different subgroups according to their localization and the underlying non-tumor liver,30520266,,Creative Commons Public Domain (CC0),2018-07-03,2018-12-11,Homo sapiens (human),Liver; Liver,Cholangiocarcinoma,Orbitrap Fusion ETD,Shotgun proteomics,MS1 intensity based label-free quantification method,monohydroxylated residue; phosphorylated residue; acetylated residue
PXD007894,Absolute quantitation of proteins by two-point quantitation using dimethylated proteotypic peptides,30112540,,EBI terms of use,2018-05-29,2018-11-27,Homo sapiens (human),Blood serum; Blood cell,,Q Exactive,SRM/MRM,,No PTMs are included in the dataset
PXD005693,Biomarkers discovery for Colorectal cancer,29535834,,EBI terms of use,2017-01-12,2018-10-26,Homo sapiens (human),Colon,Colon cancer,Q Exactive,Shotgun proteomics,TIC,monohydroxylated residue; deamidated residue; iodoacetamide derivatized residue
