source_file	source_shard	age	cell_line	cell_type	developmental_stage	disease_state	material_type	sample_source	sex	species	tissue	biological_confidence_overall	biological_confidence_evidence_score	biological_confidence_completeness	biological_confidence_format_score	biological_replicate	experimental_design	factor_value	number_of_biological_replicates	number_of_fractions	number_of_samples	number_of_technical_replicates	technical_replicate	technology_type	experimental_design_confidence_overall	experimental_design_confidence_evidence_score	experimental_design_confidence_completeness	experimental_design_confidence_format_score	acquisition_method	alkylation_concentration	alkylation_reagent	cleavage_agent	collision_energy	enrichment_method	fractionation_method	fragmentation_method	instrument	ionization_type	labeling	mass_analyzer	ptm	reduction_concentration	reduction_reagent	technical_confidence_overall	technical_confidence_evidence_score	technical_confidence_completeness	technical_confidence_format_score
PXD064727	shard_1	unknown	Jurkat	T cell	unknown	['Acute leukemia', 'T-cell acute lymphoblastic leukemia (T-ALL)']	cell line	cell culture	unknown	Homo sapiens	blood	0.857	0.9	0.533	1.0	unknown	treated vs control	treatment	unknown	unknown	unknown	unknown	unknown	Bottom-up proteomics	0.833	0.933	0.333	1.0	['DDA', 'Data-dependent acquisition', 'Proline (version 2.1) (Bouyssié Bioinformatics 2020) was used to merge DDA results.']	unknown	iodoacetamide	['trypsin', 'Trypsin/P']	unknown	unknown	unknown	unknown	['Q Exactive HF', 'Q-Exactive HF, Thermo Fisher Scientific']	ESI	['label-free', 'Relative quantification']	Orbitrap	['monohydroxylated residue', 'acetylated residue', 'iodoacetamide derivatized residue', 'carbamidomethylation', 'acetyl', 'oxidation']	unknown	unknown	0.899	0.91	0.72	1.0
PXD064850	shard_1	unknown	['Huh7', 'MHCC97H']	hepatocyte	unknown	hepatocellular carcinoma	cell line	cell culture	unknown	Homo sapiens	liver	0.883	0.953	0.533	1.0	unknown	treated vs control	cholesterol treatment	unknown	unknown	unknown	unknown	unknown	shotgun proteomics	0.767	0.8	0.333	1.0	DIA	11 mM	iodoacetamide	trypsin	unknown	unknown	unknown	unknown	Orbitrap Exploris 480	ESI	TMT	Orbitrap	['No PTMs are included in the dataset', 'carbamidomethylation']	5 mM	dithiothreitol	0.891	0.881	0.75	1.0
PXD065042	shard_1	unknown	unknown	['round spermatids', 'elongating spermatids']	['adult', 'adult (>8-week-old)']	normal	tissue	cell culture	unknown	['Mus musculus', 'Mus musculus']	Testis	0.891	0.924	0.647	1.0	['2', 'unknown', '2', 'treated vs control', 'TSSK2 vs IgG', '10', '2', '2', '2', 'affinity purification coupled with mass spectrometry proteomics']	['treated vs control', 'unknown']	['TSSK2 co-IP', 'IgG co-IP']	['2', 'unknown']	['10', 'unknown']	['2', 'unknown']	['2', 'unknown']	['2', 'unknown']	['affinity purification coupled with mass spectrometry proteomics', 'unknown']	0.85	0.823	0.692	1.0	data dependent acquisition	unknown	iodoacetamide derivatized residue	trypsin	unknown	antibody	unknown	HCD	Q Exactive HF	nano-electrospray ionization	label-free	Orbitrap	iodoacetamide derivatized residue	unknown	unknown	0.892	0.917	0.667	1.0
PXD065453	shard_1	unknown	unknown	unknown	unknown	unknown	recombinant protein	cell culture	unknown	Escherichia coli	unknown	0.821	0.957	0.214	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	bottom-up proteomics	0.822	1.0	0.111	1.0	['Data-dependent acquisition', 'data-dependent']	['55 mM', 'final concentration of 55 mM iodoacetamide']	['iodoacetamide', 'iodoacetamide derivatized residue']	['trypsin', 'Trypsin', 'Trypsin']	unknown	unknown	unknown	['CID', 'HCD', 'CID/HCD peptide fragmentation']	['LTQ Orbitrap Velos', 'LTQ Orbitrap™ Velos Pro', 'LTQ-Orbitrap Velos Pro']	['nanoESI', 'ESI']	label-free	['Orbitrap', 'Ion Trap']	['monohydroxylated residue', 'iodoacetamide derivatized residue', 'Met oxidation', 'Cys Carbamidomethylation']	['10 mM', 'final DTT concentration reached 10 mM']	['DTT', 'DTT']	0.94	0.919	0.903	1.0
PXD065702	shard_1	3-week-old	unknown	unknown	unknown	normal	tissue	whole plant	unknown	Arabidopsis thaliana	Leaf	0.87	0.927	0.533	1.0	4	treated vs control	dark vs low light	4	14	16	5	5	['bottom-up proteomics', 'SPEAR']	0.9	0.8	1.0	1.0	['DDA', 'Data-dependent acquisition']	['100 mM', '5 mM', '100 mM', '100 mM']	['N-ethylmaleimide', 'NEM', 'd0-NEM', 'd5-NEM']	trypsin	unknown	unknown	['high-pH reversed-phase separation', 'low-pH reversed-phase separation']	HCD	['Orbitrap Fusion Lumos', 'Orbitrap Fusion Lumos']	nanoESI	['label-free', 'label-free']	Orbitrap	['N-ethylmaleimide derivatized cysteine', 'hydrolyzed N-ethylmaleimide cysteine adduct', 'N-ethylmaleimide on C', 'Nem:2H(5) on C', 'N-ethylmaleimide + water on C', 'Nem:2H(5) + H2O on C']	['5.5 mM', '5.5 mM']	['tris 2-carboxyethyl phosphine', 'TCEP']	0.916	0.856	0.938	1.0
PXD066010	shard_1	68.8 ± 10.6 years	unknown	blood	adult	hip osteoarthritis	tissue	patient surgical tissue	8 females and 2 males	Homo sapiens	['blood', 'bone', 'bone marrow', 'muscle', 'fat']	0.889	0.889	0.722	1.0	10	['case vs control', 'treated vs control']	['β-TCP vs PCL', 'BF vs BC']	10	unknown	10	unknown	unknown	bottom-up proteomics	0.818	0.745	0.727	1.0	Data-dependent acquisition	['1 M', '40 mM']	['iodoacetamide', 'chloroacetamide']	['trypsin', 'LysC']	unknown	unknown	unknown	unknown	['Orbitrap Fusion Lumos', 'Orbitrap Elite']	ESI	label free sample	Orbitrap	['monohydroxylated residue', 'acetylated residue', 'Carbamidomethylation on Cystein', 'oxidation of methionine residues', 'acetylation of the protein N-terminus']	['1 M', '0.1 M', '10 mM']	['DTT', 'TCEP']	0.965	0.992	0.846	1.0
PXD066215	shard_1	unknown	Col-0	unknown	unknown	normal	tissue	root tissue	unknown	Arabidopsis thaliana	root	0.882	0.964	0.5	1.0	unknown	treated vs control	['PILS2-overexpressing line vs Col-0', 'PILS3-overexpressing line vs Col-0', 'PILS6-overexpressing line vs Col-0']	unknown	unknown	unknown	unknown	unknown	affinity purification coupled with mass spectrometry proteomics	0.8	0.818	0.455	1.0	DDA	25 mM	iodoacetamide	trypsin	['27%', '28%']	anti-GFP magnetic beads	unknown	HCD	['Orbitrap Exploris 480', 'Q Exactive HF']	nanoESI	label-free	Orbitrap	['phosphorylated residue', 'carbamidomethylation', 'oxidation', 'phosphorylation', 'N-terminal acetylation']	10 mM	dithiothreitol	0.971	0.962	0.952	1.0
PXD066614	shard_1	unknown	unknown	neural progenitor cells	unknown	['normal', '16p11.2 deletion', '16p11.2 duplication']	cell line	['cell culture', 'iPSC derived NPCs']	unknown	Homo sapiens	brain	0.837	0.862	0.529	1.0	unknown	treated vs control	16p11.2 copy number variation	unknown	25	10	unknown	unknown	bottom-up proteomics	0.844	0.867	0.556	1.0	Data-dependent acquisition	7.5mM	iodoacetamide	trypsin	unknown	titanium dioxide	high pH RP chromatography	unknown	Q Exactive HF	unknown	TMT	Orbitrap	['phosphorylated residue', 'Carbamidomethylation of cysteine residues', 'TMT10plex labeling of lysine residues and N-terminus of the protein', 'N-acetylation of the N-terminus of the protein', 'loss of protein N-terminal methionine', 'pyroglutamate formation from of peptide N-terminal glutamines', 'oxidation of methionine']	5mM	DTT	0.96	0.976	0.857	1.0
PXD066952	shard_1	8 weeks to 20 weeks	HeLa	hepatocytes	unknown	MASH	tissue	mouse liver	unknown	Mus musculus	liver	0.871	0.886	0.643	1.0	mouse liver	treated vs control	Control diet vs HFD vs HFHFHCD vs CDHFD	unknown	unknown	unknown	unknown	unknown	['Bottom-up proteomics', 'affinity purification coupled with mass spectrometry proteomics']	0.82	0.84	0.5	1.0	['DDA', 'Data Dependent Acquisition', 'Data-dependent acquisition']	10 mM	iodoacetamide	['trypsin', 'Lys-C', 'Trypsin']	['32 %', '28 %']	['NeutrAvidin', 'DCP-Bio1']	unknown	HCD	['Orbitrap Eclipse', 'Orbitrap Eclipse™ Tribid™ mass spectrometer', 'Orbitrap Exploris 480 Mass Spectrometer']	['ESI', 'nanoESI']	['label-free', 'label-free quantification']	['Orbitrap', 'IonTrap']	['monohydroxylated residue', 'acetylated residue', 'NBF (+163.0012 Da)', 'DCP-Bio1 (+394.1557 Da)', 'N-term acetylation', 'methionine oxidation', 'Cysteine carbamidomethylation', 'N-terminal acetylation']	5 mM	DTT	0.93	0.873	0.97	1.0
PXD067200	shard_1	unknown	unknown	unknown	unknown	Wounds and injuries	wound fluid	human fingertip amputations	unknown	Homo sapiens	fingertip	0.861	0.979	0.357	1.0	unknown	time course	time	unknown	unknown	unknown	unknown	unknown	['Bottom-up proteomics', 'Data-dependent acquisition']	0.85	0.94	0.4	1.0	['DDA', 'Data-dependent acquisition']	unknown	iodoacetamide	['trypsin', 'trypsin']	unknown	unknown	unknown	unknown	['Q Exactive HF', 'Q-Exactive HF']	ESI	['label-free', 'Spectrum counting']	Orbitrap	['monohydroxylated residue', 'iodoacetamide derivatized residue', 'Carbamidomethyl-cysteine', 'methionine oxidation', 'protein N-terminal acetylation']	unknown	unknown	0.909	0.939	0.696	1.0
PXD067414	shard_1	unknown	HEK-293	['kidney cell', 'early embryonic cell']	early embryonic	Parkinson's disease	cell line	cell culture	unknown	Homo sapiens	kidney	0.86	0.88	0.6	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	['Bottom-up proteomics', 'Data-independent acquisition']	0.84	1.0	0.2	1.0	['Data-independent acquisition', 'DIA']	20 mM	['Iodoacetamide', 'iodoacetamide derivatized residue']	Trypsin/LysC	unknown	unknown	SDB-RP stage-tips	unknown	['Orbitrap Exploris 480', 'Orbitrap Exploris 480']	unknown	label-free quantification	Orbitrap	['monohydroxylated residue', 'iodoacetamide derivatized residue']	5mM	DTT	0.955	0.995	0.789	1.0
PXD067649	shard_1	unknown	unknown	yeast	unknown	normal	cell culture	cell culture	unknown	Saccharomyces cerevisiae	unknown	0.811	0.879	0.357	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	['bottom-up proteomics', 'shotgun proteomics']	0.815	0.95	0.2	1.0	Data-dependent acquisition	10 mM	iodoacetamide	trypsin	unknown	unknown	unknown	unknown	Orbitrap Ascend	unknown	TMT	Orbitrap	['monohydroxylated residue', 'TMTpro labels on lysine residues and peptide N-termini (+304.207 Da)', 'carbamidomethylation of cysteine residues (+57.021 Da)', 'methionine oxidation (+15.995 Da)']	5 mM	tris(2-carboxyethyl)phosphine (TCEP)	0.931	0.972	0.722	1.0
PXD068004	shard_1	unknown	unknown	tumor cell	unknown	['Endometrial cancer', 'endometrioid endometrial carcinomas']	tissue	tumor biopsy	unknown	Homo sapiens	Uterine endometrium	0.87	0.953	0.467	1.0	unknown	case vs control	CTNNB1 mutated vs wild type	10	8	10	unknown	unknown	bottom-up proteomics	0.861	0.856	0.667	1.0	Data-dependent acquisition	unknown	iodoacetamide	Trypsin/Lys-C Protease Mix	unknown	unknown	Pierce High pH Reversed-Phase Fractionation Kits	unknown	Q Exactive	Electrospray Ionization	TMT	Orbitrap	['iodoacetamide derivatized residue', 'oxidation of methionine', 'acetylation of lysine residue', 'Carbamidomethylation of cysteine']	unknown	unknown	0.931	0.994	0.667	1.0
PXD068392	shard_1	unknown	BY4741	unknown	unknown	normal	cell culture	cell culture	unknown	Saccharomyces cerevisiae	unknown	0.818	0.864	0.429	1.0	6	treated vs control	mistranslating tRNA variants	6	unknown	24	unknown	unknown	bottom-up proteomics	0.878	0.889	0.667	1.0	['DIA', 'DDA']	15 mM	iodoacetamide	['LysC', 'trypsin']	['33% normalized collision energy (NCE)', '30% NCE', '31% NCE', '30% NCE']	Fe3+-NTA magnetic beads	gas phase fractionated	HCD	['Orbitrap Eclipse', 'Orbitrap Eclipse Mass Spectrometer']	ESI	label-free	Orbitrap	['carbamidomethylation', 'oxidation', 'phosphorylation', 'monohydroxylated residue', 'proline to alanine', 'proline to serine', 'arginine to serine', 'protein N-terminal acetylation', 'proline to phosphoserine', 'arginine to phosphoserine']	5 mM	dithiothreitol	0.973	0.947	1.0	1.0
PXD068664	shard_1	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.8	1.0	0.0	1.0	unknown	treated vs control	unknown	unknown	unknown	unknown	unknown	unknown	affinity purification coupled with mass spectrometry proteomics	0.789	0.889	0.222	1.0	Data-dependent acquisition	5 mM iodoacetamide	iodoacetamide	trypsin	unknown	streptavidin beads	unknown	unknown	Q Exactive HF	nanoESI	label-free	Orbitrap	No PTMs are included in the dataset	1 mM DTT	DTT	0.89	0.86	0.8	1.0
PXD069058	shard_1	unknown	unknown	['macrophages', 'erythrocytes']	unknown	Autosomal hemophilia a	cell line	cell culture	unknown	Homo sapiens	Blood	0.843	0.9	0.467	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	affinity purification coupled with mass spectrometry proteomics	0.794	0.944	0.111	1.0	DDA	unknown	unknown	unknown	30	unknown	unknown	HCD	Orbitrap Fusion Lumos	nano electrospray	Label free	Orbitrap	No PTMs are included in the dataset	unknown	unknown	0.88	0.947	0.533	1.0
PXD069538	shard_1	unknown	unknown	neuron	unknown	['Mental depression', 'normal']	tissue	mouse brain tissue	unknown	Mus musculus	brain	0.853	0.92	0.467	1.0	unknown	['time course', 'treated vs control', 'unknown']	cLTD	16	30	16	unknown	unknown	['shotgun proteomics', 'affinity purification coupled with mass spectrometry proteomics']	0.833	0.8	0.667	1.0	Data-dependent acquisition	40mM	2-chloroacetamide	['trypsin', 'LysC']	30	IMAC	high-pH reversed phase off-line chromatography	HCD	['Q Exactive HF-X', 'Orbitrap Exploris 480']	nanoESI	TMT	Orbitrap	['phosphorylated residue', 'methionine oxidation', 'N-terminal acetylation', 'deamidation (N and Q)', 'phosphorylation (STY)', 'carbamidomethylated cysteine']	10mM	dithiothreitol	0.975	0.95	1.0	1.0
PXD070409	shard_1	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	Arabidopsis thaliana	Flower	0.829	1.0	0.143	1.0	unknown	treated vs control	SPL-GFP IP vs input	unknown	unknown	unknown	unknown	unknown	['affinity purification coupled with mass spectrometry proteomics', 'bottom-up proteomics', 'data-dependent acquisition']	0.845	0.909	0.455	1.0	['DDA', 'Data-dependent acquisition']	['10 mM iodoacetamide', '20 mM iodoacetamide']	['iodoacetamide', 'iodoacetamide']	['trypsin/LysC', 'trypsin/LysC']	normalized collision energy at 25%	['Affinity purification coupled with mass spectrometry proteomics', 'anti-GFP beads']	unknown	HCD	Q Exactive Plus	nanoESI	label-free quantification (LFQ)	Orbitrap	iodoacetamide derivatized residue	['5 mM DTT', '10 mM DTT']	['DTT', 'DTT']	0.957	0.932	0.955	1.0
PXD000072	shard_2	unknown	unknown	Blood platelet	unknown	normal	primary cells	cell culture	unknown	Homo sapiens	blood	0.829	0.886	0.429	1.0	isolated platelets	treated vs control	mock vs stimulated	unknown	unknown	unknown	unknown	unknown	Bottom-up proteomics	0.833	0.889	0.444	1.0	Bottom-up proteomics	unknown	iodoacetamide	unknown	unknown	unknown	unknown	['electron transfer dissociation', 'high collision dissociation']	LTQ Orbitrap Velos	unknown	stable isotope labeling	Orbitrap	['monohydroxylated residue', 'formylated residue', 'dihydroxylated residue', 'iodoacetamide derivatized residue']	unknown	unknown	0.913	0.995	0.579	1.0
PXD000533	shard_2	unknown	['Hep3B', 'MHCC97H', 'HCCLM3']	hepatocellular carcinoma cell	unknown	hepatocellular carcinoma	cell line	cell culture	unknown	Homo sapiens	liver	0.863	0.9	0.562	1.0	unknown	unknown	unknown	unknown	unknown	3	unknown	unknown	Bottom-up proteomics	0.844	1.0	0.222	1.0	DDA	unknown	iodoacetamide	unknown	unknown	unknown	unknown	unknown	Q Exactive	ESI	label-free	Orbitrap	['monohydroxylated residue', 'iodoacetamide derivatized residue']	unknown	unknown	0.866	0.931	0.5	1.0
PXD001068	shard_2	unknown	HDF	melanocyte	unknown	['melanocytic nevi', 'melanoma']	cell culture	cell culture	unknown	Homo sapiens	skin	0.863	0.913	0.533	1.0	3	treated vs control	['control transfection', 'BRAFV600E transfection only', 'BRAFV600E and CEBP/B shRNA', '3 days', '9 days']	unknown	20	6	unknown	unknown	Shotgun proteomics	0.892	0.877	0.769	1.0	unknown	unknown	unknown	Lys-C	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	0.813	1.0	0.067	1.0
PXD001357	shard_2	unknown	unknown	unknown	unknown	unknown	dental calculus	archaeological dental calculus	unknown	Homo sapiens	dental plaque	0.836	0.957	0.286	1.0	98	cross-sectional	milk product consumption	98	unknown	98	unknown	unknown	Shotgun proteomics	0.878	0.889	0.667	1.0	['DDA', 'Shotgun proteomics']	unknown	carbamidomethylation	trypsin	['40%', '28%', '35%', '25%']	unknown	unknown	['HCD', 'CID']	['LTQ Orbitrap Elite', 'Q Exactive']	['ESI', 'nanoESI']	label-free	['Orbitrap', 'Ion Trap']	['Gln->pyro-Glu', 'Deamidated', 'Carbamidomethyl', 'Oxidation', 'Acetyl']	unknown	unknown	0.889	0.852	0.815	1.0
PXD001421	shard_2	unknown	unknown	peripheral blood mononuclear cell	adult	normal	primary cells	healthy volunteers	unknown	Homo sapiens	blood	0.843	0.886	0.5	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	Shotgun proteomics	0.822	1.0	0.111	1.0	DDA	unknown	IAA	trypsin	30%	unknown	unknown	HCD	Q Exactive	nanospray	label-free	Orbitrap	['Carbamidomethyl', 'Oxidation', 'Acetyl']	unknown	DTT	0.906	0.906	0.765	1.0
PXD001609	shard_2	unknown	['HEK293T', 'Hela', 'Hek-293']	['epithelial cell', 'kidney cell']	unknown	['Cervix carcinoma', 'cervical adenocarcinoma']	cell line	cell culture	unknown	Homo sapiens	['cervix', 'kidney']	0.863	0.874	0.632	1.0	unknown	treated vs control	DSP concentration	unknown	unknown	unknown	unknown	unknown	shotgun proteomics	0.833	0.933	0.333	1.0	Shotgun proteomics	unknown	unknown	trypsin	unknown	unknown	unknown	unknown	Q Exactive	unknown	18O	Orbitrap	No PTMs are included in the dataset	unknown	unknown	0.863	0.967	0.4	1.0
PXD002057	shard_2	unknown	['SKBR3', 'SKBR3-AZDRc']	breast cancer cell	unknown	breast cancer	cell culture	cell culture	unknown	Homo sapiens	breast	0.9	0.987	0.533	1.0	3	treated vs control	AZD8931 resistance	3	unknown	6	unknown	unknown	Shotgun proteomics	0.867	0.867	0.667	1.0	DDA	50 mM iodoacetamide	iodoacetamide	trypsin	unknown	unknown	unknown	unknown	Q Exactive	ESI	label-free	Orbitrap	['carbamidomethylation', 'oxidation']	20 mM dithiothreitol	dithiothreitol	0.906	0.912	0.75	1.0
PXD002437	shard_2	unknown	unknown	unknown	unknown	Adult respiratory distress syndrome	biofluid	bronchoalveolar lavage	unknown	Homo sapiens	lung	0.85	0.957	0.357	1.0	unknown	case vs control	IPS vs infectious lung injury	unknown	15	30	unknown	unknown	shotgun proteomics	0.856	0.889	0.556	1.0	['DDA', 'Shotgun proteomics']	unknown	MMTS	trypsin-gold	unknown	unknown	['C18', 'high-pH']	HCD	['LTQ Orbitrap Velos', 'Orbitrap Velos']	ESI	['iTRAQ', 'iTRAQ 8-plex']	Orbitrap	['iTRAQ8plex-116 reporter+balance reagent acylated residue', 'L-cysteine methyl disulfide']	unknown	unknown	0.905	0.91	0.75	1.0
PXD002842	shard_2	unknown	LAN5	neuroblastoma cell	unknown	Alzheimer's disease	['cell culture', 'cell line']	cell culture	unknown	Homo sapiens	brain	0.88	0.947	0.533	1.0	unknown	unknown	unknown	unknown	unknown	unknown	unknown	unknown	shotgun proteomics	0.822	1.0	0.111	1.0	unknown	50 mM IAM	IAM	trypsin	unknown	unknown	unknown	unknown	LTQ Orbitrap Velos	unknown	label-free	Orbitrap	['Cysteine Carbamidomethylation', 'N-terminal Glutamine conversion to Pyro-glutammic Acid', 'Methionine Oxidation']	['100 mM DTT', '10 mM DTT']	DTT	0.928	0.989	0.667	1.0
PXD003120	shard_2	unknown	MCF10A	Epithelial cell	unknown	Breast cancer	Cell culture	cell culture	unknown	Homo sapiens	unknown	0.886	1.0	0.429	1.0	unknown	treated vs control	siLATS1/2 vs control	2	unknown	unknown	unknown	unknown	affinity purification coupled with mass spectrometry proteomics	0.817	0.856	0.444	1.0	unknown	unknown	unknown	trypsin	unknown	affinity	unknown	unknown	Q Exactive	unknown	label-free	Orbitrap	phosphorylated residue	unknown	unknown	0.863	0.967	0.4	1.0
PXD003296	shard_2	unknown	unknown	small airway epithelial cells	unknown	normal	cell line	cell culture	unknown	Homo sapiens	lung	0.857	0.943	0.429	1.0	2	treated vs control	treatment, genotype, condition	2	60	8	1	1	Shotgun proteomics	0.911	0.822	1.0	1.0	DDA	30 mM	iodoacetamine	Lys-C/Trypsin	30%	IMAC	SCX	higher-energy collisional dissociation	Q Exactive	ESI	iTRAQ	Orbitrap	phosphorylated residue	10 mM	DTT	0.957	0.913	1.0	1.0
PXD003410	shard_2	unknown	unknown	['endothelial cell', 'fibroblast']	unknown	normal	cell culture	cell culture	unknown	Homo sapiens	umbilical vein	0.857	0.927	0.467	1.0	7	treated vs control	interleukin 1-β stimulation	7	3	21	2	2	bottom-up proteomics	0.822	0.644	1.0	1.0	DDA	10mg/ml	IAA	trypsin	30% normalized collision energy	unknown	unknown	HCD	['QExactive orbitrap', 'Q Exactive']	nanospray ion source	label-free	orbitrap	['Carbamidomethyl', 'Oxidation', 'Acetyl', 'carbamidomethylation', 'methionine oxidation', 'N-terminal protein acetylation']	5mg/ml	DTT	0.962	0.962	0.905	1.0
PXD003498	shard_2	unknown	unknown	['chorioallantoic cavity of embryonated chicken eggs', 'human bronchial/tracheal epithelial (BTE) cells']	10 day old embryonated	Influenza	['virus', 'Blood serum']	['chicken eggs', 'blood serum']	unknown	['Orthomyxoviridae', 'Homo sapiens']	Blood serum	0.914	0.955	0.684	1.0	unknown	unknown	Influenza A virus strains	unknown	3	3	3	3	Shotgun proteomics	0.839	0.811	0.667	1.0	Shotgun proteomics	200 mm	Iodoacetamide	['trypsin', 'chymotrypsin']	27V	HILIC enrichment	SCX	HCD	Q Exactive	nano-ESI	label-free	Orbitrap	['Cysteine carbamidomethylation', 'deamidation (Asn)', 'oxidation (Met)', '18O labeling of deglycosylated asparagine']	200 mm	dithiothreitol (DTT)	0.961	0.921	1.0	1.0
PXD003660	shard_2	unknown	MCF-10A	Epithelial cell	unknown	normal	Cell culture	cell culture	unknown	Homo sapiens	breast	0.868	0.936	0.5	1.0	unknown	time course	['EGF concentration', 'time point']	unknown	unknown	unknown	unknown	unknown	['shotgun proteomics', 'TMT', 'IMAC']	0.838	0.875	0.5	1.0	['DIA', 'Shotgun proteomics']	unknown	iodoacetamide derivatized residue	unknown	unknown	['immunoprecipitated', 'immobilized metal affinity chromatography (IMAC)']	unknown	unknown	['Q Exactive', 'QExactive Mass Spectrometer']	ESI	['TMT', 'TMT 10-plex', 'TMT6plex-126 reporter+balance reagent acylated residue']	Orbitrap	['monohydroxylated residue', 'TMT6plex-126 reporter+balance reagent acylated residue', 'phosphorylated residue', 'iodoacetamide derivatized residue', 'phosphorylation']	unknown	unknown	0.929	0.975	0.708	1.0
PXD004001	shard_2	unknown	unknown	unknown	unknown	['septic shock', 'cancer', 'Sepsis']	biofluid	patient plasma	male and female	Homo sapiens	blood	0.859	0.919	0.5	1.0	unknown	case vs control	day-30 survivors vs decedents before day-13	24	12	24	unknown	unknown	Shotgun proteomics	0.844	0.822	0.667	1.0	DDA	84 mM	iodoacetamide	trypsin	45% SNCE	unknown	pI fractionation	HCD	LTQ Orbitrap Velos	nESI	iTRAQ	Orbitrap	['iTRAQ8plex-116 reporter+balance reagent acylated residue', 'iodoacetamide derivatized residue']	50 mM	TCEP	0.934	0.894	0.938	1.0
PXD004363	shard_2	22 to 38 years	unknown	unknown	unknown	normal	biofluid	healthy female volunteers	female	Homo sapiens	cervical-vaginal	0.804	0.807	0.5	1.0	10	unknown	non-pregnant	10	30	10	unknown	unknown	Shotgun proteomics	0.917	0.967	0.667	1.0	DDA	10mM iodoacetamide	iodoacetamide	trypsin	27	unknown	SCX	HCD	Q Exactive	nanoelectrospray ionization	label-free	Orbitrap	['iodoacetamide derivatized residue', 'oxidation of methionine', 'N-terminal protein acetylation', 'Carbamidomethylation of cysteine']	5mM dithiothreitol	dithiothreitol	0.975	0.972	0.944	1.0
PXD004683	shard_2	unknown	unknown	Epithelial cell	unknown	['Non-small cell lung carcinoma', 'lung squamous cell carcinoma']	tissue	tumor biopsy	unknown	Homo sapiens	Lung	0.873	0.96	0.467	1.0	8	treated vs control	tumor vs adjacent lung tissue	8	12	8	unknown	unknown	bottom-up proteomics	0.8	0.689	0.778	1.0	['DDA', 'DIA']	11 mM	iodoacetamide	trypsin	['28', '30']	unknown	['basic pH reversed phase HPLC', 'bRPLC']	HCD	['Q Exactive', 'QExactive Plus']	ESI	['TMT', 'label-free']	Orbitrap	unknown	4.5 mM	DTT	0.95	0.94	0.9	1.0
PXD005154	shard_2	unknown	HepG2	hepatocyte	unknown	Hepatocellular carcinoma	cell line	cell culture	unknown	Homo sapiens	liver	0.832	0.864	0.5	1.0	unknown	treated vs control	control vs MALAT1 pull-down	3	10	3	2	unknown	affinity purification coupled with mass spectrometry proteomics	0.822	0.733	0.778	1.0	['DDA', 'Gel-based experiment']	unknown	unknown	trypsin	30 eV	unknown	unknown	HCD	Q Exactive	nano-electrospray ionization (nESI)	SILAC	Orbitrap	['carbamidomethylation', 'oxidation']	unknown	unknown	0.891	0.924	0.647	1.0
PXD005354	shard_2	unknown	unknown	cancer cell	unknown	['colon cancer', 'rectum cancer']	cell line	cell culture	unknown	Homo sapiens	['colon', 'rectum']	0.891	0.981	0.5	1.0	unknown	cross-sectional	colorectal cancer cell line	65	24	65	unknown	unknown	Shotgun proteomics	0.867	0.867	0.667	1.0	DDA	55 mM	chloroacetamide	trypsin	30% normalised collision energy	unknown	hSAX	HCD	Orbitrap Velos	nanoESI	label-free	Orbitrap	['monohydroxylated residue', 'acetylated residue', 'iodoacetamide derivatized residue', 'Carbamidomethylation of cysteines', 'oxidation of methionines', 'acetylation of protein N‐termini']	10 mM	DTT	0.917	0.855	0.95	1.0
PXD005590	shard_2	unknown	['MIA PaCa-2', 'Panc-1']	['epithelial cell', 'epithelial cell']	unknown	pancreatic cancer	cell line	cell culture	unknown	['Homo sapiens', 'E. coli']	pancreas	0.853	0.847	0.647	1.0	4	dose response	spike-in level	4	unknown	20	4	4	Shotgun proteomics	0.906	0.856	0.889	1.0	DDA	20 mM	iodoacetamide	trypsin	unknown	unknown	unknown	unknown	Orbitrap Fusion Lumos	nanoESI	label-free	Orbitrap	['Carbamidomethyl', 'Oxidation', 'Acetyl']	5 mM	Dithiothreitol (DTT)	0.921	0.935	0.765	1.0
PXD005914	shard_2	unknown	unknown	unknown	unknown	unknown	cell line	cell culture	unknown	Homo sapiens	unknown	0.807	0.929	0.214	1.0	unknown	unknown	unknown	unknown	12	unknown	unknown	unknown	Shotgun proteomics	0.844	1.0	0.222	1.0	DDA	4 mM	CAA	Lys-C/Trypsin	34%	unknown	basic reverse phase	HCD	Q Exactive	ESI	TMT	Orbitrap	['TMT6plex-126 reporter+balance reagent acylated residue', 'monohydroxylated residue', 'iodoacetamide derivatized residue', 'Carbamidomethylation (C)', 'oxidation (M)', 'phosphorylation']	2 mM	DTT	0.962	0.945	0.95	1.0
