source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	material type	assay name	technology type	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]
Sample 35	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, preadipocytes	run 35	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_preadipo_2_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_preadipo_2_F1.raw
Sample 36	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, preadipocytes	run 36	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_preadipo_2_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_preadipo_2_F2.raw
Sample 37	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, preadipocytes	run 37	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_preadipo_3_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_preadipo_3_F1.raw
Sample 38	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, preadipocytes	run 38	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_preadipo_3_F.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_preadipo_3_F.raw
Sample 39	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, preadipocytes	run 39	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_preadipo_4_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_preadipo_4_F1.raw
Sample 40	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, preadipocytes	run 40	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_preadipo_4_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_preadipo_4_F2.raw
Sample 41	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, rosiglitazone exposure	run 41	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_rosi_2_1_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_rosi_2_1_F1.raw
Sample 42	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, rosiglitazone exposure	run 42	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_rosi_2_1_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000133	NCE 28	10 ppm	0.6 Da	145_SGBS_rosi_2_1_F2.raw
Sample 43	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, rosiglitazone exposure	run 43	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_rosi_2_2_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000134	NCE 28	10 ppm	0.6 Da	145_SGBS_rosi_2_2_F1.raw
Sample 44	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, rosiglitazone exposure	run 44	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_rosi_2_2_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000135	NCE 28	10 ppm	0.6 Da	145_SGBS_rosi_2_2_F2.raw
Sample 45	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, rosiglitazone exposure	run 45	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_rosi_2_3_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000136	NCE 28	10 ppm	0.6 Da	145_SGBS_rosi_2_3_F1.raw
Sample 46	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, rosiglitazone exposure	run 46	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_rosi_2_3_F.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000137	NCE 28	10 ppm	0.6 Da	145_SGBS_rosi_2_3_F.raw
Sample 47	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, rosiglitazone exposure	run 47	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_rosi_2_4_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000138	NCE 28	10 ppm	0.6 Da	145_SGBS_rosi_2_4_F1.raw
Sample 48	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, rosiglitazone exposure	run 48	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_rosi_2_4_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000139	NCE 28	10 ppm	0.6 Da	145_SGBS_rosi_2_4_F2.raw
Sample 49	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, solvent	run 49	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_solvent_1_1_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000140	NCE 28	10 ppm	0.6 Da	145_SGBS_solvent_1_1_F1.raw
Sample 50	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	1	cell line, solvent	run 50	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_solvent_1_1_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000141	NCE 28	10 ppm	0.6 Da	145_SGBS_solvent_1_1_F2.raw
Sample 51	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, solvent	run 51	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_solvent_1_2_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000142	NCE 28	10 ppm	0.6 Da	145_SGBS_solvent_1_2_F1.raw
Sample 52	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	2	cell line, solvent	run 52	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_solvent_1_2_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000143	NCE 28	10 ppm	0.6 Da	145_SGBS_solvent_1_2_F2.raw
Sample 53	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, solvent	run 53	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_solvent_1_3_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000144	NCE 28	10 ppm	0.6 Da	145_SGBS_solvent_1_3_F1.raw
Sample 54	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	3	cell line, solvent	run 54	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_solvent_1_3_F.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000145	NCE 28	10 ppm	0.6 Da	145_SGBS_solvent_1_3_F.raw
Sample 55	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, solvent	run 55	proteomic profiling by mass spectrometry	1	1	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_solvent_1_4_F1.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000146	NCE 28	10 ppm	0.6 Da	145_SGBS_solvent_1_4_F1.raw
Sample 56	Homo sapiens	not applicable	not applicable	not applicable	not applicable	male	SGBS adipocytes	not applicable	4	cell line, solvent	run 56	proteomic profiling by mass spectrometry	1	2	https://www.ebi.ac.uk/pride/archive/projects/PXD059428/145_SGBS_solvent_1_4_F2.raw	NT=Q Exactive;AC=MS:1001911	NT=orbitrap;AC=MS:1000484	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=collision-induced dissociation;AC=MS:1000147	NCE 28	10 ppm	0.6 Da	145_SGBS_solvent_1_4_F2.raw
