pxd	run	organism	tissue	disease	cell_line	instrument	fragmentation	collision_energy	enzymes	modifications	labeling	enrichment	fraction_identifier	fractionation
PXD000561	Adult_Bcells_bRP_Velos_42_f09	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		9	True
PXD000561	Adult_Bcells_bRP_Velos_42_f10	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		10	True
PXD000561	Adult_Bcells_bRP_Velos_42_f11	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		11	True
PXD000561	Adult_Bcells_bRP_Velos_42_f12	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		12	True
PXD000561	Adult_Bcells_bRP_Velos_42_f13	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		13	True
PXD000561	Adult_Bcells_bRP_Velos_42_f14	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		14	True
PXD000561	Adult_Bcells_bRP_Velos_42_f15	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		15	True
PXD000561	Adult_Bcells_bRP_Velos_42_f16	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		16	True
PXD000561	Adult_Bcells_bRP_Velos_42_f17	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		17	True
PXD000561	Adult_Bcells_bRP_Velos_42_f18	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		18	True
PXD000561	Adult_Bcells_bRP_Velos_42_f19	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		19	True
PXD000561	Adult_Bcells_bRP_Velos_42_f20	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		20	True
PXD000561	Adult_Bcells_bRP_Velos_42_f21	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		21	True
PXD000561	Adult_Bcells_bRP_Velos_42_f22	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		22	True
PXD000561	Adult_Bcells_bRP_Velos_42_f23	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		23	True
PXD000561	Adult_Bcells_bRP_Velos_42_f24	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		24	True
PXD000561	Adult_Bcells_bRP_Velos_42_f25	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		25	True
PXD000561	Adult_Bcells_bRP_Velos_42_f26	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		26	True
PXD000561	Adult_Bcells_bRP_Velos_42_f27	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		27	True
PXD000561	Adult_Bcells_bRP_Velos_42_f28	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		28	True
PXD000561	Adult_Bcells_bRP_Velos_42_f29	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		29	True
PXD000561	Adult_Bcells_bRP_Velos_42_f30	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		30	True
PXD000561	Adult_Bcells_bRP_Velos_42_f31	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		31	True
PXD000561	Adult_Bcells_bRP_Velos_42_f32	Homo sapiens	B cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		32	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f02	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		2	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f03	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		3	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f04	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		4	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f05	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		5	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f06	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		6	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f07	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		7	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f08	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		8	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f09	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		9	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f10	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		10	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f11	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		11	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f12	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		12	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f13	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		13	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f14	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		14	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f15	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		15	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f16	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		16	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f17	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		17	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f18	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		18	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f19	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		19	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f20	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		20	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f21	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		21	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f22	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		22	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f23	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		23	True
PXD000561	Adult_CD8Tcells_bRP_Velos_43_f24	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		24	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f01	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		1	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f02	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		2	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f03	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		3	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f04	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		4	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f05	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		5	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f06	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		6	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f07	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		7	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f08	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		8	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f09	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		9	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f10	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		10	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f11	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		11	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f12	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		12	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f13	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		13	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f14	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		14	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f15	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		15	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f16	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		16	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f17	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		17	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f18	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		18	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f19	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		19	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f20	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		20	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f21	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		21	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f22	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		22	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f23	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		23	True
PXD000561	Adult_CD8Tcells_Gel_Elite_44_f24	Homo sapiens	CD8+ T cells			LTQ Orbitrap Elite	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		24	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f01	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		1	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f02	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		2	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f03	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		3	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f04	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		4	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f05	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		5	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f06	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		6	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f07	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		7	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f08	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		8	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f09	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		9	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f10	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		10	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f11	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		11	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f12	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		12	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f13	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		13	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f14	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		14	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f15	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		15	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f16	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		16	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f17	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		17	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f18	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		18	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f19	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		19	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f20	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		20	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f21	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		21	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f22	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		22	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f23	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		23	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f24	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		24	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f25	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		25	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f26	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		26	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f27	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		27	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f28	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		28	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f29	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		29	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f30	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		30	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f31	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		31	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f32	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		32	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f33	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		33	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f34	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		34	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f35	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		35	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f36	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		36	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f37	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		37	True
PXD000561	Adult_CD8Tcells_Gel_Velos_45_f38	Homo sapiens	CD8+ T cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		38	True
PXD000561	Adult_NKcells_bRP_Velos_46_f01	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		1	True
PXD000561	Adult_NKcells_bRP_Velos_46_f02	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		2	True
PXD000561	Adult_NKcells_bRP_Velos_46_f03	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		3	True
PXD000561	Adult_NKcells_bRP_Velos_46_f04	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		4	True
PXD000561	Adult_NKcells_bRP_Velos_46_f05	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		5	True
PXD000561	Adult_NKcells_bRP_Velos_46_f06	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		6	True
PXD000561	Adult_NKcells_bRP_Velos_46_f07	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		7	True
PXD000561	Adult_NKcells_bRP_Velos_46_f08	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		8	True
PXD000561	Adult_NKcells_bRP_Velos_46_f09	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		9	True
PXD000561	Adult_NKcells_bRP_Velos_46_f10	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		10	True
PXD000561	Adult_NKcells_bRP_Velos_46_f11	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		11	True
PXD000561	Adult_NKcells_bRP_Velos_46_f12	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		12	True
PXD000561	Adult_NKcells_bRP_Velos_46_f13	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		13	True
PXD000561	Adult_NKcells_bRP_Velos_46_f14	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		14	True
PXD000561	Adult_NKcells_bRP_Velos_46_f15	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		15	True
PXD000561	Adult_NKcells_bRP_Velos_46_f16	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		16	True
PXD000561	Adult_NKcells_bRP_Velos_46_f17	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		17	True
PXD000561	Adult_NKcells_bRP_Velos_46_f18	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		18	True
PXD000561	Adult_NKcells_bRP_Velos_46_f19	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		19	True
PXD000561	Adult_NKcells_bRP_Velos_46_f20	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		20	True
PXD000561	Adult_NKcells_bRP_Velos_46_f21	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		21	True
PXD000561	Adult_NKcells_bRP_Velos_46_f22	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		22	True
PXD000561	Adult_NKcells_bRP_Velos_46_f23	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		23	True
PXD000561	Adult_NKcells_bRP_Velos_46_f24	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		24	True
PXD000561	Adult_NKcells_Gel_Velos_47_f01	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		1	True
PXD000561	Adult_NKcells_Gel_Velos_47_f02	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		2	True
PXD000561	Adult_NKcells_Gel_Velos_47_f03	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		3	True
PXD000561	Adult_NKcells_Gel_Velos_47_f04	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		4	True
PXD000561	Adult_NKcells_Gel_Velos_47_f05	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		5	True
PXD000561	Adult_NKcells_Gel_Velos_47_f06	Homo sapiens	NK cells			LTQ Orbitrap Velos	HCD		trypsin	C-carbamidomethylation; M-oxidation; Acetyl	label-free		6	True
