pxd	group_name	organism	organism_score	tissue	tissue_score	disease	disease_score	cell_part	cell_part_score	cell_line	cell_line_score	instrument	instrument_score	fragmentation	fragmentation_score	enzymes	enzymes_score	modifications	modifications_score	collision_energy	collision_energy_score	gradient_time_min	gradient_time_min_score	lc_column	lc_column_score	acquisition	acquisition_score	labeling	labeling_score	ionization	ionization_score	treatment_type	treatment_type_score	treatment_name	treatment_name_score	treatment_class	treatment_class_score	fractionation	enrichment
PXD003406	Primary human endothelial cells (cytoplasmic fraction)	Homo sapiens	1.0					cytoplasm	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; subcellular fractionation	
PXD003407	Primary human endothelial cells (cytoplasmic fraction)	Homo sapiens	1.0					cytoplasm	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0							biologics	1.0	True; cell fractionation	
PXD003408	Primary human endothelial cells (nuclear fraction)	Homo sapiens	1.0					nucleus	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; subcellular fractionation	
PXD003409	Primary human endothelial cells (nuclear fraction)	Homo sapiens	1.0					nucleus	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0	True; subcellular fractionation	
PXD003410	Primary human endothelial cells (secreted)	Homo sapiens	1.0					extracellular matrix	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0	True; ethanol precipitation	
PXD003411	Primary human endothelial cells and fibroblasts	Homo sapiens	1.0					cytoplasm; nucleus	0.955; 0.872			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; M-oxidation	1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0							biologics	1.0	True; ethanol precipitation	
PXD003412	Primary human fibroblasts cytoplasmic fraction	Homo sapiens	1.0	skin	1.0			cytoplasm	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; cell fractionation	
PXD003413	Primary human fibroblasts cytoplasmic fraction	Homo sapiens	1.0	skin	1.0			cytoplasm	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; M-oxidation	1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0	True; subcellular fractionation	
PXD003414	Primary human fibroblasts - nuclear fraction	Homo sapiens	1.0	skin	1.0			nucleus	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; subcellular fractionation	
PXD003415	Primary human fibroblasts (nuclear fraction)	Homo sapiens	1.0	skin	1.0			nucleus	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0	True; subcellular fractionation	
PXD003416	Primary human fibroblasts secretome	Homo sapiens	1.0	skin	1.0			extracellular matrix	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0	True; ethanol precipitation	
PXD003417	Primary human fibroblasts and endothelial cells	Homo sapiens	1.0	skin	1.0			cytoplasm; nucleus	0.955; 0.872			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0							biologics	1.0	True; ethanol precipitation	
PXD003492	Burkitt's lymphoma B cells	Homo sapiens	1.0	B cells	0.989	lymphoma	1.0					LTQ Orbitrap Velos; Q Exactive	1.0; 1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0					environmental	1.0	True; basic pH reverse phase chromatography	phosphorylation; TiO2; anti-phosphotyrosine antibodies
PXD003498	Influenza A Virus Proteomics	Homo sapiens	1.0	blood serum	1.0	influenza	1.0					Q Exactive Plus	1.0	HCD	1.0	trypsin; chymotrypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	0.768					environmental	1.0	True; C18 spin columns	glycopeptides; HILIC
PXD003523	EGFR signaling SILAC study	Homo sapiens	1.0									Q Exactive Plus	1.0					S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0									SILAC	1.0										phosphorylation; phosphopeptide enrichment
PXD003530	HeLa cells treated with aspirin or aspirin-d3	Homo sapiens	1.0			cervix carcinoma	1.0			HeLa	1.0	Q Exactive	1.0			LysC; trypsin	1.0; 1.0	C-carbamidomethylation; K-acetylation	1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free; SILAC	1.0; 1.0	ESI	1.0					small molecule	1.0	True; immune affinity chromatography	acetylation; immune affinity chromatography
PXD003531	Primary Ovarian Cells (OSE, FTE, EOC)	Homo sapiens	1.0	ascites	1.0	ovarian cancer; healthy	0.852; 0.802					Q Exactive; Q Exactive HF-X	1.0; 1.0	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; TiO2-based chromatography	phosphorylation; TiO2-based chromatography
PXD003531	OVCAR3 Cell Line	Homo sapiens	1.0			ovarian cancer	0.852			OVCAR3	1.0	Q Exactive; Q Exactive HF-X	1.0; 1.0	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule; biologics	1.0; 1.0	True; TiO2-based chromatography	phosphorylation; TiO2-based chromatography
PXD003533	Human Plasma Peptidomics	Homo sapiens	1.0	blood plasma	1.0	healthy; type 1 diabetes; type 2 diabetes; obesity	1.0; 1.0; 1.0; 1.0					Q Exactive	1.0	HCD	1.0			C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; RP-HPLC	
PXD003534	Human Monocyte Secretome	Homo sapiens	1.0	blood; blood	1.0; 0.766	healthy	1.0					Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0	True; SDS-PAGE	
PXD003544	MDA-MB-231 and 82T co-culture and controls	Homo sapiens	1.0			breast cancer	1.0			MDA-MB-231	1.0	LTQ Orbitrap Velos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; Y-phosphorylation	1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0								phosphotyrosine; immunoaffinity purification
PXD003587	HepG2/C3A spheroids with APAP treatment	Homo sapiens	1.0					cytoplasm; endoplasmic reticulum; mitochondria; nucleus	1.0; 1.0; 1.0; 1.0			Orbitrap Fusion	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0					small molecule	1.0		S-nitrosylation; anti-TMT antibody
PXD003594	MCF7 Breast Cancer Cell Lines	Homo sapiens	1.0			breast cancer	1.0			MCF-7	1.0	LTQ Orbitrap XL; Q Exactive Plus	1.0; 1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0		phosphorylation; TiO2
PXD003627	A549, HEK293, L929, A20.2J cells	Homo sapiens	1.0							A549; HEK293	1.0; 1.0	Q Exactive	1.0	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0							biologics	1.0	True; SCX	phosphorylation; TiO2
PXD003657	Human breast milk samples	Homo sapiens	1.0	milk	0.883	healthy	1.0					Q Exactive Plus	1.0	HCD	1.0			C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					environmental	1.0	True; C18 solid phase extraction	
PXD003660	MCF-10A EGFR stimulation	Homo sapiens	1.0	epithelial cell	1.0					MCF-10A	1.0	Q Exactive	1.0	HCD	1.0			C-carbamidomethylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0							DDA	1.0	TMT	1.0	ESI	1.0					biologics	1.0	True; immunoprecipitation	phosphorylation; IMAC
PXD003668	Ovarian Cancer and Control Cell/Tissue Proteomics	Homo sapiens	1.0	ovary; fallopian tube	1.0; 1.0	ovarian cancer	1.0			59M; A2780; A2780CP70; CAOV3; COV318; DOV13; HEYA8; IGROV1; IGROV1CP; IOSE397; IOSE7576; JHOS2; JHOS4; KURAMOCHI; ME180; ME180C13; OVCA433; OVCAR3; OVCAR5; OVISE; OVKATE; OVSAHO; PEO1; PEO4; SKOV3IP1; SNU119; SNU120; SNU121; TOV112D; TOV112DR; TOV113DR; TOV114DR; TYKNU; TYKNUCP	1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0; 1.0	Q Exactive	1.0	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0		
PXD003698	HCT116 SILAC Phosphoproteomics and Proteomics	Homo sapiens	1.0			colon cancer	1.0			HCT-116	1.0	LTQ Orbitrap XL; LTQ Orbitrap Velos	0.973; 1.0			LysC	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0							small molecule	1.0	True; ERLIC	phosphorylation; TiO2
PXD003708	SW480/SW620 Colon Cancer Cell Lines	Homo sapiens	1.0			colon cancer	1.0			SW-480; SW-620	1.0; 1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0							True; high-pH reverse-phase	phosphorylation; IMAC and TiO2
PXD003719	RCMH myoblasts	Homo sapiens	1.0	smooth muscle	0.735							LTQ Orbitrap Elite	1.0	CID	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics; environmental	1.0; 1.0		
PXD003790	Glioblastoma cell lines treated with Decitabine	Homo sapiens	1.0			glioblastoma	1.0					Q Exactive Plus	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0	True; SDS-PAGE gel slicing	HLA peptides; Immunoaffinity purification
PXD003808	HCT116 Cell Line and CRC Biopsies	Homo sapiens	1.0	epithelial cell	1.0	colon cancer	1.0			HCT-116	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; Y-phosphorylation	1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								phosphorylation; anti-phosphotyrosine antibody
PXD003814	HCT116 Cell Line	Homo sapiens	1.0			colon cancer	1.0			HCT-116	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; Y-phosphorylation	1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								phosphorylation; anti-phosphotyrosine antibody
PXD003814	Human Tumor Biopsies	Homo sapiens	1.0	colon	1.0	colon cancer	1.0					Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; Y-phosphorylation	1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								phosphorylation; anti-phosphotyrosine antibody
PXD003896	HEK293 cells	Homo sapiens	1.0							HEK293	1.0	LTQ Orbitrap Velos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18; SCX	1.0; 1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; MudPIT	
PXD003896	Bacteroides fragilis cells											LTQ Orbitrap Velos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18; SCX	1.0; 1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; MudPIT	
PXD003896	Human gut microbiome	Homo sapiens	1.0	feces	1.0	healthy	1.0					LTQ Orbitrap Velos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18; SCX	1.0; 1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; MudPIT	
PXD003899	SW48 cell line phosphoproteomics	Homo sapiens	1.0			colon cancer	1.0					LTQ Orbitrap Elite	1.0	HCD	1.0	trypsin	1.0	S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0		phosphorylation; antibody
PXD003903	HipSci iPSC and ESC Lines	Homo sapiens	1.0			healthy	1.0					Q Exactive; Orbitrap Fusion	1.0; 0.929	HCD; CID	1.0; 1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free; TMT	1.0; 1.0	ESI	1.0							True; SAX	
PXD003947	Human Spermatozoa	Homo sapiens	1.0	sperm	1.0							Q Exactive Plus	0.801					C-carbamidomethylation	1.0					reverse phase C18	1.0			label-free	1.0									True; 1D SDS-PAGE	
PXD003963	Human dermal fibroblasts secretome	Homo sapiens	1.0	skin	1.0							Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics; small molecule	1.0; 1.0		
PXD003965	Human dermal fibroblasts	Homo sapiens	1.0	skin	1.0							Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics; small molecule	1.0; 1.0		
PXD003966	Human dermal fibroblasts (cytoplasmic fraction)	Homo sapiens	1.0	skin	1.0			cytoplasm	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0							biologics; small molecule	1.0; 1.0	True; cytoplasmic fractionation	
PXD003967	Human dermal fibroblasts	Homo sapiens	1.0	skin	1.0			nucleus	1.0			Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics; small molecule	1.0; 1.0	True; nuclear extraction	
PXD003971	Human dermal fibroblasts	Homo sapiens	1.0	skin	1.0							Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics; small molecule	1.0; 1.0		
PXD003977	MCF-7 breast cancer cells	Homo sapiens	1.0			breast cancer	0.799			MCF-7	1.0	Orbitrap Fusion Lumos	1.0	CID; HCD	1.0; 1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; high pH reversed phase chromatography	
PXD004001	Human plasma septic shock cohort	Homo sapiens	1.0	blood plasma	0.938	septic shock	1.0					LTQ Orbitrap Velos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	iTRAQ	1.0									True; isoelectric point fractionation	
PXD004059	Mammalian cell extracts	Homo sapiens	1.0									LTQ Orbitrap Velos	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; affinity enrichment	polyubiquitin chains; affinity enrichment
PXD004143	Human Brain Proteomics	Homo sapiens	1.0	brain	1.0	healthy	0.802					Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; ERLIC	
PXD004154	HeLa cells (SPRTN depleted and control)	Homo sapiens	1.0			healthy	1.0			HeLa	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					biologics	1.0		
PXD004154	RJALS patient LCLs	Homo sapiens	1.0									Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD004163	U1810 miRNA treatment proteomics	Homo sapiens	1.0	epithelial cell	1.0	non-small cell lung carcinoma	1.0					Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	TMT	1.0	ESI	1.0					biologics	1.0	True; HiRIEF	
PXD004181	Burkitt's lymphoma cell lines	Homo sapiens	1.0			lymphoma	1.0					Q Exactive HF	1.0	HCD	1.0			C-carbamidomethylation; Y-phosphorylation	1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0							small molecule	1.0		phosphorylation; immunoprecipitation
PXD004182	HeLa cells	Homo sapiens	1.0							HeLa	1.0	Q Exactive	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0										
PXD004182	Blood samples	Homo sapiens	1.0	blood plasma; blood	1.0; 0.854	type 2 diabetes	0.856					Q Exactive	1.0	HCD	1.0	LysC; trypsin	1.0; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0										
PXD004252	HepG2 cells	Homo sapiens	1.0							HepG2	1.0	Q Exactive	1.0			trypsin	1.0	C-carbamidomethylation	1.0																			True; Ti4+-IMAC	phosphorylation; Ti4+-IMAC
PXD004280	Jurkat T cell secretome and proteome	Homo sapiens	1.0	T cells	0.989	T-cell acute lymphoblastic leukemia	0.871			Jurkat	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0	True; SDS-PAGE	glycoproteins; affinity purification
PXD004320	SK-ChA-1 cells treated with ZPCLs and PDT	Homo sapiens	1.0									Q Exactive Plus	0.801	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule; environmental	1.0; 1.0	True; Ti-IMAC	phosphorylation; Ti-IMAC
PXD004332	Human Pineal Gland Proteome	Homo sapiens	1.0			healthy	0.802					Orbitrap Fusion; LTQ Orbitrap Velos	1.0; 1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0			label-free	1.0									True; bRPLC	
PXD004334	RPE1 KDM3A interactome	Homo sapiens	1.0			healthy	1.0					Q Exactive	1.0			trypsin	1.0	C-carbamidomethylation	1.0									label-free	1.0										
PXD004355	Human Brain Tissue	Homo sapiens	1.0	brain	1.0							LTQ Orbitrap Elite	1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0										
PXD004363	CVF Proteome	Homo sapiens	1.0	cervicovaginal fluid	0.909	healthy	1.0					Q Exactive Plus	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	nanoESI	0.712							True; SCX	
PXD004363	CVF Peptidome	Homo sapiens	1.0	cervicovaginal fluid	0.909	healthy	1.0					Q Exactive Plus	1.0	HCD	1.0									reverse phase C18	1.0	DDA	1.0	label-free	1.0	nanoESI	0.712							True; centrifugal filtration	
PXD004373	Lung Adenocarcinoma Cell Lines (H3255, 11-18, PC9, H1975)	Homo sapiens	1.0			lung cancer	1.0			PC-9	1.0	LTQ Orbitrap Elite; LTQ Orbitrap XL	1.0; 0.942	HCD; ETD	1.0; 1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0					small molecule; biologics	1.0; 1.0		phosphotyrosine; immobilized anti-phosphotyrosine antibody
PXD004415	Jurkat T cells cisplatin treatment	Homo sapiens	1.0							Jurkat	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation; S-phosphorylation; T-phosphorylation; Y-phosphorylation	1.0; 1.0; 1.0; 1.0					reverse phase C18	1.0	DDA	1.0	SILAC	1.0	ESI	1.0					small molecule	1.0		phosphorylation; TiO2
PXD004443	SLE and Healthy Control Blood Proteomics	Homo sapiens	1.0	blood	1.0	systemic lupus erythematosus; healthy	1.0; 1.0					Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	iTRAQ	1.0	ESI	1.0							True; SCX	
PXD004447	Jurkat T cell lysate	Homo sapiens	1.0	T cells	0.989					Jurkat	1.0	Orbitrap Fusion; Q Exactive Plus	1.0; 1.0	ETD; HCD	1.0; 1.0	trypsin	1.0	C-carbamidomethylation	1.0							DDA	1.0	label-free	1.0	ESI	1.0							True; Sep-Pak desalting	phosphorylation; Ti4+-IMAC
PXD004450	CVF Peptidome	Homo sapiens	1.0	cervicovaginal fluid	0.909	healthy	1.0					Q Exactive Plus	1.0	HCD	1.0			C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	nanoESI	0.712							True; centrifugal filtration	
PXD004452	HeLa Cell Line	Homo sapiens	1.0							HeLa	1.0	Q Exactive HF	1.0	HCD	1.0	LysC; trypsin	0.933; 1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; high pH reversed-phase	phosphorylation; TiO2
PXD004452	Patient Tissues	Homo sapiens	1.0	colon; liver	1.0; 1.0	colorectal cancer	1.0					Q Exactive HF	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; high pH reversed-phase	phosphorylation; TiO2
PXD004540	CSF MS and OND pools	Homo sapiens	1.0	cerebrospinal fluid	1.0	healthy	1.0					Q Exactive HF	1.0					C-carbamidomethylation	1.0					mixed-mode	0.768	DDA	1.0	TMT	1.0									True; mixed-mode reversed phase	glycopeptide; hydrazide modified beads
PXD004578	Neonate and Adult Platelets	Homo sapiens	1.0	platelets	0.971							Orbitrap Fusion	1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0								
PXD004624	Metastatic Melanoma Serum	Homo sapiens	1.0	blood serum	1.0	melanoma	1.0					Q Exactive	1.0	HCD	1.0	trypsin; LysC	1.0; 0.933	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; Abundant Protein Depletion	
PXD004625	Metastatic Melanoma Serum	Homo sapiens	1.0	blood serum	1.0	melanoma	1.0					Q Exactive	1.0			trypsin	0.844	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; Abundant Protein Depletion	
PXD004626	Healthy donors serum	Homo sapiens	1.0	blood serum	1.0	healthy	1.0					Q Exactive	1.0			trypsin	0.769	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0									True; Abundant protein depletion	
PXD004682	Lung Cancer Proteome Profiles 1	Homo sapiens	1.0	lung	1.0	non-small cell lung carcinoma	1.0					Q Exactive Plus	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA; DIA	1.0; 1.0	label-free; TMT	1.0; 1.0	ESI	1.0							True; basic pH reversed phase HPLC	
PXD004683	Lung Cancer Proteome Profiles 2	Homo sapiens	1.0	lung	1.0	non-small cell lung carcinoma	1.0					Q Exactive Plus	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA; DIA	1.0; 1.0	TMT; label-free	1.0; 1.0	ESI	1.0							True; basic pH reversed phase HPLC	
PXD004713	Urine Soluble and Pellet Fractions	Homo sapiens	1.0	urine	1.0	healthy	1.0					Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; centrifugation	
PXD004764	HCT116 cytoplasmic proteins	Homo sapiens	1.0	colon	1.0	colon cancer	1.0	cytoplasm	1.0	HCT-116	1.0	Q Exactive	1.0	HCD	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; cytoplasmic isolation	
PXD004778	SW480 KP1339 Cytoplasmic	Homo sapiens	1.0			colon cancer	1.0	cytoplasm	1.0	SW-480	1.0	Q Exactive	1.0	HCD	1.0	trypsin; LysC	1.0; 0.933	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0	True; cytoplasmic fractionation	
PXD004788	SW480 cytoplasmic proteins KP1537-treated	Homo sapiens	1.0			colon cancer	1.0	cytoplasm	1.0	SW-480	1.0	Q Exactive	1.0	HCD	1.0	trypsin; LysC	1.0; 0.933	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0	True; cytoplasmic isolation	
PXD004796	SW480 cytoplasmic proteins KP772-treated	Homo sapiens	1.0			colon cancer	1.0	cytoplasm	1.0	SW-480	1.0	Q Exactive	1.0	HCD	1.0	trypsin; LysC	1.0; 0.933	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0	True; subcellular fractionation	
PXD004874	Human pluripotent stem cell secretome	Homo sapiens	1.0	stem cells	0.993							LTQ Orbitrap Velos	1.0	CID	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0					small molecule	1.0	True; SDS-PAGE	
PXD004900	HeLa cells	Homo sapiens	1.0			cervix carcinoma	1.0			HeLa	1.0	Q Exactive	1.0			trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0										
PXD004927	HeLa and U2OS cells	Homo sapiens	1.0							HeLa; U2-OS	1.0; 1.0	Q Exactive HF	1.0			LysC; trypsin	1.0; 1.0	K-ubiquitination	0.812							DDA	1.0	label-free	1.0							environmental; small molecule; small molecule	1.0; 1.0; 1.0	True; high-pH	sumoylation; affinity purification
PXD004931	HMC-1 and TF-1 exRNA fractions	Homo sapiens	1.0			lymphoma	1.0					LTQ Orbitrap Velos	1.0	CID	1.0	trypsin	1.0	C-carbamidomethylation	1.0					reverse phase C18	1.0	DDA	1.0	label-free	1.0	ESI	1.0							True; SCX	
