pxd	run	tissue	confidence
PXD010579	2016-028_RUNA5H5ug-100042_10-03_MJF	Prostate	0.4051
PXD010579	2016-028_RUNB5H5ug-100042_10-03_MJF	Prostate	0.4
PXD010630	20180408_Placenta_40frac_up_10	Placenta	0.3235
PXD010630	20180408_Placenta_40frac_up_14	Placenta	0.321
PXD010630	20180408_Placenta_40frac_up_15	Placenta	0.3781
PXD010630	20180408_Placenta_40frac_up_16	Placenta	0.3839
PXD010630	20180408_Placenta_40frac_up_18	Placenta	0.4002
PXD010630	20180408_Placenta_40frac_up_19	Placenta	0.4363
PXD010630	20180408_Placenta_40frac_up_4	Placenta	0.4215
PXD010630	20180408_Placenta_40frac_up_5	Placenta	0.3977
PXD010630	20180408_Placenta_40frac_up_8	Placenta	0.3155
PXD010630	20180408_Placenta_40frac_up_9	Placenta	0.3897
PXD010630	20180410_Placenta_40frac_sub_11	Placenta	0.3869
PXD010630	20180410_Placenta_40frac_sub_12	Placenta	0.3221
PXD010630	20180410_Placenta_40frac_sub_13	Placenta	0.3082
PXD010630	20180410_Placenta_40frac_sub_14	Placenta	0.3956
PXD010630	20180410_Placenta_40frac_sub_15	Placenta	0.3145
PXD010630	20180410_Placenta_40frac_sub_16	Placenta	0.3695
PXD010630	20180410_Placenta_40frac_sub_17	Placenta	0.4011
PXD010630	20180410_Placenta_40frac_sub_18	Placenta	0.3921
PXD010630	20180410_Placenta_40frac_sub_19	Placenta	0.3928
PXD010630	20180410_Placenta_40frac_sub_20	Placenta	0.3851
PXD010630	20180410_Placenta_40frac_sub_4	Placenta	0.3266
PXD010630	20180410_Placenta_40frac_sub_5	Placenta	0.3068
PXD010630	20180410_Placenta_40frac_sub_7	Placenta	0.3957
PXD010630	20180410_Placenta_40frac_sub_8	Placenta	0.3168
PXD010630	20180410_Placenta_40frac_sub_9	Placenta	0.3717
PXD010630	20180412_Placenta_40frac_sub_10	Placenta	0.3789
PXD010630	20180412_Placenta_40frac_sub_11	Placenta	0.327
PXD010630	20180412_Placenta_40frac_sub_12	Placenta	0.3268
PXD010630	20180412_Placenta_40frac_sub_13	Placenta	0.3819
PXD010630	20180412_Placenta_40frac_sub_15	Placenta	0.3244
PXD010630	20180412_Placenta_40frac_sub_16	Placenta	0.3044
PXD010630	20180412_Placenta_40frac_sub_17	Placenta	0.3504
PXD010630	20180412_Placenta_40frac_sub_18	Placenta	0.3409
PXD010630	20180412_Placenta_40frac_sub_19	Placenta	0.3778
PXD010630	20180412_Placenta_40frac_sub_2	Placenta	0.3088
PXD010630	20180412_Placenta_40frac_sub_20	Placenta	0.4044
PXD010630	20180412_Placenta_40frac_sub_4	Placenta	0.3501
PXD010630	20180412_Placenta_40frac_sub_5	Placenta	0.354
PXD010630	20180412_Placenta_40frac_sub_6	Placenta	0.3148
PXD010630	20180412_Placenta_40frac_sub_7	Placenta	0.3498
PXD010630	20180412_Placenta_40frac_sub_8	Placenta	0.3682
PXD010630	20180412_Placenta_40frac_sub_9	Placenta	0.3758
PXD010630	20180412_Placenta_40frac_up_14	Placenta	0.3084
PXD010630	20180412_Placenta_40frac_up_15	Placenta	0.4035
PXD010630	20180412_Placenta_40frac_up_16	Placenta	0.3151
PXD010630	20180412_Placenta_40frac_up_18	Placenta	0.3926
PXD010630	20180412_Placenta_40frac_up_19	Placenta	0.3669
PXD010630	20180412_Placenta_40frac_up_20	Placenta	0.3423
PXD010630	20180412_Placenta_40frac_up_4	Placenta	0.3017
PXD010630	20180412_Placenta_40frac_up_5	Placenta	0.3973
PXD010630	20180412_Placenta_40frac_up_7	Placenta	0.3503
PXD010630	20180412_Placenta_40frac_up_9	Placenta	0.3512
PXD010690	QExHF03261	Brain	0.69
PXD010690	QExHF03263	Brain	0.5991
PXD010690	QExHF03265	Brain	0.763
PXD010690	QExHF03267	Brain	0.7863
PXD010690	QExHF03269	Brain	0.7041
PXD010690	QExHF03271	Brain	0.599
PXD010690	QExHF03283	Brain	0.5348
PXD010690	QExHF03285	Brain	0.5107
PXD010690	QExHF03287	Brain	0.6545
PXD010690	QExHF03289	Brain	0.387
PXD010690	QExHF03293	Brain	0.3987
PXD010690	QExHF03297	Brain	0.4029
PXD010690	QExHF03299	Brain	0.6296
PXD010690	QExHF03301	Brain	0.6929
PXD010690	QExHF03303	Brain	0.6538
PXD010690	QExHF03305	Brain	0.693
PXD010690	QExHF03307	Brain	0.7548
PXD010690	QExHF03657	Brain	0.6445
PXD010690	QExHF03659	Brain	0.6619
PXD010690	QExHF03661	Brain	0.8069
PXD010690	QExHF03663	Brain	0.8481
PXD010690	QExHF03665	Brain	0.7337
PXD010690	QExHF03667	Brain	0.5785
PXD010690	QExHF03671	Brain	0.651
PXD010690	QExHF03673	Brain	0.5142
PXD010690	QExHF03675	Brain	0.5544
PXD010690	QExHF03677	Brain	0.3183
PXD010690	QExHF03679	Brain	0.3456
PXD010690	QExHF03681	Brain	0.379
PXD010690	QExHF03687	Brain	0.4675
PXD010690	QExHF03689	Brain	0.6038
PXD010690	QExHF03691	Brain	0.6082
PXD010690	QExHF03693	Brain	0.6926
PXD010690	QExHF03695	Brain	0.7724
PXD010690	QExHF03699	Brain	0.5356
PXD010690	QExHF03701	Brain	0.671
PXD010690	QExHF03703	Brain	0.8452
PXD010690	QExHF03707	Brain	0.7145
PXD010690	QExHF03709	Brain	0.616
PXD010690	QExHF03713	Brain	0.4847
PXD010690	QExHF03715	Brain	0.5083
PXD010690	QExHF03717	Brain	0.5092
PXD010690	QExHF03721	Brain	0.3597
PXD010690	QExHF03723	Brain	0.4083
PXD010690	QExHF03729	Brain	0.675
PXD010690	QExHF03731	Brain	0.5329
PXD010690	QExHF03733	Brain	0.6649
PXD010690	QExHF03735	Brain	0.7863
PXD010690	QExHF03737	Brain	0.8557
PXD010708	QEXI21286_F1	Brain	0.6106
PXD010708	QEXI21288_F2	Brain	0.4121
PXD010708	QEXI21292_F4	Brain	0.5555
PXD010708	QEXI21294_F5	Brain	0.3071
PXD010708	QEXI21296_F6	Brain	0.674
PXD010708	QEXI21298_F7	Brain	0.5014
PXD010708	QEXI21300_F8	Brain	0.625
PXD010708	QEXI21302_F9	Brain	0.4184
PXD010708	QEXI21304_F10	Brain	0.5985
PXD011042	MSB32049Band_03	Salivary gland	0.3813
PXD011075	QExHF05967	Salivary gland	0.4818
PXD011075	QExHF05997	Salivary gland	0.5192
PXD011075	QExHF06027	Salivary gland	0.4838
PXD011075	QExHF06057	Salivary gland	0.5054
PXD011492	Ali_P10N_120G_1in10_4ul_1ug_Rep_1	Ovary	0.3474
PXD011492	Ali_P10N_120G_1in10_4ul_1ug_Rep_2	Ovary	0.3641
PXD011492	Ali_P10N_120G_1in10_4ul_1ug_Rep_3	Ovary	0.3476
PXD011492	Ali_P1C_120G_1in10_4ul_1ug_Rep_2	Ovary	0.3355
PXD011492	Ali_P1N_120G_1in10_4ul_1ug_Rep_2	Ovary	0.3006
PXD011492	Ali_P1N_120G_1in10_4ul_1ug_Rep_3	Ovary	0.3162
PXD011492	Ali_P3N_120G_1in10_4ul_1ug_Rep_1	Ovary	0.313
PXD011492	Ali_P3N_120G_1in10_4ul_1ug_Rep_2	Ovary	0.3124
PXD011492	Ali_P3N_120G_1in10_4ul_1ug_Rep_3	Ovary	0.3182
PXD011492	Ali_P9N_120G_1in10_4ul_1ug_Rep_1	Ovary	0.3908
PXD011492	Ali_P9N_120G_1in10_4ul_1ug_Rep_2	Ovary	0.3274
PXD011492	Ali_P9N_120G_1in10_4ul_1ug_Rep_3	Ovary	0.3266
PXD011609	20160628_QEplus_AA_AK1	Ovary	0.3519
PXD011609	20160628_QEplus_AA_AK11	Ovary	0.3408
PXD011609	20160628_QEplus_AA_AK12	Ovary	0.3252
PXD011609	20160628_QEplus_AA_AK13	Ovary	0.3218
PXD011609	20160628_QEplus_AA_AK15	Ovary	0.3427
PXD011609	20160628_QEplus_AA_AK16	Ovary	0.3379
PXD011609	20160628_QEplus_AA_AK17	Ovary	0.3081
PXD011609	20160628_QEplus_AA_AK18	Ovary	0.3353
PXD011609	20160628_QEplus_AA_AK2	Ovary	0.3471
PXD011609	20160628_QEplus_AA_AK3	Ovary	0.3303
PXD011609	20160628_QEplus_AA_BD13	Ovary	0.3321
PXD011609	20160628_QEplus_AA_BD15	Ovary	0.3678
PXD011609	20160628_QEplus_AA_BD16	Ovary	0.3701
PXD011609	20160628_QEplus_AA_BD18	Ovary	0.3247
PXD011609	20160628_QEplus_AA_BD3	Ovary	0.3507
PXD011609	20160628_QEplus_AA_SCC13	Ovary	0.326
PXD011609	20160628_QEplus_AA_SCC3	Ovary	0.3052
PXD011609	20160628_QEplus_AA_SCC4	Ovary	0.3496
PXD011609	20160628_QEplus_AA_SCC7	Ovary	0.3857
PXD012792	20171120_PGL2	Salivary gland	0.3445
PXD012792	20171120_PGR3	Salivary gland	0.4176
PXD012792	20171120_SGL1	Salivary gland	0.3393
PXD012792	20171120_SGL2	Salivary gland	0.3912
PXD012792	20171120_SGL3	Salivary gland	0.4026
PXD012792	20171120_SGR1	Salivary gland	0.5301
PXD012792	20171120_SGR2	Salivary gland	0.4708
PXD012792	20171120_SGR3	Salivary gland	0.5032
PXD012792	20180110_PGL1	Salivary gland	0.3822
PXD012792	20180110_PGL2	Salivary gland	0.3922
PXD012792	20180110_PGL3	Salivary gland	0.3505
PXD012792	20180110_SGL1	Salivary gland	0.4913
PXD012792	20180110_SGL2	Salivary gland	0.444
PXD012792	20180110_SGL3	Salivary gland	0.3596
PXD012792	20180110_SGR1	Salivary gland	0.4771
PXD012792	20180110_SGR2	Salivary gland	0.4019
PXD012792	20180110_SGR3	Salivary gland	0.5187
PXD012792	20180202_SGL1	Salivary gland	0.3714
PXD012792	20180202_SGL2	Salivary gland	0.4385
PXD012792	20180202_SGL3	Salivary gland	0.4239
PXD012792	20180202_SGR1	Salivary gland	0.4863
PXD012792	20180202_SGR2	Salivary gland	0.4873
PXD012792	20180202_SGR3	Salivary gland	0.5079
PXD020192	PXD020192-Sample 1	Brain	0.9111
PXD020192	PXD020192-Sample 10	Brain	0.7929
PXD020192	PXD020192-Sample 11	Brain	0.7652
PXD020192	PXD020192-Sample 12	Brain	0.7621
PXD020192	PXD020192-Sample 13	Brain	0.8978
PXD020192	PXD020192-Sample 14	Brain	0.879
PXD020192	PXD020192-Sample 15	Brain	0.8069
PXD020192	PXD020192-Sample 16	Brain	0.7597
PXD020192	PXD020192-Sample 17	Placenta	0.6523
PXD020192	PXD020192-Sample 18	Placenta	0.7054
PXD020192	PXD020192-Sample 2	Brain	0.8513
PXD020192	PXD020192-Sample 22	Adrenal gland	0.3488
PXD020192	PXD020192-Sample 27	Liver	0.9694
PXD020192	PXD020192-Sample 28	Liver	0.9449
PXD020192	PXD020192-Sample 29	Heart	0.6608
PXD020192	PXD020192-Sample 3	Brain	0.8782
PXD020192	PXD020192-Sample 30	Heart	0.7762
PXD020192	PXD020192-Sample 31	Colon	0.3691
PXD020192	PXD020192-Sample 32	Colon	0.3186
PXD020192	PXD020192-Sample 33	Esophagus	0.3641
PXD020192	PXD020192-Sample 34	Esophagus	0.3244
PXD020192	PXD020192-Sample 35	Stomach	0.4984
PXD020192	PXD020192-Sample 36	Stomach	0.5144
PXD020192	PXD020192-Sample 4	Brain	0.8755
PXD020192	PXD020192-Sample 41	Kidney	0.7253
PXD020192	PXD020192-Sample 42	Kidney	0.755
PXD020192	PXD020192-Sample 5	Brain	0.871
PXD020192	PXD020192-Sample 6	Brain	0.8137
PXD020192	PXD020192-Sample 67	Salivary gland	0.4868
PXD020192	PXD020192-Sample 68	Salivary gland	0.5102
PXD020192	PXD020192-Sample 69	Skeletal muscle	0.4162
PXD020192	PXD020192-Sample 7	Brain	0.8776
PXD020192	PXD020192-Sample 70	Skeletal muscle	0.3566
PXD020192	PXD020192-Sample 71	Prostate	0.499
PXD020192	PXD020192-Sample 72	Prostate	0.5634
PXD020192	PXD020192-Sample 75	Testis	0.6715
PXD020192	PXD020192-Sample 76	Testis	0.7542
PXD020192	PXD020192-Sample 77	Testis	0.8549
PXD020192	PXD020192-Sample 78	Testis	0.8187
PXD020192	PXD020192-Sample 8	Brain	0.9279
PXD020192	PXD020192-Sample 81	Heart	0.3369
PXD020192	PXD020192-Sample 85	Thyroid	0.3367
PXD020192	PXD020192-Sample 86	Thyroid	0.3713
PXD020192	PXD020192-Sample 87	Tonsil	0.3087
PXD020192	PXD020192-Sample 9	Brain	0.7518
PXD020192	PXD020192-Sample 91	Ovary	0.3074
PXD021106	LW_A_1	Salivary gland	0.4373
PXD021106	LW_A_2	Salivary gland	0.4077
PXD021106	LW_A_3	Salivary gland	0.3739
PXD021106	LW_B_1	Salivary gland	0.3643
PXD021106	LW_B_2	Salivary gland	0.369
PXD021106	LW_B_3	Salivary gland	0.33
PXD022843	TMT_HS_sEV_G1_95min_frac1_20200111	Prostate	0.4008
PXD022843	TMT_HS_sEV_G1_95min_frac2_20200111	Prostate	0.3503
PXD022843	TMT_HS_sEV_G1_95min_frac3_20200111	Prostate	0.3176
PXD022843	TMT_HS_sEV_G1_95min_frac4_20200111	Prostate	0.3718
PXD022843	TMT_HS_sEV_G1_95min_frac5_20200111	Prostate	0.3155
PXD022843	TMT_HS_sEV_G1_95min_frac6_20200111	Prostate	0.3342
PXD022843	TMT_HS_sEV_G1_95min_frac8_20200111	Prostate	0.3132
PXD022843	TMT_HS_sEV_G2_95min_frac10_20200114	Prostate	0.3666
PXD022843	TMT_HS_sEV_G2_95min_frac1_20200113	Prostate	0.3997
PXD022843	TMT_HS_sEV_G2_95min_frac2_20200113	Prostate	0.3285
PXD022843	TMT_HS_sEV_G2_95min_frac5_20200113	Prostate	0.3318
PXD022843	TMT_HS_sEV_G2_95min_frac6_20200113	Prostate	0.3799
PXD022843	TMT_HS_sEV_G2_95min_frac7_20200114	Prostate	0.348
PXD022843	TMT_HS_sEV_G3_95min_frac1_20200114	Prostate	0.3748
PXD022843	TMT_HS_sEV_G3_95min_frac2_20200118	Prostate	0.3618
PXD022843	TMT_HS_sEV_G3_95min_frac3_20200118	Prostate	0.355
PXD022843	TMT_HS_sEV_G3_95min_frac4_20200118	Prostate	0.3333
PXD022843	TMT_HS_sEV_G3_95min_frac5_20200118	Prostate	0.3361
PXD022843	TMT_HS_sEV_G3_95min_frac6_20200118	Prostate	0.4116
PXD022843	TMT_HS_sEV_G3_95min_frac7_20200119	Prostate	0.3788
PXD022843	TMT_HS_sEV_G3_95min_frac8_20200119	Prostate	0.301
PXD022843	TMT_HS_sEV_G3_95min_frac9_20200119	Prostate	0.3368
PXD022983	QE1_181214_OPL0000_AE_lognitudibal_urine_lib_A3	Kidney	0.3049
PXD022983	QE1_181214_OPL0000_AE_lognitudibal_urine_lib_B10	Prostate	0.3547
PXD022983	QE1_181214_OPL0000_AE_lognitudibal_urine_lib_B3	Prostate	0.3073
PXD022983	QE1_181214_OPL0000_AE_lognitudibal_urine_lib_B4	Kidney	0.3158
PXD022983	QE1_181214_OPL0000_AE_lognitudibal_urine_lib_B5	Prostate	0.3167
PXD022983	QE1_181214_OPL0000_AE_lognitudibal_urine_lib_B6	Kidney	0.3145
PXD022983	QE1_181214_OPL0000_AE_lognitudibal_urine_lib_B7	Prostate	0.3039
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA2_AR	Prostate	0.3684
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA2_AZ	Kidney	0.3605
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_AL_190214224432	Prostate	0.3461
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_AM_190215010619	Kidney	0.308
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_AN_190215032805	Prostate	0.3112
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_AU_190215200034	Prostate	0.3212
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_AV_190215222220	Prostate	0.3892
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_AW_190216004407	Prostate	0.4039
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_AX_190216030553	Prostate	0.3234
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_AY_190216052740	Kidney	0.3008
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_B	Kidney	0.3553
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_BO	Kidney	0.3357
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_BQ	Kidney	0.3128
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_J	Kidney	0.3083
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_K	Kidney	0.3104
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_T	Prostate	0.3371
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_V	Prostate	0.3485
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_W	Prostate	0.3216
PXD022983	QE3_190207_OPL2033_AE_urine_longitudinal_DIA_Z_190213182314	Prostate	0.3442
PXD030804	sp_cotton_fraction9_IGP2_xin_20210101	Salivary gland	0.3032
PXD030804	sp_cotton_fraction9_IGP3_xin_20210101	Salivary gland	0.3025
PXD030990	T017_Post-extraction_digestion_CID	Salivary gland	0.3196
PXD030990	T023_Post-extraction_digestion_HCD	Salivary gland	0.365
PXD030990	T023_in-strip_digestion_CID	Salivary gland	0.4545
PXD030990	T024_Post-extraction_digestion_CID	Salivary gland	0.5094
PXD030990	T024_Post-extraction_digestion_HCD	Salivary gland	0.5098
PXD030990	T024_in-strip_digestion_CID	Salivary gland	0.4119
PXD030990	T024_in-strip_digestion_HCD	Salivary gland	0.3798
PXD030990	T025_in-strip_digestion_CID	Salivary gland	0.3404
PXD030990	T025_in-strip_digestion_HCD	Salivary gland	0.3301
PXD030990	T026_Post-extraction_digestion_CID	Salivary gland	0.323
PXD030990	T026_in-strip_digestion_CID	Salivary gland	0.3405
PXD030990	T027_Post-extraction_digestion_CID	Salivary gland	0.4619
PXD030990	T027_in-strip_digestion_CID	Salivary gland	0.384
PXD030990	T027_in-strip_digestion_HCD	Salivary gland	0.362
PXD036633	ESC-QE-Sample-2_PRT-60min-220920-Vinod	Salivary gland	0.3557
PXD036633	ESC-QE-Sample-3_EPR-60min-220920-Vinod	Salivary gland	0.3186
PXD036633	ESC-QE-Sample-6_EPUR-60min-220920-Vinod	Salivary gland	0.3555
PXD036633	ESC-QE-Sample-7_NPRT_-60min-220920-Vinod	Salivary gland	0.3831
PXD046417	20230803_AST1_Neo1_UHG_7min_DIA_RR_1_4th_009	Skeletal muscle	0.3
PXD046417	20230803_AST1_Neo1_UHG_7min_DIA_RR_4th_055	Skeletal muscle	0.3053
PXD046417	20230803_AST1_Neo1_UHG_7min_DIA_RR_4th_060	Skeletal muscle	0.3
PXD046637	WA269TQB3_03_Fr6	Lung	0.3609
PXD046637	WA269TQB3_14_Fr3	Lung	0.3051
PXD046711	Seq66957_HFX_b	Ovary	0.3495
PXD046711	Seq66958_HFX_b	Ovary	0.3197
PXD046711	Seq66959_HFX	Ovary	0.4104
PXD046711	Seq66961_HFX	Ovary	0.4814
PXD046711	Seq66962_HFX	Ovary	0.4967
PXD046711	Seq66963_HFX	Ovary	0.4841
PXD046711	Seq66964_HFX	Ovary	0.4464
PXD046711	Seq66965_HFX	Ovary	0.5188
PXD046711	Seq66968_HFX	Ovary	0.5067
PXD046711	Seq66969_HFX	Ovary	0.303
PXD046711	Seq66972_HFX	Ovary	0.3422
PXD046711	Seq66973_HFX	Ovary	0.3085
PXD046711	Seq66974_HFX	Ovary	0.3508
PXD046711	Seq66975_HFX	Ovary	0.31
PXD046711	Seq66976_HFX	Ovary	0.3239
PXD046711	Seq66977_HFX	Ovary	0.3909
PXD046711	Seq66978_HFX	Esophagus	0.3486
PXD046711	Seq66980_HFX	Ovary	0.3819
PXD046711	Seq68923_HFX	Ovary	0.3296
PXD046711	Seq68926_HFX	Ovary	0.3864
PXD046711	Seq68928_HFX	Ovary	0.3985
PXD046711	Seq68932_HFX	Ovary	0.3564
PXD046711	Seq68934_HFX	Ovary	0.3405
PXD046711	Seq68937_HFX	Ovary	0.3231
PXD046711	Seq68942_HFX	Ovary	0.3313
PXD046711	Seq68944_HFX	Ovary	0.3067
PXD046711	Seq68945_HFX	Ovary	0.3339
PXD046711	Seq68946_HFX	Ovary	0.4358
PXD046711	Seq68949_HFX	Ovary	0.3461
PXD046711	Seq68951_HFX	Ovary	0.3096
PXD046711	Seq68953_HFX	Ovary	0.3603
PXD046711	Seq68954_HFX	Ovary	0.4236
PXD046711	Seq68958_HFX	Ovary	0.4109
PXD046711	Seq68965_HFX	Ovary	0.3482
PXD046711	Seq68968_HFX	Ovary	0.4282
PXD046711	Seq68970_HFX	Ovary	0.322
PXD046711	Seq68983_HFX	Ovary	0.354
PXD046711	Seq68985_HFX	Ovary	0.3186
PXD046711	Seq68986_HFX	Ovary	0.3189
PXD046711	Seq68994_HFX	Ovary	0.335
PXD046711	Seq68995_HFX	Ovary	0.3184
PXD046711	Seq68996_HFX	Ovary	0.3699
PXD046711	Seq69620_HFX	Ovary	0.3064
PXD046711	Seq69624_HFX	Ovary	0.3255
PXD046711	Seq69628_HFX	Ovary	0.3887
PXD046711	Seq69631_HFX	Ovary	0.3234
PXD046711	Seq69632_HFX	Ovary	0.3252
PXD046711	Seq69633_HFX	Ovary	0.358
PXD046711	Seq69634_HFX	Ovary	0.3824
PXD046711	Seq69635_HFX	Ovary	0.3981
PXD046711	Seq69636_HFX	Ovary	0.4058
PXD046711	Seq69637_HFX	Ovary	0.3278
PXD046711	Seq69639_HFX	Ovary	0.3305
PXD046711	Seq69640_HFX	Ovary	0.3834
PXD046711	Seq69642_HFX	Ovary	0.3404
PXD046711	Seq71709_HFX	Ovary	0.403
PXD046711	Seq71711_HFX	Ovary	0.3243
PXD046711	Seq71712_HFX	Ovary	0.3143
PXD046711	Seq71715_HFX	Ovary	0.3281
PXD046711	Seq71717_HFX	Ovary	0.3509
PXD046711	Seq71724_HFX	Ovary	0.3178
PXD046711	Seq71727_HFX	Ovary	0.3392
PXD046711	Seq71734_HFX	Ovary	0.3239
PXD046711	Seq71735_HFX	Ovary	0.3071
PXD046711	Seq71737_HFX	Ovary	0.343
PXD046711	Seq71738_HFX	Ovary	0.3234
PXD046711	Seq71739_HFX	Ovary	0.3305
PXD046711	Seq71740_HFX	Ovary	0.4164
PXD046711	Seq71742_HFX	Ovary	0.3351
PXD046711	Seq71743_HFX	Ovary	0.3166
PXD046711	Seq71745_HFX	Ovary	0.3102
PXD046711	Seq71746_HFX	Ovary	0.3633
PXD046711	Seq71747_HFX	Ovary	0.315
PXD046711	Seq71748_HFX	Ovary	0.3843
PXD046711	Seq71749_HFX	Ovary	0.306
PXD046711	Seq71750_HFX	Ovary	0.3959
PXD046711	Seq71751_HFX	Ovary	0.3512
PXD046711	Seq71752_HFX	Ovary	0.3367
PXD046711	Seq71753_HFX	Ovary	0.3276
PXD046711	Seq71755_HFX	Ovary	0.3138
PXD046711	Seq71756_HFX	Ovary	0.4082
PXD046711	Seq71759_HFX	Ovary	0.3836
PXD046711	Seq71760_HFX	Ovary	0.4132
PXD046711	Seq71764_HFX	Ovary	0.3253
PXD047134	HF2_13838_TFU_10_Control-P48_15_1_100521	Brain	0.6836
PXD047134	HF2_13838_TFU_11_Control-P5_13_1_050521	Brain	0.5831
PXD047134	HF2_13838_TFU_12_Control-P58_10_1_060521	Brain	0.6911
PXD047134	HF2_13838_TFU_13_Control-P64_11_1_100521	Brain	0.6859
PXD047134	HF2_13838_TFU_14_Control-P66_10_1_050521	Brain	0.492
PXD047134	HF2_13838_TFU_15_Control-P67_10_1_050521	Brain	0.6652
PXD047134	HF2_13838_TFU_16_Control-P72_07_1_060521	Brain	0.5857
PXD047134	HF2_13838_TFU_17_Control-P75_08_1_050521	Brain	0.4855
PXD047134	HF2_13838_TFU_18_Control-P78_06_1_060521	Brain	0.6943
PXD047134	HF2_13838_TFU_19_Control-P94_05_1_060521	Brain	0.5191
PXD047134	HF2_13838_TFU_1_Control-C01_99_1_050521	Brain	0.4511
PXD047134	HF2_13838_TFU_20_PD-GBA-59_94_2_100521	Brain	0.48
PXD047134	HF2_13838_TFU_21_PD-GBA-P13_97_2_050521	Brain	0.7
PXD047134	HF2_13838_TFU_22_PD-GBA-P23_98_2_060521	Brain	0.6941
PXD047134	HF2_13838_TFU_23_PD-GBA-P25_01_2_060521	Brain	0.769
PXD047134	HF2_13838_TFU_24_PD-GBA-P25_13_2_050521	Brain	0.6563
PXD047134	HF2_13838_TFU_25_PD-GBA-P25_98_2_060521	Brain	0.7498
PXD047134	HF2_13838_TFU_26_PD-GBA-P29_92_2_100521	Brain	0.7072
PXD047134	HF2_13838_TFU_27_PD-GBA-P31_03_2_050521	Brain	0.6397
PXD047134	HF2_13838_TFU_28_PD-GBA-P34_06_2_060521	Brain	0.5893
PXD047134	HF2_13838_TFU_29_PD-GBA-P36_01_2_060521	Brain	0.6077
PXD047134	HF2_13838_TFU_2_Control-C04_97_1_060521	Brain	0.7307
PXD047134	HF2_13838_TFU_30_PD-GBA-P36_09_2_050521	Brain	0.5997
PXD047134	HF2_13838_TFU_31_PD-GBA-P40_00_2_060521	Brain	0.7188
PXD047134	HF2_13838_TFU_32_PD-GBA-P41_97_2_100521	Brain	0.5226
PXD047134	HF2_13838_TFU_33_PD-GBA-P44_01_2_100521	Brain	0.5408
PXD047134	HF2_13838_TFU_34_PD-GBA-P54_13_2_050521	Brain	0.6874
PXD047134	HF2_13838_TFU_35_PD-GBA-P54_99_2_060521	Brain	0.4551
PXD047134	HF2_13838_TFU_36_PD-GBA-P67_12_2_060521	Brain	0.6543
PXD047134	HF2_13838_TFU_37_PD-GBA-P68_06_2_050521	Brain	0.715
PXD047134	HF2_13838_TFU_38_PD-GBA-P71_04_2_060521	Brain	0.6328
PXD047134	HF2_13838_TFU_39_PD-GBA-P73_04_2_050521	Brain	0.533
PXD047134	HF2_13838_TFU_3_Control-C09_94_1_060521	Brain	0.6966
PXD047134	HF2_13838_TFU_40_PD-GBA-P78_11_2_100521	Brain	0.535
PXD047134	HF2_13838_TFU_42_PD-P14_05_2_050521	Brain	0.5349
PXD047134	HF2_13838_TFU_43_PD-P16_06_2_100521	Brain	0.5777
PXD047134	HF2_13838_TFU_44_PD-P21_13_2_100521_210512215908	Brain	0.5103
PXD047134	HF2_13838_TFU_45_PD-P23_10_2_050521	Brain	0.5721
PXD047134	HF2_13838_TFU_46_PD-P32_00_2_060521	Brain	0.5857
PXD047134	HF2_13838_TFU_47_PD-P32_10_2_060521	Brain	0.6321
PXD047134	HF2_13838_TFU_48_PD-P47_09_2_050521	Brain	0.3977
PXD047134	HF2_13838_TFU_49_PD-P48_09_2_050521	Brain	0.6322
PXD047134	HF2_13838_TFU_4_Control-C11_97_1_050521	Brain	0.6698
PXD047134	HF2_13838_TFU_50_PD-P50_03_2_060521	Brain	0.6191
PXD047134	HF2_13838_TFU_51_PD-P54_11_2_100521	Brain	0.4928
PXD047134	HF2_13838_TFU_52_PD-P55_07_2_060521	Brain	0.5413
PXD047134	HF2_13838_TFU_53_PD-P57_08_2_050521	Brain	0.6765
PXD047134	HF2_13838_TFU_54_PD-P59_07_2_060521	Brain	0.4683
PXD047134	HF2_13838_TFU_55_PD-P6_08_2_060521	Brain	0.4212
PXD047134	HF2_13838_TFU_56_PD-P61_15_2_050521	Brain	0.566
PXD047134	HF2_13838_TFU_57_PD-P74_04_2_100521	Brain	0.6332
PXD047134	HF2_13838_TFU_58_PD-P76_10_2_060521	Brain	0.5949
